ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
2020.HK,ANTA Sports Products Limited,73.55,HKD,82.0,A,82.0,ROE 22.5% | Potencial +43% analistas | FCF yield 6.8% | Dividendo 2.9% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,104.89,42.6,30,6.8,5.33,2.93,,22.5,11.5,13.3,16.9,12.4,-30.8,cyclical risk | geopolitical risk,,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual and may indicate potential overestimation of future earnings.",2026-07-16,0,
0700.HK,Tencent Holdings Limited,481.4,HKD,82.0,A,82.0,ROE 20.5% | Potencial +43% analistas | Margen 31% | Dividendo 1.1% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,690.62,43.5,42,3.0,5.43,1.12,,20.5,12.7,17.3,30.6,9.1,-29.5,Regulatory Risk | Geopolitical Risk,TCEHY,SUSPECT,Forward P/E seems low compared to trailing P/E and sector average,2026-07-16,0,
9999.HK,"NetEase, Inc.",205.0,HKD,81.0,A,81.0,ROE 22.1% | Potencial +22% | FCF yield 5.2% | Margen 30% | Dividendo 2.2% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,250.25,22.1,20,5.2,2.76,2.23,,22.1,12.4,16.8,29.8,6.1,-17.3,Regulatory Risk | Geopolitical Risk,NTES,SUSPECT,"Forward P/E seems low compared to the trailing P/E and profit margin, potentially indicating undervaluation or upcoming challenges",2026-07-16,0,
005930.KS,"Samsung Electronics Co., Ltd.",255000.0,KRW,78.0,A,78.0,ROE 18.9% | P/E 3.9x (vs 11x mercado) | Potencial +93% analistas | Crecimiento ingresos +69% | Margen 21%,2,0,Technology,Korea,🇰🇷,21.2,492536.72,93.2,36,4.0,11.64,,,18.9,3.9,,21.5,69.2,-31.9,Low P/E Ratio | Potential Regulatory Risks in Tech Sector,SSNLF,SUSPECT,Forward P/E of 3.9x seems anomalously low for a technology company like Samsung Electronics,2026-07-16,0,
0388.HK,Hong Kong Exchanges and Clearing Limited,394.6,HKD,77.0,A,77.0,ROE 35.0% | Potencial +31% analistas | Crecimiento ingresos +19% | Margen 63% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,515.12,30.5,17,,3.82,3.31,,35.0,25.2,26.5,62.6,19.0,-15.3,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Geopolitical Risk | Real Estate Exposure,,SUSPECT,High ROE and profit margin may indicate potential overvaluation or accounting discrepancies,2026-07-16,0,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",15.69,BRL,74.0,A,74.0,ROE 26.7% | Potencial +27% | Crecimiento ingresos +20% | Margen 47% | Dividendo 5.8% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,19.96,27.2,14,,3.41,5.77,,26.7,12.0,17.1,47.0,20.3,-22.8,FCF no comparable (sector financiero) | Regulatory Risk | Geopolitical Risk | Cyclical Risk,,SUSPECT,High profit margin and ROE raise concerns about sustainability and potential overvaluation,2026-07-16,0,
RENT3.SA,Localiza Rent a Car S.A.,40.35,BRL,71.0,A,71.0,P/E 8.4x | Potencial +44% analistas | FCF yield 23.2% | Crecimiento ingresos +21% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,57.93,43.6,15,23.2,5.45,5.28,,8.5,8.4,19.5,5.1,21.2,-24.4,cyclical risk | geopolitical risk,,SUSPECT,High FCF yield and significant analyst upside may indicate overoptimism or data quality issues,2026-07-16,0,
2382.HK,Sunny Optical Technology (Group) Company Limited,56.1,HKD,71.0,A,71.0,ROE 17.5% | Potencial +50% analistas | FCF negativo | Crecimiento ingresos +21% | Dividendo 2.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,1,Technology,HongKong,🇭🇰,10.7,84.26,50.2,23,-1.2,6.28,2.17,,17.5,11.1,11.4,10.7,21.3,-38.6,cyclical | governance,,RISKY,Negative FCF yield indicates potential cash flow issues,2026-07-16,0,
TOTS3.SA,TOTVS S.A.,29.92,BRL,70.0,A,70.0,ROE 16.9% | Potencial +61% analistas | Crecimiento ingresos +22% | Dividendo 2.9% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,48.31,61.5,13,2.2,7.68,2.89,,16.9,14.1,20.4,15.2,22.4,-38.2,Geopolitical Risk | Cyclical Risk,,SUSPECT,High analyst upside of 61.5% seems inconsistent with the fundamentals,2026-07-16,0,
1299.HK,AIA Group Limited,76.05,HKD,69.0,A,69.0,Potencial +37% analistas | Margen 24% | Dividendo 2.5% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,104.1,36.9,17,,4.61,2.53,,14.8,11.2,16.4,23.8,6.0,-17.5,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risks in Hong Kong | Exposure to Chinese real estate market | Geopolitical risks,,SUSPECT,Anomalous FCF yield absence and potential exposure to Chinese real estate sector,2026-07-16,0,
