ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at
TJX,"TJX Companies, Inc. (The)",81.8,🏆 ELITE,🟢 Elite,100.0,90.0,60.3,75.0,60.0,60.0,50.2,False,down,71.1,True,1,35.3,True,1,"{'eps_growth_yoy': np.float64(71.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 9.1}","{'revenue_growth_yoy': np.float64(35.3), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(4.0), 'rs_6m': np.float64(5.9), 'rs_line_percentile': 50.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 60}","{'roe_pct': 59.1, 'debt_to_equity': 1.32, 'current_ratio': 1.14, 'operating_margin_pct': 13.3}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 9.3}",157.2,174565425152,Consumer Cyclical,Apparel Retail,1.0,2.7,False,165.82,-5.2,6.0,False,171.78,193.0,100.0,18.0,strong_buy,9.3,138.23,-12.1,135.87,-13.6,2.23,3.52,1.22,33.9,1.92,1.31,True,-1.44,99.6,27.9,21.0,2026-05-20,False,True,7.0,NEUTRAL,4.07,36.2,0.99,2026-04-29T07:43:49.698498
ETN,"Eaton Corporation, PLC",79.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,70.0,71.9,75.0,60.0,80.0,76.2,False,flat,17.4,True,2,10.6,True,1,"{'eps_growth_yoy': np.float64(17.4), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 14.9}","{'revenue_growth_yoy': np.float64(10.6), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(16.7), 'rs_6m': np.float64(5.0), 'rs_line_percentile': 76.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'flat', 'rs_line_score': 80}","{'roe_pct': 21.5, 'debt_to_equity': 0.55, 'current_ratio': 1.32, 'operating_margin_pct': 20.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': -0.0}",413.07,160265109504,Industrials,Specialty Industrial Machinery,2.0,3.4,False,432.34,-4.5,7.0,True,412.95,514.0,321.0,28.0,buy,-0.0,187.92,-54.5,197.5,-52.2,1.62,6.7,1.07,39.8,4.4,1.59,True,-1.16,21.5,18.9,6.0,2026-05-05,True,False,7.0,NEUTRAL,3.04,64.1,1.41,2026-04-29T07:42:31.426890
CBOE,"Cboe Global Markets, Inc.",78.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,60.0,80.3,90.0,50.0,80.0,79.3,False,up,25.1,False,0,0.8,True,1,"{'eps_growth_yoy': np.float64(25.1), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 23.3}","{'revenue_growth_yoy': np.float64(0.8), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(12.4), 'rs_6m': np.float64(23.3), 'rs_line_percentile': 79.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 23.4, 'debt_to_equity': 0.31, 'current_ratio': 1.87, 'operating_margin_pct': 36.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': -0.7}",303.64,31803944960,Financial Services,Financial Data & Stock Exchanges,3.0,2.9,False,309.87,-2.0,8.0,True,301.64,355.0,250.0,14.0,hold,-0.7,512.46,68.8,312.3,2.9,3.98,12.08,0.92,25.9,2.79,1.31,True,-0.21,31.0,24.2,2.0,2026-05-01,True,False,8.0,STRONG,5.2,70.3,0.38,2026-04-29T07:44:01.339929
MSI,"Motorola Solutions, Inc.",78.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,46.7,65.0,65.0,35.0,29.5,False,down,50.9,True,1,33.7,True,1,"{'eps_growth_yoy': np.float64(50.9), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 18.4}","{'revenue_growth_yoy': np.float64(33.7), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(5.0), 'rs_6m': np.float64(-5.9), 'rs_line_percentile': 29.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 35}","{'roe_pct': 104.2, 'debt_to_equity': 4.02, 'current_ratio': 1.04, 'operating_margin_pct': 27.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 16.3}",434.74,72255356928,Technology,Communication Equipment,1.7,2.5,False,492.22,-11.7,4.0,False,505.45,540.0,470.0,11.0,buy,16.3,223.57,-48.6,127.4,-70.7,2.76,12.01,1.11,35.1,4.84,1.13,True,-1.6,8.8,8.6,8.0,2026-05-07,False,True,6.0,NEUTRAL,3.93,161.2,2.77,2026-04-29T07:38:25.375437
AME,"AMETEK, Inc.",76.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,60.0,65.1,85.0,60.0,60.0,63.5,False,down,13.3,True,2,15.4,False,0,"{'eps_growth_yoy': np.float64(13.3), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 20.0}","{'revenue_growth_yoy': np.float64(15.4), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(0.4), 'rs_6m': np.float64(18.5), 'rs_line_percentile': 63.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 60}","{'roe_pct': 14.6, 'debt_to_equity': 0.24, 'current_ratio': 1.06, 'operating_margin_pct': 27.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.2}",228.95,52444528640,Industrials,Specialty Industrial Machinery,1.6,2.7,False,242.05,-5.4,7.0,True,250.0,273.0,208.0,18.0,buy,9.2,88.94,-61.2,64.1,-72.0,2.57,5.89,0.59,19.4,1.36,0.62,True,-0.83,23.1,3.6,1.0,2026-04-30,True,False,6.0,NEUTRAL,3.45,144.0,7.29,2026-04-29T07:43:18.780246
CDNS,"Cadence Design Systems, Inc.",76.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,80.0,44.0,85.0,60.0,35.0,33.4,False,up,41.9,False,0,15.9,True,2,"{'eps_growth_yoy': np.float64(41.9), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 21.2}","{'revenue_growth_yoy': np.float64(15.9), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-1.1), 'rs_6m': np.float64(-11.9), 'rs_line_percentile': 33.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 20.7, 'debt_to_equity': 0.44, 'current_ratio': 1.47, 'operating_margin_pct': 29.3}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 14.2}",325.31,89815506944,Technology,Software - Application,2.1,2.8,False,376.45,-13.6,3.0,False,371.53,410.0,275.0,27.0,strong_buy,14.2,161.19,-50.5,98.67,-69.7,1.51,4.91,,,,,True,-1.22,14.3,23.0,89.0,2026-07-27,False,False,7.0,NEUTRAL,1.82,44.0,1.51,2026-04-29T07:42:19.072194
WST,"West Pharmaceutical Services, I",74.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,80.0,70.0,63.0,95.0,65.0,60.0,60.8,False,up,5.3,True,1,10.2,True,1,"{'eps_growth_yoy': np.float64(5.3), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.8}","{'revenue_growth_yoy': np.float64(10.2), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(21.2), 'rs_6m': np.float64(-2.6), 'rs_line_percentile': 60.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 19.1, 'debt_to_equity': 0.11, 'current_ratio': 2.71, 'operating_margin_pct': 21.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 19.8}",292.13,20638281728,Healthcare,Medical Instruments & Supplies,4.4,3.2,False,322.34,-9.4,6.0,False,349.85,400.0,310.0,13.0,buy,19.8,165.47,-43.4,224.4,-23.2,1.34,3.9,0.3,11.5,0.88,0.25,True,-1.46,336.2,56.1,85.0,2026-07-23,False,False,7.0,NEUTRAL,2.94,19.0,0.55,2026-04-29T07:41:13.202933
CP,Canadian Pacific Kansas City Li,74.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,70.0,68.7,55.0,60.0,60.0,52.9,False,flat,18.4,True,1,3.4,True,2,"{'eps_growth_yoy': np.float64(18.4), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 27.5}","{'revenue_growth_yoy': np.float64(3.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(18.5), 'rs_6m': np.float64(12.3), 'rs_line_percentile': 52.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'flat', 'rs_line_score': 60}","{'roe_pct': 8.6, 'debt_to_equity': 0.5, 'current_ratio': 0.49, 'operating_margin_pct': 44.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 5.1}",86.75,77841096704,Industrials,Railroads,1.2,3.9,False,89.42,-3.0,6.0,False,91.19,101.74,74.18,11.0,buy,5.1,32.8,-62.2,33.0,-62.0,2.57,2.23,0.76,19.4,0.66,0.76,True,-5.06,7.3,-7.4,0.0,2026-04-29,True,False,7.0,NEUTRAL,6.22,11.8,,2026-04-29T07:43:53.377671
BRO,"Brown & Brown, Inc.",74.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,24.0,75.0,55.0,15.0,0.0,False,down,84.4,True,2,50.5,True,1,"{'eps_growth_yoy': np.float64(84.4), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 18.4}","{'revenue_growth_yoy': np.float64(50.5), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(-14.8), 'rs_6m': np.float64(-32.2), 'rs_line_percentile': 0.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 11.9, 'debt_to_equity': 0.64, 'current_ratio': 1.02, 'operating_margin_pct': 47.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 25.9}",63.14,21401165824,Financial Services,Insurance Brokers,7.2,5.5,False,113.84,-44.5,0.0,False,79.47,100.0,70.0,15.0,hold,25.9,66.09,4.7,30.7,-51.4,7.11,4.49,1.02,20.5,0.65,0.63,True,-1.77,5.0,-3.2,89.0,2026-07-27,False,False,4.0,NEUTRAL,5.88,175.4,,2026-04-29T07:41:28.490674
SYK,Stryker Corporation,73.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,80.0,24.0,80.0,70.0,15.0,0.0,False,down,29.8,True,1,22.2,True,1,"{'eps_growth_yoy': np.float64(29.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 12.9}","{'revenue_growth_yoy': np.float64(22.2), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(-12.5), 'rs_6m': np.float64(-20.2), 'rs_line_percentile': 0.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 15.1, 'debt_to_equity': 0.73, 'current_ratio': 1.89, 'operating_margin_pct': 27.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 30.4}",321.43,123102625792,Healthcare,Medical Devices,1.3,2.2,False,404.87,-20.6,1.0,False,419.11,469.0,316.0,27.0,buy,30.4,461.76,43.7,251.7,-21.7,3.39,10.89,1.1,40.5,3.52,0.99,False,,6.3,55.9,1.0,2026-04-30,True,False,5.0,NEUTRAL,3.79,47.3,0.34,2026-04-29T07:39:54.722840
