ticker,company,purchase_count,unique_insiders,days_span,first_purchase,last_purchase,total_qty,confidence_score
VRSK,"Verisk Analytics, Inc.",9,1,2,2026-02-25,2026-02-27,7500.0,190
NDAQ,"Nasdaq, Inc.",7,2,8,2026-02-16,2026-02-24,648000.0,160
TYL,Tyler Technologies Inc,6,2,5,2026-02-25,2026-03-02,6630.0,140
FAST,Fastenal Co,5,1,14,2026-01-30,2026-02-13,200.0,110
MSCI,Msci Inc.,4,2,6,2026-02-18,2026-02-24,20962.0,100
PAYX,Paychex Inc,4,1,1,2026-02-09,2026-02-10,4000.0,90
ABT,Abbott Laboratories,3,2,11,2026-01-30,2026-02-10,38800.0,80
EFX,Equifax Inc,3,1,4,2026-02-20,2026-02-24,7200.0,70
MSFT,Microsoft Corp,3,1,4,2026-02-19,2026-02-23,15000.0,70
AON,Aon Plc,3,1,4,2026-02-13,2026-02-17,12000.0,70
SPGI,S&P Global Inc.,3,1,4,2026-02-13,2026-02-17,7500.0,70
IT,Gartner Inc,3,1,2,2026-02-10,2026-02-12,150.0,70
APH,Amphenol Corp /De/,3,1,2,2026-02-09,2026-02-11,30000.0,70
ROP,Roper Technologies Inc,3,1,2,2026-02-09,2026-02-11,4200.0,70
CRH,Crh Public Ltd Co,2,1,0,2026-03-16,2026-03-16,5800.0,50
HEI,Heico Corp,2,1,1,2026-03-06,2026-03-07,8164.0,50
CDNS,Cadence Design Systems Inc,2,1,1,2026-03-05,2026-03-06,108.0,50
