Date,AD_Line,McClellan,TRIN,MA50_Percent,NH_NL_Diff,Volume_Ratio,Advancing,Declining,New_Highs,New_Lows
2025-05-05,61,0.0,0.9835883813372885,53.581800340993354,0,1.0586744943849782,1538,1477,0,0
2025-05-06,-458,-29.0,0.8512019541563265,45.30626417939461,1,0.8257961424777203,1228,1747,1,0
2025-05-07,-157,-12.649999999999991,1.413842248589774,31.689229072801435,-33,0.8655787608426613,1646,1345,2,35
2025-05-08,-146,-13.107499999999984,1.2416177173710579,52.802366254002465,-19,0.8115319575826248,1456,1445,0,19
2025-05-09,82,-2.5831249999999812,0.9797329565561469,29.92672502527683,35,1.1928138636494516,1580,1352,38,3
2025-05-12,1222,52.02813125000003,1.1170216575365859,77.04798894969754,0,1.903707237090062,2152,1012,0,0
2025-05-13,1744,67.56061468750005,1.0758226659425392,43.36592061018713,11,1.348166674361367,1681,1159,17,6
2025-05-14,2280,81.20308495312503,0.9836219687932335,57.10570727950643,15,1.463676820608451,1755,1219,22,7
2025-05-15,2556,79.46138160546877,1.1080722502696527,70.8595098233812,-1,1.09585427664145,1564,1288,14,15
2025-05-16,3287,100.32491833519532,0.7029210267136474,71.62946292568665,20,2.3372753159779722,1868,1137,27,7
2025-05-19,3421,87.81161764743558,1.0109540584415215,56.88605175845187,32,1.0838418190866455,1534,1400,32,0
2025-05-20,4304,114.1236874711638,0.7025626219195095,59.91375079720447,44,2.564893330855314,1984,1101,47,3
2025-05-21,4860,119.69988873309563,1.0598482346281608,73.67881713014276,18,1.3866085224081068,1740,1184,18,0
2025-05-22,5299,118.01904136838192,1.0038410969295986,25.522278453809072,13,1.3399787977178805,1711,1272,13,0
2025-05-23,5698,113.99182166470973,0.8147333306116696,60.72449317386409,15,1.605858216589547,1693,1294,15,0
2025-05-26,6425,126.37858970974645,0.8104287696042598,48.95992201702599,34,2.018054604956998,1871,1144,34,0
2025-05-27,8016,179.53738343970412,0.9163319730390876,70.379380692281,40,3.5859488012099723,2287,696,40,0
2025-05-28,9027,195.09046516161942,1.0340464303839223,51.347765072898426,59,1.9566619958017886,1999,988,59,0
2025-05-29,10339,222.46289770804896,0.8855429839440578,60.7839640752489,82,2.9674353599095746,2118,806,82,0
2025-05-30,11830,253.704013046706,1.042829853956716,80.47502303222478,34,2.687784632351991,2318,827,34,0
2025-06-02,13271,276.6466465960242,1.0188433974661675,51.82493884926048,53,2.854814860416038,2196,755,53,0
2025-06-03,13589,238.7293650477111,1.0075592188958515,68.52747475045965,62,1.2296231163905067,1649,1331,62,0
2025-06-04,14466,233.06644249866497,0.6966571156408923,73.01899935623732,48,2.669611606360604,1897,1020,48,0
2025-06-05,15633,241.55931150673723,0.921418068163397,65.8649101849656,39,2.6336040616015395,1985,818,39,0
2025-06-06,16418,228.51291795110524,0.9402187285524674,76.4222000215776,42,1.8063866682673502,1909,1124,42,0
2025-06-09,16785,195.31568687128436,0.7521757848588764,55.947580533679165,22,1.699953196048181,1684,1317,22,0
2025-06-10,17376,177.1554758636811,0.8626448129064793,64.31564990520275,22,1.7230959148508378,1806,1215,22,0
2025-06-11,18502,187.49271807286186,1.1370363124611196,67.2445160905905,55,1.942026373509751,2058,932,55,0
2025-06-12,20240,225.9935965713472,1.3768149735604147,100.0,36,2.876797386190202,2325,587,36,0
2025-06-13,21239,220.83187970469533,0.9047683786695947,86.4827003761367,68,2.153830742386705,2052,1053,68,0
2025-06-16,22262,216.51445238518454,0.8753117609402956,83.72246243799016,15,2.388427106978622,1961,938,15,0
2025-06-17,23371,216.04047976507684,1.282437463511985,69.7054219273581,17,1.7248574849535534,2024,915,42,25
2025-06-18,22947,137.90503077605945,0.8296442318489284,49.189345725735976,11,0.904710967038693,1276,1700,11,0
2025-06-19,22321,60.30969673656921,0.8576560819612423,62.89710187088993,20,0.7627109049503606,1184,1810,22,2
2025-06-20,21165,-32.83586235087779,1.1113112285172932,13.415742531947455,-38,0.3973197448107452,914,2070,0,38
2025-06-23,20122,-106.66113605889046,1.2204882750713961,28.194746605445438,-26,0.3855492799445296,927,1970,0,26
2025-06-24,18444,-200.9984393989469,0.821273603630859,2.7701098319697692,-61,0.3562516801793444,694,2372,0,61
2025-06-25,17586,-239.6518415577005,1.1367250424869497,41.66755450565705,-51,0.47083617198640043,988,1846,0,51
2025-06-26,17025,-256.6522411956463,0.9979960246074101,32.82450613497636,-48,0.6800569755201028,1185,1746,0,48
2025-06-27,15354,-325.4043216801117,1.002995525503774,0.0,-13,0.28927789569003054,683,2354,0,13
2025-06-30,14386,-347.41032888592906,0.8493726918807676,50.86844743501694,-49,0.6106241041686781,1043,2011,0,49
2025-07-01,13888,-340.98841340247327,1.1326053589993665,24.09560090443402,-33,0.6360395545095171,1283,1781,0,33
