ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,tier,quality
META,82.92105263157895,50.0,,,,"Meta Platforms, Inc.",62.5,Communication Services,Internet Content & Information,60.0,50.0,56.0,95.0,65.0,668.69,1691488485376,66.9,33.2,15.0,18.8,2026-02-12 00:41:45,2025-05-30,⭐⭐⭐ EXCELLENT,🟢 Excellent
TSLA,71.25,50.0,,,,"Tesla, Inc.",57.8,Consumer Cyclical,Auto Manufacturers,50.0,50.0,65.0,75.0,60.0,428.27,1607054000128,60.8,28.5,15.0,17.3,2026-02-12 00:41:45,2025-05-30,⭐⭐ GOOD,🟡 Good
OKTA,66.65,50.0,,,,"Okta, Inc.",60.6,Technology,Software - Infrastructure,50.0,50.0,80.5,70.0,65.0,88.18,15628161024,59.8,26.7,15.0,18.2,2026-02-12 00:41:45,2025-05-30,⭐⭐ GOOD,🟡 Good
NFLX,60.65714285714286,50.0,,,,"Netflix, Inc.",66.3,Communication Services,Entertainment,60.0,50.0,80.5,85.0,70.0,79.62,337739251712,59.2,24.3,15.0,19.9,2026-02-12 00:41:45,2025-05-30,⭐⭐ GOOD,🟡 Good
PLTR,56.738461538461536,50.0,,,,Palantir Technologies Inc.,68.8,Technology,Software - Infrastructure,60.0,50.0,85.0,95.0,70.0,135.68,323384606720,58.3,22.7,15.0,20.6,2026-02-12 00:41:45,2025-05-30,⭐⭐ GOOD,🟡 Good
BNTX,68.4090909090909,50.0,,,,BioNTech SE,49.0,Healthcare,Biotechnology,50.0,50.0,30.0,60.0,65.0,109.38,27446802432,57.1,27.4,15.0,14.7,2026-02-12 00:41:45,2025-05-30,⭐⭐ GOOD,🟡 Good
TWLO,59.75,50.0,,,,Twilio Inc.,56.2,Technology,Software - Infrastructure,50.0,50.0,56.0,70.0,70.0,110.44,16945207296,55.8,23.9,15.0,16.9,2026-02-12 00:41:45,2025-05-30,⭐⭐ GOOD,🟡 Good
COIN,55.96153846153846,50.0,,,,"Coinbase Global, Inc. - 3",59.9,Financial Services,Financial Data & Stock Exchanges,60.0,50.0,40.5,95.0,70.0,153.2,41311543296,55.4,22.4,15.0,18.0,2026-02-12 00:41:45,2025-05-30,⭐⭐ GOOD,🟡 Good
SNOW,58.56363636363636,50.0,,,,Snowflake Inc.,56.1,Technology,Software - Application,50.0,50.0,74.5,45.0,70.0,178.83,61195628544,55.3,23.4,15.0,16.8,2026-02-12 00:41:45,2025-05-30,⭐⭐ GOOD,🟡 Good
ROKU,60.13333333333334,50.0,,,,"Roku, Inc.",54.2,Communication Services,Entertainment,50.0,50.0,50.0,65.0,70.0,87.89,12985903104,55.3,24.1,15.0,16.3,2026-02-12 00:41:45,2025-05-30,⭐⭐ GOOD,🟡 Good
SHOP,55.9,50.0,,,,Shopify Inc.,58.0,Technology,Software - Application,55.0,50.0,50.0,80.0,70.0,118.71,154926481408,54.8,22.4,15.0,17.4,2026-02-12 00:41:45,2025-05-30,⭐ AVERAGE,🟡 Average
ADBE,58.65909090909091,50.0,,,,Adobe Inc.,54.0,Technology,Software - Application,60.0,50.0,30.0,70.0,70.0,257.16,107647180800,54.7,23.5,15.0,16.2,2026-02-12 00:41:45,2025-05-30,⭐ AVERAGE,🟡 Average
LCID,58.040000000000006,50.0,,,,"Lucid Group, Inc.",53.9,Consumer Cyclical,Auto Manufacturers,50.0,50.0,60.5,55.0,60.0,10.05,3257892864,54.4,23.2,15.0,16.2,2026-02-12 00:41:45,2025-05-30,⭐ AVERAGE,🟡 Average
SOFI,58.388888888888886,50.0,,,,"SoFi Technologies, Inc.",52.2,Financial Services,Credit Services,55.0,50.0,30.0,75.0,60.0,20.55,25968164864,54.0,23.4,15.0,15.7,2026-02-12 00:41:45,2025-05-30,⭐ AVERAGE,🟡 Average
CRM,53.742105263157896,54.5,49.0,0.0,100.0,"Salesforce, Inc.",52.5,Technology,Software - Application,55.0,50.0,30.0,70.0,70.0,185.0,176120004608,53.6,21.5,16.3,15.8,2026-02-12 00:41:45,2025-05-30,⭐ AVERAGE,🟡 Average
DOCU,55.45454545454545,50.0,,,,"DocuSign, Inc.",54.1,Technology,Software - Application,50.0,50.0,54.5,65.0,60.0,44.34,8880093184,53.4,22.2,15.0,16.2,2026-02-12 00:41:45,2025-05-30,⭐ AVERAGE,🟡 Average
DDOG,53.125,50.0,,,,"Datadog, Inc.",50.2,Technology,Software - Application,50.0,50.0,30.0,65.0,70.0,127.33,44650905600,51.3,21.2,15.0,15.1,2026-02-12 00:41:45,2025-05-30,⭐ AVERAGE,🟡 Average
