ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,tier,quality
META,82.92105263157895,50.0,,,,"Meta Platforms, Inc.",67.3,Communication Services,Internet Content & Information,60.0,50.0,80.5,95.0,65.0,668.69,1691488485376,68.4,33.2,15.0,20.2,2026-02-11 23:52:41,2025-02-11,⭐⭐⭐ EXCELLENT,🟢 Excellent
TSLA,71.25,50.0,,,,"Tesla, Inc.",60.9,Consumer Cyclical,Auto Manufacturers,50.0,50.0,80.5,75.0,60.0,428.27,1607054000128,61.8,28.5,15.0,18.3,2026-02-11 23:52:41,2025-02-11,⭐⭐ GOOD,🟡 Good
BNTX,68.4090909090909,50.0,,,,BioNTech SE,57.9,Healthcare,Biotechnology,50.0,50.0,74.5,60.0,65.0,109.38,27446802432,59.7,27.4,15.0,17.4,2026-02-11 23:52:41,2025-02-11,⭐⭐ GOOD,🟡 Good
NFLX,60.65714285714286,50.0,,,,"Netflix, Inc.",67.2,Communication Services,Entertainment,60.0,50.0,85.0,85.0,70.0,79.62,337739251712,59.4,24.3,15.0,20.2,2026-02-11 23:52:41,2025-02-11,⭐⭐ GOOD,🟡 Good
OKTA,66.65,50.0,,,,"Okta, Inc.",58.7,Technology,Software - Infrastructure,50.0,50.0,71.0,70.0,65.0,88.18,15628161024,59.3,26.7,15.0,17.6,2026-02-11 23:52:41,2025-02-11,⭐⭐ GOOD,🟡 Good
PLTR,56.738461538461536,50.0,,,,Palantir Technologies Inc.,68.8,Technology,Software - Infrastructure,60.0,50.0,85.0,95.0,70.0,135.68,323384606720,58.3,22.7,15.0,20.6,2026-02-11 23:52:41,2025-02-11,⭐⭐ GOOD,🟡 Good
CRM,53.742105263157896,59.6,41.3,0.0,100.0,"Salesforce, Inc.",61.4,Technology,Software - Application,55.0,50.0,74.5,70.0,70.0,185.0,176120004608,57.8,21.5,17.9,18.4,2026-02-11 23:52:41,2025-02-11,⭐⭐ GOOD,🟡 Good
TWLO,59.75,50.0,,,,Twilio Inc.,62.0,Technology,Software - Infrastructure,50.0,50.0,85.0,70.0,70.0,110.44,16945207296,57.5,23.9,15.0,18.6,2026-02-11 23:52:41,2025-02-11,⭐⭐ GOOD,🟡 Good
COIN,55.96153846153846,50.0,,,,"Coinbase Global, Inc. - 3",66.7,Financial Services,Financial Data & Stock Exchanges,60.0,50.0,74.5,95.0,70.0,153.2,41311543296,57.4,22.4,15.0,20.0,2026-02-11 23:52:41,2025-02-11,⭐⭐ GOOD,🟡 Good
SOFI,58.388888888888886,50.0,,,,"SoFi Technologies, Inc.",63.2,Financial Services,Credit Services,55.0,50.0,85.0,75.0,60.0,20.55,25968164864,57.3,23.4,15.0,19.0,2026-02-11 23:52:41,2025-02-11,⭐⭐ GOOD,🟡 Good
ROKU,60.13333333333334,50.0,,,,"Roku, Inc.",60.4,Communication Services,Entertainment,50.0,50.0,80.5,65.0,70.0,87.89,12985903104,57.2,24.1,15.0,18.1,2026-02-11 23:52:41,2025-02-11,⭐⭐ GOOD,🟡 Good
SHOP,55.9,50.0,,,,Shopify Inc.,65.0,Technology,Software - Application,55.0,50.0,85.0,80.0,70.0,118.71,154926481408,56.9,22.4,15.0,19.5,2026-02-11 23:52:41,2025-02-11,⭐⭐ GOOD,🟡 Good
SNOW,58.56363636363636,50.0,,,,Snowflake Inc.,58.2,Technology,Software - Application,50.0,50.0,85.0,45.0,70.0,178.83,61195628544,55.9,23.4,15.0,17.5,2026-02-11 23:52:41,2025-02-11,⭐⭐ GOOD,🟡 Good
DOCU,55.45454545454545,50.0,,,,"DocuSign, Inc.",59.4,Technology,Software - Application,50.0,50.0,80.5,65.0,60.0,44.34,8880093184,55.0,22.2,15.0,17.8,2026-02-11 23:52:41,2025-02-11,⭐⭐ GOOD,🟡 Good
ADBE,58.65909090909091,50.0,,,,Adobe Inc.,54.0,Technology,Software - Application,60.0,50.0,30.0,70.0,70.0,257.16,107647180800,54.7,23.5,15.0,16.2,2026-02-11 23:52:41,2025-02-11,⭐ AVERAGE,🟡 Average
DDOG,53.125,50.0,,,,"Datadog, Inc.",60.4,Technology,Software - Application,50.0,50.0,80.5,65.0,70.0,127.33,44650905600,54.4,21.2,15.0,18.1,2026-02-11 23:52:41,2025-02-11,⭐ AVERAGE,🟡 Average
LCID,58.040000000000006,50.0,,,,"Lucid Group, Inc.",50.8,Consumer Cyclical,Auto Manufacturers,50.0,50.0,45.0,55.0,60.0,10.05,3257892864,53.5,23.2,15.0,15.2,2026-02-11 23:52:41,2025-02-11,⭐ AVERAGE,🟡 Average
