ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,tier,quality
META,82.92105263157895,50.0,,,,META,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,48.2,33.2,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⭐ AVERAGE,🟡 Average
TSLA,71.25,50.0,,,,TSLA,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,43.5,28.5,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
BNTX,68.4090909090909,50.0,,,,BNTX,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,42.4,27.4,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
OKTA,66.65,50.0,,,,OKTA,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,41.7,26.7,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
NFLX,60.65714285714286,50.0,,,,NFLX,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,39.3,24.3,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
CRM,53.742105263157896,58.7,44.6,0.0,95.3,CRM,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,39.1,21.5,17.6,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
ROKU,60.13333333333334,50.0,,,,ROKU,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,39.1,24.1,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
TWLO,59.75,50.0,,,,TWLO,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,38.9,23.9,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
ADBE,58.65909090909091,50.0,,,,ADBE,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,38.5,23.5,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
SNOW,58.56363636363636,50.0,,,,SNOW,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,38.4,23.4,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
SOFI,58.388888888888886,50.0,,,,SOFI,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,38.4,23.4,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
LCID,58.040000000000006,50.0,,,,LCID,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,38.2,23.2,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
PLTR,56.738461538461536,50.0,,,,PLTR,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,37.7,22.7,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
COIN,55.96153846153846,50.0,,,,COIN,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,37.4,22.4,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
SHOP,55.9,50.0,,,,SHOP,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,37.4,22.4,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
DOCU,55.45454545454545,50.0,,,,DOCU,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,37.2,22.2,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
DDOG,53.125,50.0,,,,DDOG,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0,36.2,21.2,15.0,0.0,2026-02-12 08:37:11,2025-06-20,⚠️ WEAK,🔴 Weak
