ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,tier,quality
META,82.92105263157895,50.0,,,,"Meta Platforms, Inc.",61.2,Communication Services,Internet Content & Information,60.0,50.0,50.0,95.0,65.0,668.69,1691488485376,66.5,33.2,15.0,18.4,2026-02-12 00:43:48,2025-05-09,⭐⭐⭐ EXCELLENT,🟢 Excellent
CRM,53.742105263157896,75.9,67.7,100.0,89.2,"Salesforce, Inc.",56.5,Technology,Software - Application,55.0,50.0,50.0,70.0,70.0,185.0,176120004608,61.2,21.5,22.8,17.0,2026-02-12 00:43:48,2025-05-09,⭐⭐ GOOD,🟡 Good
OKTA,66.65,50.0,,,,"Okta, Inc.",61.5,Technology,Software - Infrastructure,50.0,50.0,85.0,70.0,65.0,88.18,15628161024,60.1,26.7,15.0,18.4,2026-02-12 00:43:48,2025-05-09,⭐⭐ GOOD,🟡 Good
TSLA,71.25,50.0,,,,"Tesla, Inc.",53.0,Consumer Cyclical,Auto Manufacturers,50.0,50.0,41.0,75.0,60.0,428.27,1607054000128,59.4,28.5,15.0,15.9,2026-02-12 00:43:48,2025-05-09,⭐⭐ GOOD,🟡 Good
NFLX,60.65714285714286,50.0,,,,"Netflix, Inc.",66.3,Communication Services,Entertainment,60.0,50.0,80.5,85.0,70.0,79.62,337739251712,59.2,24.3,15.0,19.9,2026-02-12 00:43:48,2025-05-09,⭐⭐ GOOD,🟡 Good
PLTR,56.738461538461536,50.0,,,,Palantir Technologies Inc.,66.7,Technology,Software - Infrastructure,60.0,50.0,74.5,95.0,70.0,135.68,323384606720,57.7,22.7,15.0,20.0,2026-02-12 00:43:48,2025-05-09,⭐⭐ GOOD,🟡 Good
BNTX,68.4090909090909,50.0,,,,BioNTech SE,46.0,Healthcare,Biotechnology,50.0,50.0,15.0,60.0,65.0,109.38,27446802432,56.2,27.4,15.0,13.8,2026-02-12 00:43:48,2025-05-09,⭐⭐ GOOD,🟡 Good
SOFI,58.388888888888886,50.0,,,,"SoFi Technologies, Inc.",57.5,Financial Services,Credit Services,55.0,50.0,56.0,75.0,60.0,20.55,25968164864,55.6,23.4,15.0,17.2,2026-02-12 00:43:48,2025-05-09,⭐⭐ GOOD,🟡 Good
TWLO,59.75,50.0,,,,Twilio Inc.,54.8,Technology,Software - Infrastructure,50.0,50.0,49.0,70.0,70.0,110.44,16945207296,55.3,23.9,15.0,16.4,2026-02-12 00:43:48,2025-05-09,⭐⭐ GOOD,🟡 Good
COIN,55.96153846153846,50.0,,,,"Coinbase Global, Inc. - 3",58.8,Financial Services,Financial Data & Stock Exchanges,60.0,50.0,35.0,95.0,70.0,153.2,41311543296,55.0,22.4,15.0,17.6,2026-02-12 00:43:48,2025-05-09,⭐⭐ GOOD,🟡 Good
SNOW,58.56363636363636,50.0,,,,Snowflake Inc.,55.2,Technology,Software - Application,50.0,50.0,70.0,45.0,70.0,178.83,61195628544,55.0,23.4,15.0,16.6,2026-02-12 00:43:48,2025-05-09,⭐⭐ GOOD,🟡 Good
ADBE,58.65909090909091,50.0,,,,Adobe Inc.,54.0,Technology,Software - Application,60.0,50.0,30.0,70.0,70.0,257.16,107647180800,54.7,23.5,15.0,16.2,2026-02-12 00:43:48,2025-05-09,⭐ AVERAGE,🟡 Average
SHOP,55.9,50.0,,,,Shopify Inc.,57.8,Technology,Software - Application,55.0,50.0,49.0,80.0,70.0,118.71,154926481408,54.7,22.4,15.0,17.3,2026-02-12 00:43:48,2025-05-09,⭐ AVERAGE,🟡 Average
ROKU,60.13333333333334,50.0,,,,"Roku, Inc.",51.2,Communication Services,Entertainment,50.0,50.0,35.0,65.0,70.0,87.89,12985903104,54.4,24.1,15.0,15.4,2026-02-12 00:43:48,2025-05-09,⭐ AVERAGE,🟡 Average
LCID,58.040000000000006,50.0,,,,"Lucid Group, Inc.",51.8,Consumer Cyclical,Auto Manufacturers,50.0,50.0,50.0,55.0,60.0,10.05,3257892864,53.8,23.2,15.0,15.5,2026-02-12 00:43:48,2025-05-09,⭐ AVERAGE,🟡 Average
DOCU,55.45454545454545,50.0,,,,"DocuSign, Inc.",54.5,Technology,Software - Application,50.0,50.0,56.0,65.0,60.0,44.34,8880093184,53.5,22.2,15.0,16.3,2026-02-12 00:43:48,2025-05-09,⭐ AVERAGE,🟡 Average
DDOG,53.125,50.0,,,,"Datadog, Inc.",47.2,Technology,Software - Application,50.0,50.0,15.0,65.0,70.0,127.33,44650905600,50.4,21.2,15.0,14.2,2026-02-12 00:43:48,2025-05-09,⭐ AVERAGE,🟡 Average
