ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
ALIT,"Alight,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,0.88,$1.89 - $1.96,2.36,1.83,0.0,2026-03-04,20.2,-59.2,1.93,2.36,-54.3,1.58,,,,,,
NRDY,Nerdy,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,0.91,$0.96 - $1.0,1.27,0.93,0.0,2026-03-04,28.0,-35.8,0.98,1.27,-6.9,2.3,,,,,,
LAKE,"Lakeland Industries,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,8.97,$10.59 - $11.02,15.78,10.26,0.0,2026-03-04,18.7,-41.5,10.81,15.78,-17.0,1.52,,,,,,
KKR,KKR &,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,90.55,$114.78 - $119.47,135.57,111.27,0.0,2026-03-04,27.5,-36.5,117.13,135.57,-22.7,0.92,,,,,,
SXC,"SunCoke Energy,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,6.01,$6.07 - $6.32,8.22,5.89,17.77,2026-03-04,18.0,-28.0,6.2,8.22,-3.0,1.09,,,,,,
SVCO,"Silvaco Group,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,3.32,$3.93 - $4.09,4.83,3.81,0.0,2026-03-04,28.0,-33.1,4.01,4.83,-17.2,0.75,,,,,,
SONO,"Sonos,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,14.75,$14.81 - $15.41,17.83,14.35,7.79,2026-03-04,23.4,-23.0,15.11,17.83,-2.4,0.53,,,,,,
LYFT,"Lyft,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,13.21,$18.86 - $19.64,22.97,18.29,0.0,2026-03-04,25.1,-42.5,19.25,22.97,-31.4,1.14,,,,,,
MYSZ,"My Size,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.54,$0.74 - $0.77,1.18,0.71,0.0,2026-03-04,23.2,-50.2,0.75,1.18,-27.6,0.52,,,,,,
IBM,International Business Machines,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,245.28,$282.53 - $294.06,310.65,273.88,0.0,2026-03-04,28.5,-21.6,288.3,310.65,-14.9,0.9,,,,,,
BH,Biglari,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,334.83,$316.17 - $329.07,425.96,306.49,3.22,2026-03-04,26.1,-29.8,322.62,425.96,3.8,0.83,,,,,,
VEEE,VEEE,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.39,$1.56 - $1.62,2.67,1.51,0.0,2026-03-04,18.8,-83.3,1.59,2.67,-75.3,0.81,,,,,,
NWTG,"Newton Golf,",Bull Flag Pullback,⭐⭐ MUY BUENA,75,1.66,$1.63 - $1.69,1.86,1.53,1.59,2026-03-04,,,,,,,35.8,-10.8,1.58,1.58,Bearish,True
WYY,WidePoint,Oversold Bounce,⭐⭐ MUY BUENA,70,4.59,$5.2 - $5.42,7.34,5.04,0.0,2026-03-04,35.0,-37.8,5.31,7.34,-13.6,1.26,,,,,,
SPT,"Sprout Social,",Oversold Bounce,⭐⭐ MUY BUENA,70,6.85,$9.16 - $9.54,11.37,8.88,0.0,2026-03-04,37.1,-41.3,9.35,11.37,-26.7,1.46,,,,,,
HYMC,Hycroft Mining Holding,Bull Flag Pullback,⭐ BUENA,60,48.51,$47.54 - $49.48,55.74,35.34,0.55,2026-03-04,,,,,,,394.1,-13.0,36.44,36.44,Bearish,False
THM,International Tower Hill Mines,Bull Flag Pullback,⭐ BUENA,60,3.2,$3.14 - $3.26,3.61,2.4,0.51,2026-03-04,,,,,,,109.9,-11.4,2.47,2.47,Bearish,False
NG,NovaGold Resources,Bull Flag Pullback,⭐ BUENA,60,12.72,$12.47 - $12.97,14.2,10.08,0.56,2026-03-04,,,,,,,71.1,-10.4,10.39,10.39,Bearish,False
SSTI,SSTI,Bull Flag Pullback,⭐ BUENA,60,7.83,$7.67 - $7.99,9.07,7.45,3.27,2026-03-04,,,,,,,38.9,-13.7,7.68,7.68,Bearish,False
