ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,analyzed_at
FPI,Farmland Partners Inc.,73.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,100.0,79.4,65.0,50.0,80.0,78.9,False,up,,,0,102.1,True,2,{'profit_margin_pct': 60.2},"{'revenue_growth_yoy': np.float64(102.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(36.1), 'rs_6m': np.float64(18.1), 'rs_line_percentile': 78.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 5.7, 'debt_to_equity': 0.3, 'current_ratio': 0.62, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 0.7}",12.91,571743872,Real Estate,REIT - Specialty,7.6,4.9,False,13.225,-2.4,7.0,True,13.0,14.0,12.5,3.0,hold,0.7,,,6.1,-52.7,-8.15,-1.07,2.79,39.3,0.36,1.95,True,-6.62,4.3,-29.2,63.0,2026-05-06,False,False,2026-03-04T07:43:35.308583
LPG,Dorian LPG Ltd.,73.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,85.4,80.0,60.0,95.0,93.7,False,up,,,0,58.1,False,0,{'profit_margin_pct': 30.4},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(50.4), 'rs_6m': np.float64(17.9), 'rs_line_percentile': 93.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 2.6}",36.32,1552465792,Energy,Oil & Gas Midstream,4.6,2.6,False,38.4,-5.4,8.0,True,37.25,41.0,31.0,4.0,buy,2.6,100.74,177.4,84.9,133.8,6.54,2.38,6.75,86.6,2.45,,True,-0.43,5.4,121.6,78.0,2026-05-21,False,False,2026-03-04T07:39:00.802855
MSGM,Motorsport Games Inc.,73.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,75.0,100.0,50.0,60.0,72.3,False,up,,,0,57.1,False,0,{'profit_margin_pct': 36.6},"{'revenue_growth_yoy': np.float64(57.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(41.3), 'rs_6m': np.float64(23.2), 'rs_line_percentile': 72.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 70.3, 'debt_to_equity': 0.0, 'current_ratio': 1.92, 'operating_margin_pct': 25.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",3.81,19348898,Communication Services,Electronic Gaming & Multimedia,1.9,0.6,False,5.409,-29.6,6.0,False,,,,,none,,,,4.2,10.2,-0.02,-0.0,,,,,False,,64.7,,15.0,2026-03-19,False,True,2026-03-04T07:43:12.376897
PKBK,"Parke Bancorp, Inc.",72.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,86.3,65.0,50.0,95.0,91.0,False,up,,,0,25.4,True,2,{'profit_margin_pct': 48.8},"{'revenue_growth_yoy': np.float64(25.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(19.5), 'rs_6m': np.float64(20.3), 'rs_line_percentile': 91.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 12.1, 'operating_margin_pct': 68.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",27.855,330003680,Financial Services,Banks - Regional,1.0,1.1,False,29.5,-5.6,8.0,True,,,,,none,,,,94.8,240.3,,,2.58,22.8,0.72,3.41,True,-2.64,,26.4,43.0,2026-04-16,False,False,2026-03-04T07:40:03.391541
BBT,Beacon Financial Corporation,71.4,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,100.0,71.9,60.0,65.0,80.0,82.9,False,up,,,0,58.1,True,2,{'profit_margin_pct': 17.6},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(16.2), 'rs_6m': np.float64(8.8), 'rs_line_percentile': 82.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 4.9, 'operating_margin_pct': 46.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 15.9}",29.83,2503001344,Financial Services,Banks - Regional,5.1,4.4,False,32.0,-6.8,8.0,True,34.57,42.0,31.0,7.0,buy,15.9,,,30.9,3.6,,,4.32,124.9,1.29,4.53,False,,,223.4,50.0,2026-04-23,False,False,2026-03-04T07:41:24.186115
RBKB,"Rhinebeck Bancorp, Inc.",70.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,90.0,87.4,60.0,50.0,100.0,100.0,True,up,,,0,75.0,True,1,{'profit_margin_pct': 19.4},"{'revenue_growth_yoy': np.float64(75.0), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(43.8), 'rs_6m': np.float64(12.3), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 7.8, 'operating_margin_pct': 23.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",15.9,177216336,Financial Services,Banks - Regional,1.9,5.2,False,16.495,-3.6,8.0,True,,,,,none,,,,9.2,-42.1,,,,,,,True,-0.08,,,,,False,False,2026-03-04T07:42:39.405034
CHUC,"Charlie's Holdings, Inc.",70.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,66.6,75.0,50.0,60.0,73.3,False,up,,,0,298.9,True,1,{'profit_margin_pct': 23.7},"{'revenue_growth_yoy': np.float64(298.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(70.3), 'rs_6m': np.float64(0.5), 'rs_line_percentile': 73.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 328.1, 'debt_to_equity': 0.99, 'current_ratio': 1.46, 'operating_margin_pct': -4.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",0.2901,78516512,Consumer Defensive,Tobacco,,0.1,False,0.38,-23.7,8.0,True,,,,,none,,,,0.1,-65.5,-6.9,-0.02,,,,,False,,5.4,,,,False,False,2026-03-04T07:36:23.169090
NIC,Nicolet Bankshares Inc.,69.9,⭐⭐ GOOD,🟡 Good,60.0,80.0,80.6,65.0,60.0,95.0,91.4,False,up,,,0,12.8,True,2,{'profit_margin_pct': 38.9},"{'revenue_growth_yoy': np.float64(12.8), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(22.8), 'rs_6m': np.float64(7.2), 'rs_line_percentile': 91.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 12.4, 'operating_margin_pct': 52.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 12.9}",155.02,3311665152,Financial Services,Banks - Regional,6.7,4.8,False,163.11,-5.0,8.0,True,175.0,190.0,157.0,5.0,buy,12.9,,,196.58,26.8,,,0.83,12.7,1.28,,True,-2.96,,14.1,41.0,2026-04-14,False,False,2026-03-04T07:42:21.225703
AMRZ,Amrize Ltd,69.8,⭐⭐ GOOD,🟡 Good,55.0,80.0,76.7,80.0,60.0,80.0,80.1,False,up,,,0,36.4,False,0,{'profit_margin_pct': 10.0},"{'revenue_growth_yoy': np.float64(36.4), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(18.4), 'rs_6m': np.float64(10.4), 'rs_line_percentile': 80.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 10.2, 'debt_to_equity': 0.48, 'current_ratio': 1.64, 'operating_margin_pct': 17.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 7.8}",61.78,34887299072,Basic Materials,Building Materials,,2.9,False,65.94,-6.3,,,66.57,76.0,57.0,20.0,buy,7.8,43.18,-30.1,21.4,-65.4,4.53,2.86,,,,,False,,5.2,3.6,54.0,2026-04-27,False,False,2026-03-04T07:38:42.849938
FTAI,FTAI Aviation Ltd.,69.3,⭐⭐ GOOD,🟡 Good,55.0,80.0,83.0,65.0,65.0,80.0,87.9,False,up,,,0,33.7,False,0,{'profit_margin_pct': 20.0},"{'revenue_growth_yoy': np.float64(33.7), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(66.2), 'rs_6m': np.float64(81.3), 'rs_line_percentile': 87.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 18.6}",281.75,28899921920,Industrials,Rental & Leasing Services,3.8,1.8,False,323.51,-12.9,8.0,True,334.2,375.0,266.0,10.0,strong_buy,18.6,,,130.23,-53.8,-2.67,-7.53,0.48,27.5,1.35,3.38,True,-0.43,3.3,29.8,57.0,2026-04-30,False,False,2026-03-04T07:40:39.972482
