ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date
9999.HK,"NetEase, Inc.",183.3,HKD,84.0,A,84.0,ROE 22.6% | Potencial +38% analistas | FCF yield 5.3% | Margen 30% | Dividendo 2.5% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,253.5,38.3,23,5.3,4.79,2.52,,22.6,11.7,15.5,30.0,3.0,-26.1,regulatory risks in Chinese tech sector | cyclical risks in gaming industry,NTES,SUSPECT,Low forward P/E and high profit margin may indicate potential overestimation of future earnings,2026-03-12
000660.KS,SK hynix Inc.,930000.0,KRW,83.0,A,83.0,ROE 44.1% | P/E 4.6x (vs 11x mercado) | Potencial +31% analistas | Crecimiento ingresos +66% | Margen 44%,2,0,Technology,Korea,🇰🇷,21.2,1216223.0,30.8,38,2.7,3.85,,,44.1,4.6,,44.2,66.1,-15.4,cyclical | geopolitical,HXSCL,SUSPECT,Anomalous forward P/E of 4.6x and extremely high ROE and profit margin for a technology company,2026-03-12
2020.HK,ANTA Sports Products Limited,79.55,HKD,82.0,A,82.0,ROE 25.4% | Potencial +36% analistas | FCF yield 5.7% | Dividendo 3.5% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,107.93,35.7,32,5.7,4.46,3.45,,25.4,13.8,13.5,19.7,14.3,-25.2,Cyclical Risk,,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-03-12
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",62.85,HKD,77.0,A,77.0,P/E 6.7x (vs 11x mercado) | Potencial +34% analistas | Crecimiento ingresos +36% | Dividendo 4.4% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,84.35,34.2,18,,4.28,4.41,,12.2,6.7,7.3,14.1,35.5,-15.9,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure,PNGAY,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector pose concerns,2026-03-12
0700.HK,Tencent Holdings Limited,546.5,HKD,71.0,A,71.0,ROE 19.8% | Potencial +39% analistas | Crecimiento ingresos +15% | Margen 30% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,758.93,38.9,46,2.6,4.86,0.77,,19.8,15.4,21.7,29.9,15.4,-20.0,regulatory risks in China | geopolitical risks due to US-China tensions,TCEHY,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual for a growth company like Tencent",2026-03-12
6690.HK,"Haier Smart Home Co., Ltd.",25.18,HKD,71.0,A,71.0,ROE 18.2% | P/E 9.4x | Potencial +31% analistas | Dividendo 5.3% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Consumer Cyclical,HongKong,🇭🇰,10.7,33.1,31.5,18,0.7,3.93,5.33,,18.2,9.4,9.8,6.8,9.5,-10.7,cyclical risk | governance risk,,SUSPECT,Low FCF yield and high dividend yield may indicate potential cash flow issues,2026-03-12
9984.T,SoftBank Group Corp.,3748.0,JPY,69.0,A,69.0,ROE 26.0% | P/E 12.7x | Potencial +49% analistas | FCF negativo | Margen 48% | Mercado Japan CAPE 29 (26% descuento histórico),4,1,Communication Services,Japan,🇯🇵,29.4,5568.47,48.6,17,-0.2,6.07,0.29,,26.0,12.7,7.0,48.2,8.2,-45.9,cyclical | governance,SFTBY,SUSPECT,Negative FCF yield and low dividend yield raise concerns about the company's ability to generate cash and reward shareholders,2026-03-12
TOTS3.SA,TOTVS S.A.,37.57,BRL,69.0,A,69.0,ROE 16.1% | Potencial +38% analistas | Crecimiento ingresos +15% | Dividendo 1.6% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,51.83,38.0,13,1.0,4.74,1.62,,16.1,16.6,26.6,15.4,15.1,-22.4,Earnings Estimate Risk | Valuation Risk,,SUSPECT,"Forward P/E is lower than Trailing P/E, which is unusual and may indicate potential issues with future earnings estimates",2026-03-12
4568.T,"Daiichi Sankyo Company, Limited",2900.0,JPY,68.0,A,68.0,ROE 18.3% | Potencial +65% analistas | FCF negativo | Crecimiento ingresos +15% | Dividendo 2.7% | Mercado Japan CAPE 29 (26% descuento histórico),3,1,Healthcare,Japan,🇯🇵,29.4,4786.88,65.1,16,-2.0,8.13,2.73,,18.3,20.2,19.4,14.8,15.1,-30.6,Negative FCF Yield | Geopolitical Risk (Japan market),DSNKY,SUSPECT,Negative FCF yield is anomalous for a healthcare company with positive profit margin and revenue growth,2026-03-12
8766.T,"Tokio Marine Holdings, Inc.",5878.0,JPY,68.0,A,68.0,ROE 20.7% | P/E 11.9x | Potencial +19% | Crecimiento ingresos +22% | Dividendo 3.5% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Financial Services,Japan,🇯🇵,29.4,6982.0,18.8,10,,2.35,3.51,,20.7,11.9,10.7,12.6,21.8,-12.4,FCF no comparable (sector financiero) | Regulatory risk in Japanese insurance market | Cyclical risk in financial services sector,TKOMY,CLEAN,"Metrics appear reasonable for an insurance company, with no obvious anomalies",2026-03-12
LREN3.SA,Lojas Renner S.A.,15.68,BRL,67.0,A,67.0,P/E 9.2x | Potencial +21% | FCF yield 10.2% | Dividendo 5.8% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Consumer Cyclical,Brazil,🇧🇷,9.0,19.03,21.4,15,10.2,2.67,5.81,,13.7,9.2,11.0,9.2,4.8,-21.1,cyclical risk | geopolitical risk (Brazilian market),,SUSPECT,FCF yield seems high for a consumer cyclical company,2026-03-12
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,44.8,BRL,67.0,A,67.0,ROE 28.2% | P/E 4.0x (vs 10x mercado) | FCF yield 14.7% | Margen 22% | Mercado Brazil CAPE 9 (34% descuento histórico),4,0,Energy,Brazil,🇧🇷,9.0,42.97,-4.1,13,14.7,-0.51,10.35,,28.2,4.0,5.3,22.1,5.0,1.2,cyclical | geopolitical | governance,PBR,SUSPECT,Anomalous FCF yield and dividend yield for an energy company,2026-03-12
6098.T,"Recruit Holdings Co., Ltd.",6516.0,JPY,67.0,A,67.0,ROE 27.3% | Potencial +51% analistas | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,9867.5,51.4,16,4.6,6.43,0.38,,27.3,21.5,21.9,12.8,5.2,-31.9,regulatory risk in Japanese labor market | cyclical risk in recruitment industry,RCRUY,SUSPECT,High ROE and analyst upside may indicate overvaluation or unrealistic expectations,2026-03-12
0941.HK,China Mobile Limited,79.0,HKD,66.0,A,66.0,P/E 10.2x | Potencial +27% | FCF yield 8.6% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Communication Services,HongKong,🇭🇰,10.7,100.19,26.8,14,8.6,3.35,6.63,,10.5,10.2,10.6,13.7,2.5,-12.8,regulatory risk | geopolitical risk,,SUSPECT,FCF yield seems high for a telecom company,2026-03-12
0388.HK,Hong Kong Exchanges and Clearing Limited,406.4,HKD,66.0,A,66.0,ROE 31.5% | Potencial +28% | Margen 62% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,519.24,27.8,17,,3.47,3.17,,31.5,26.8,29.0,61.5,14.2,-12.8,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Real Estate Exposure,,SUSPECT,High ROE and profit margin may indicate potential overvaluation or accounting irregularities,2026-03-12
0939.HK,China Construction Bank Corporation,7.92,HKD,65.0,A,65.0,P/E 5.3x (vs 11x mercado) | Potencial +20% | Margen 56% | Dividendo 5.5% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,9.54,20.4,18,,2.55,5.48,,9.6,5.3,5.4,55.9,3.0,-7.5,FCF no comparable (sector financiero) | Empresa estatal — riesgo de gobierno corporativo | Banco/aseguradora HK — exposición sector inmuebles chino | Exposure to Chinese real estate market | State-owned enterprise governance risks,,RISKY,Anomalous profit margin and lack of FCF yield data raise concerns,2026-03-12
