ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
CNTM,"ConnectM Technology Solutions,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,0.21,$0.21 - $0.22,0.36,0.2,22.99,2026-03-12,14.6,-58.0,0.21,0.36,-1.9,1.91,,,,,,
VENU,Venu Holding,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,3.7,$8.36 - $8.71,10.89,8.11,0.0,2026-03-12,16.8,-63.1,8.53,10.89,-56.6,1.45,,,,,,
APTV,Aptiv PLC,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,70.32,$74.4 - $77.44,86.64,72.12,0.0,2026-03-12,22.2,-20.7,75.92,86.64,-7.4,1.03,,,,,,
ALLY,Ally Financial,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,36.85,$36.56 - $38.05,43.34,35.44,4.6,2026-03-12,29.1,-21.1,37.3,43.34,-1.2,1.04,,,,,,
BMI,"Badger Meter,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,146.84,$163.98 - $170.68,184.33,158.96,0.0,2026-03-12,23.3,-20.3,167.33,184.33,-12.2,0.59,,,,,,
KFS,Kingsway Financial Services,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,11.0,$12.05 - $12.55,13.9,11.69,0.0,2026-03-12,27.6,-20.9,12.3,13.9,-10.6,1.07,,,,,,
BH,Biglari,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,317.73,$316.17 - $329.07,425.96,306.49,9.63,2026-03-12,26.7,-33.4,322.62,425.96,-1.5,1.1,,,,,,
ACVA,ACV Auctions,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,5.0,$6.28 - $6.53,8.98,6.08,0.0,2026-03-12,27.5,-44.3,6.4,8.98,-21.9,0.46,,,,,,
IP,International Paper,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,38.66,$36.46 - $37.95,46.13,35.35,2.26,2026-03-12,15.0,-20.6,37.21,46.13,3.9,0.53,,,,,,
VEEE,VEEE,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.34,$1.56 - $1.62,2.67,1.51,0.0,2026-03-12,15.0,-83.3,1.59,2.67,-78.9,0.1,,,,,,
MNRO,"Monro,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,17.2,$16.7 - $17.38,21.11,16.19,3.85,2026-03-12,5.7,-26.9,17.04,21.11,1.0,0.79,,,,,,
GPK,GPK,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,10.26,$14.76 - $15.36,16.12,14.31,0.0,2026-03-12,11.2,-35.8,15.06,16.12,-31.9,1.02,,,,,,
CVCO,"Cavco Industries,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,509.12,$493.92 - $514.08,595.8,478.8,2.86,2026-03-12,27.7,-27.0,504.0,595.8,1.0,1.0,,,,,,
