ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,insiders_score,institutional_score,num_whales,top_whales,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
EXEL,0.0,50.0,6.08,,,"Exelixis, Inc.",60.8,Healthcare,Biotechnology,60.0,50.0,50.3,95.0,60.0,41.75,11193682944.0,35.0,36.9,False,down,,,0.0,7.8,False,0.0,14.2,9.3,True,49.62,-15.9,4.0,False,"{'roe_pct': 35.5, 'debt_to_equity': 0.09, 'current_ratio': 3.56, 'operating_margin_pct': 39.4}",{'profit_margin_pct': 33.7},46.83,60.0,35.0,18.0,buy,12.2,103.06,146.9,83.4,99.8,5.64,2.43,,,,True,-8.46,88.9,58.9,61.0,2026-05-12,False,False,6.0,NEUTRAL,8.94,60.4,0.13,,,,,,70.0,0.0,0.0,,8.0,0.0,15.0,18.2,2026-03-12 07:55:37,2026-03-12,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 40% up volume)",MEGA_FLOAT,211.4,38.0,33.2,35.0,False,down,36.9,0.0,,0.0,False,0.0,0.0,16,41.0,63.4,Medio,46.4,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,False,1/3,80.32,5.0,0.0,6.0,0.0,3.0,5.0,1.52,0.0,2.0,5,0,,⭐⭐⭐ EXCELLENT,🟢 Elite,,,,,,,
INDV,0.0,50.0,26.33,,,"Indivior Pharmaceuticals, Inc.",68.3,Healthcare,Drug Manufacturers - Specialty & Generic,55.0,90.0,74.0,50.0,70.0,32.83,4105892096.0,80.0,86.0,False,down,,,0.0,34.6,True,1.0,8.1,5.5,True,38.0,-13.6,7.0,True,"{'current_ratio': 0.71, 'operating_margin_pct': 37.2}",{'profit_margin_pct': 16.9},46.86,54.0,39.0,7.0,strong_buy,42.7,75.19,129.0,49.2,49.9,5.4,1.77,,,,True,-0.27,6.3,376.2,49.0,2026-04-30,False,False,4.0,NEUTRAL,6.66,167.1,0.03,,,,,,100.0,0.0,0.0,,58.5,0.0,15.0,20.5,2026-03-12 07:55:37,2026-03-12,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (0.8x ratio, 44% up volume)",HIGH_FLOAT,107.0,5.0,35.5,80.0,False,down,86.0,3.0,,0.0,True,1.0,2.0,3,41.0,95.1,Top 10%,66.4,5.0,3.0,3.0,7.0,0.0,0.0,5.0,0.0,False,2/3,76.32,5.0,0.0,6.0,0.0,3.0,5.0,5.34,3.0,0.0,7,0,,⭐⭐ STRONG,🟢 Elite,HOLD,65.0,Close to ATH (-13.6% from high) - wait for pullback | Strong upside (+42.7%) - analyst support,-13.6,NEUTRAL,STRONG_BUY,False
LIFE,0.0,50.0,0.0,,,Ethos Technologies Inc.,59.0,Financial Services,Insurance - Life,55.0,50.0,44.0,95.0,70.0,12.61,792049280.0,35.0,40.8,False,down,,,0.0,,,0.0,2.0,0.6,False,19.0,-33.6,,,"{'roe_pct': 21.0, 'debt_to_equity': 0.01, 'current_ratio': 2.17, 'operating_margin_pct': 22.2}",{'profit_margin_pct': 18.4},20.25,31.0,14.0,8.0,strong_buy,60.6,70.39,458.2,34.2,171.2,6.44,1.66,,,,False,,100.3,162.5,,,False,False,5.0,NEUTRAL,11.14,46.5,0.05,,,,,,100.0,0.0,0.0,,12.700000000000003,0.0,15.0,17.7,2026-03-12 07:55:37,2026-03-12,CONFIRMED_UPTREND,TRADE,False,0,Insufficient data,UNKNOWN,50,Insufficient data,MICRO_FLOAT,6.8,20.0,32.7,35.0,False,down,40.8,0.0,,0.0,,0.0,0.0,,41.0,,Sin datos suficientes,40.8,0.0,0.0,-5.0,0.0,0.0,0.0,5.0,0.0,False,1/3,72.6,0.0,0.0,6.0,0.0,0.0,5.0,7.58,3.0,0.0,6,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
MSFT,0.0,50.0,0.0,,,Microsoft Corporation,60.8,Technology,Software - Infrastructure,60.0,70.0,24.0,90.0,70.0,404.88,3009221230592.0,15.0,12.4,False,down,,,0.0,16.0,True,1.0,1.0,1.6,False,555.45,-27.1,0.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 0.32, 'current_ratio': 1.39, 'operating_margin_pct': 47.1}",{'profit_margin_pct': 39.0},594.62,730.0,392.0,53.0,strong_buy,46.9,306.34,-24.3,479.7,18.5,1.78,7.22,0.9,21.3,0.79,True,-0.74,56.4,59.8,48.0,2026-04-29,False,False,6.0,NEUTRAL,4.14,45.1,0.36,,,,,,70.0,0.0,0.0,,5.0,0.0,15.0,18.2,2026-03-12 07:55:37,2026-03-12,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 41% up volume)",MEGA_FLOAT,7414.9,38.0,33.2,15.0,False,down,12.4,0.0,,0.0,True,1.0,2.0,36,41.0,14.6,Bottom 25%,9.7,-3.0,0.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,1/3,72.32,0.0,0.0,0.0,0.0,3.0,5.0,5.86,3.0,2.0,33,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
PACS,0.0,50.0,16.31,,,"PACS Group, Inc.",58.1,Healthcare,Medical Care Facilities,50.0,50.0,80.3,50.0,70.0,34.44,5412763136.0,80.0,79.9,False,down,,,0.0,6.3,False,0.0,8.4,3.7,True,43.08,-20.1,7.0,True,"{'roe_pct': 23.0, 'debt_to_equity': 3.78, 'current_ratio': 1.07, 'operating_margin_pct': 7.0}",{'profit_margin_pct': 3.6},46.4,52.0,42.0,5.0,strong_buy,34.7,65.27,89.5,36.6,6.3,4.47,1.54,,,,False,,11.0,57.2,56.0,2026-05-07,False,False,8.0,STRONG,3.55,7.4,0.26,,,,,,70.0,0.0,0.0,,38.4,0.0,15.0,17.4,2026-03-12 07:55:37,2026-03-12,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 43% up volume)",MEDIUM_FLOAT,45.9,15.0,32.4,80.0,False,down,79.9,3.0,,0.0,False,0.0,0.0,8,41.0,82.9,Top 25%,61.3,3.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,False,2/3,72.24,5.0,0.0,3.0,0.0,0.0,5.0,4.34,3.0,10.0,62,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
MWA,0.0,50.0,21.77,,,MUELLER WATER PRODUCTS,52.7,Industrials,Specialty Industrial Machinery,55.0,30.0,58.7,80.0,50.0,28.14,4400682496.0,35.0,47.3,False,up,,,0.0,-12.7,False,0.0,3.9,3.4,False,31.0,-9.2,6.0,False,"{'roe_pct': 21.6, 'debt_to_equity': 0.44, 'current_ratio': 4.02, 'operating_margin_pct': 18.9}",{'profit_margin_pct': 13.8},30.33,35.0,25.0,6.0,none,7.8,31.27,11.1,28.83,2.5,3.43,0.96,0.97,21.3,1.5,True,-0.47,14.9,11.3,53.0,2026-05-04,False,False,8.0,STRONG,6.22,25.4,0.8,,,,,,90.0,0.0,0.0,,45.8,0.0,15.0,15.8,2026-03-12 07:55:37,2026-03-12,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 54% up volume)",HIGH_FLOAT,154.1,0.0,30.8,35.0,False,up,47.3,2.0,,0.0,False,0.0,0.0,13,41.0,70.7,Medio,49.6,0.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,False,3/3,69.08,0.0,0.0,3.0,0.0,3.0,3.0,0.98,-3.0,10.0,21,0,,⭐ GOOD,🟢 Excellent,,,,,,,
BUKS,0.0,50.0,30.78,,,Butler National Corp.,67.8,Industrials,Aerospace & Defense,55.0,60.0,89.0,90.0,50.0,3.3,212685840.0,95.0,93.1,False,up,,,0.0,9.8,True,1.0,,,False,3.49,-5.4,8.0,True,"{'roe_pct': 25.4, 'debt_to_equity': 0.52, 'current_ratio': 1.96, 'operating_margin_pct': 30.4}",{'profit_margin_pct': 19.0},,,,,none,,10.45,216.7,7.5,127.3,7.45,0.25,,,,True,-2.68,11.4,40.0,,,False,False,7.0,NEUTRAL,8.63,21.8,0.16,,,,,,100.0,0.0,0.0,,55.3,0.0,15.0,20.3,2026-03-12 07:55:37,2026-03-12,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (1.0x ratio, 45% up volume)",MEDIUM_FLOAT,29.2,5.0,35.3,95.0,False,up,93.1,5.0,,0.0,True,1.0,2.0,23,41.0,46.3,Bajo 50%,31.8,0.0,0.0,3.0,10.0,0.0,0.0,5.0,0.0,False,2/3,68.952,0.0,0.0,6.0,0.0,3.0,5.0,,0.0,5.0,16,0,,⭐ GOOD,🟢 Excellent,,,,,,,
FTAI,0.0,50.0,17.68,,,FTAI Aviation Ltd.,71.8,Industrials,Rental & Leasing Services,55.0,90.0,83.0,65.0,65.0,259.91,26659821568.0,80.0,77.7,False,up,,,0.0,31.9,True,1.0,4.7,2.1,False,323.51,-19.7,7.0,True,"{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}",{'profit_margin_pct': 20.0},334.2,375.0,266.0,10.0,strong_buy,28.6,,,137.08,-47.3,-2.9,-7.53,0.52,27.2,3.38,True,-0.47,3.4,29.8,49.0,2026-04-30,False,False,6.0,NEUTRAL,2.86,25.2,0.79,,,,,,90.0,0.0,0.0,,58.5,0.0,15.0,21.5,2026-03-12 07:55:37,2026-03-12,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 54% up volume)",HIGH_FLOAT,101.1,0.0,36.5,80.0,False,up,77.7,5.0,,0.0,True,1.0,2.0,11,41.0,75.6,Top 25%,51.0,3.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,False,3/3,66.72,0.0,0.0,-5.0,0.0,3.0,5.0,3.58,3.0,2.0,51,0,,⭐ GOOD,🟢 Excellent,BUY,80.0,Good pullback (-19.7% from high) - valid VCP setup | High P/E (56.5) - valuation risk | Strong upside (+28.6%) - analyst support,-19.7,NEUTRAL,STRONG_BUY,True
SPGI,0.0,50.0,0.0,,,S&P Global Inc.,51.5,Financial Services,Financial Data & Stock Exchanges,60.0,50.0,24.0,65.0,65.0,428.96,129889083392.0,15.0,20.3,False,down,,,0.0,3.7,False,0.0,1.5,1.2,False,579.05,-25.9,0.0,False,"{'roe_pct': 13.1, 'debt_to_equity': 0.38, 'current_ratio': 0.82, 'operating_margin_pct': 38.3}",{'profit_margin_pct': 29.2},537.9,625.0,480.0,21.0,strong_buy,25.4,692.29,61.4,440.1,2.6,3.76,16.32,0.9,26.2,0.81,True,-3.85,22.6,32.0,47.0,2026-04-28,False,False,7.0,NEUTRAL,4.49,942.7,0.61,,,,,,90.0,0.0,0.0,,7.399999999999999,0.0,15.0,15.4,2026-03-12 07:55:37,2026-03-12,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,298.1,23.0,30.4,15.0,False,down,20.3,0.0,,0.0,False,0.0,0.0,,41.0,,Sin datos suficientes,20.3,0.0,0.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,2/3,66.6,0.0,0.0,3.0,0.0,3.0,5.0,3.18,3.0,5.0,18,0,,⭐ GOOD,🟢 Excellent,,,,,,,
MCY,0.0,50.0,25.61,,,Mercury General Corporation,61.1,Financial Services,Insurance - Property & Casualty,50.0,60.0,70.4,70.0,65.0,88.6,4907432448.0,80.0,77.9,False,down,,,0.0,10.2,False,0.0,6.5,5.0,False,100.06,-11.5,7.0,True,"{'roe_pct': 24.8, 'debt_to_equity': 0.24, 'current_ratio': 0.56, 'operating_margin_pct': 16.7}",{'profit_margin_pct': 9.0},110.0,110.0,110.0,1.0,strong_buy,24.2,1931.42,2079.9,293.1,230.8,51.4,45.54,1.43,13.0,3.68,False,,24.2,50.4,60.0,2026-05-11,False,False,6.0,NEUTRAL,18.01,,0.11,,,,,,70.0,0.0,0.0,,47.3,0.0,15.0,18.3,2026-03-12 07:55:37,2026-03-12,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (1.0x ratio, 48% up volume)",MEDIUM_FLOAT,26.6,5.0,33.3,80.0,False,down,77.9,3.0,,0.0,False,0.0,0.0,21,41.0,51.2,Medio,35.8,0.0,1.0,3.0,7.0,0.0,0.0,5.0,0.0,False,2/3,65.44,0.0,0.0,8.0,0.0,0.0,5.0,3.02,3.0,2.0,,0,,⭐ GOOD,🟢 Excellent,,,,,,,
