ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
005930.KS,"Samsung Electronics Co., Ltd.",248500.0,KRW,83.0,A,83.0,ROE 30.8% | P/E 3.7x (vs 11x mercado) | Potencial +89% analistas | Crecimiento ingresos +130% | Margen 31%,2,0,Technology,Korea,🇰🇷,21.2,470155.62,89.2,36,3.5,11.15,,,30.8,3.7,,30.9,129.9,-33.6,,SSNLF,,,2026-08-19,0,
2020.HK,ANTA Sports Products Limited,74.55,HKD,82.0,A,82.0,ROE 22.5% | Potencial +38% analistas | FCF yield 7.8% | Dividendo 3.0% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,102.64,37.7,30,7.8,4.71,3.0,,22.5,11.5,13.3,16.9,12.4,-29.9,,,,,2026-08-19,0,
9999.HK,"NetEase, Inc.",194.7,HKD,81.0,A,81.0,ROE 22.1% | Potencial +28% | FCF yield 6.4% | Margen 30% | Dividendo 2.3% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,250.0,28.4,20,6.4,3.55,2.33,,22.1,11.8,15.8,29.8,6.1,-21.5,,NTES,,,2026-08-19,0,
ITUB4.SA,Itaú Unibanco Holding S.A.,38.19,BRL,78.0,A,78.0,ROE 21.5% | P/E 7.5x | Potencial +26% | Crecimiento ingresos +18% | Margen 33% | Dividendo 2.3% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,48.15,26.1,13,,3.26,2.33,,21.5,7.5,9.1,32.6,17.5,-23.1,FCF no comparable (sector financiero),ITUB,,,2026-08-19,0,
0700.HK,Tencent Holdings Limited,447.2,HKD,77.0,A,77.0,ROE 19.9% | Potencial +49% analistas | Margen 30% | Dividendo 1.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,665.62,48.8,42,3.8,6.11,1.2,,19.9,12.4,15.1,29.9,11.0,-34.5,,TCEHY,,,2026-08-19,0,
1299.HK,AIA Group Limited,72.3,HKD,74.0,A,74.0,P/E 10.8x | Potencial +45% analistas | Margen 24% | Dividendo 2.7% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,104.85,45.0,17,,5.63,2.66,,14.8,10.8,15.6,23.8,6.0,-21.5,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-08-19,0,
TOTS3.SA,TOTVS S.A.,31.18,BRL,74.0,A,74.0,ROE 17.0% | Potencial +55% analistas | Crecimiento ingresos +36% | Margen 22% | Dividendo 2.7% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Technology,Brazil,🇧🇷,9.0,48.23,54.7,13,3.9,6.84,2.72,,17.0,14.7,20.5,21.6,36.1,-35.6,,,,,2026-08-19,0,
8035.T,Tokyo Electron Limited,54200.0,JPY,72.0,A,72.0,ROE 30.9% | Potencial +37% analistas | Crecimiento ingresos +33% | Margen 24% | Dividendo 1.3% | Mercado Japan CAPE 29 (26% descuento histórico),3,0,Technology,Japan,🇯🇵,29.4,74027.27,36.6,22,1.2,4.57,1.33,,30.9,42.3,43.3,23.6,33.3,-33.3,,,,,2026-08-19,0,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",14.3,BRL,72.0,A,72.0,ROE 27.7% | Potencial +38% analistas | Margen 49% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,19.79,38.4,14,,4.8,6.14,,27.7,11.1,14.3,49.5,8.8,-29.7,FCF no comparable (sector financiero),,,,2026-08-19,0,
2382.HK,Sunny Optical Technology (Group) Company Limited,58.55,HKD,71.0,A,71.0,ROE 17.5% | Potencial +45% analistas | FCF negativo | Crecimiento ingresos +21% | Dividendo 2.0% | Mercado HongKong CAPE 11 (33% descuento histórico),3,1,Technology,HongKong,🇭🇰,10.7,84.98,45.1,22,-1.3,5.64,2.0,,17.5,11.5,11.9,10.7,21.3,-35.9,,,,,2026-08-19,0,
