ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
7741.T,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-19
ABT,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-08-19
ADP,AVOID,-12,Thesis drift HIGH (45d): Margen op. cayó 6.7pp (30.2%→23.5%),2026-08-19
AI.PA,WATCH,0,Caro vs peers en Basic Materials (FCF rank 4/4) | Piotroski fuerte (7.0/9),2026-08-19
AON,WATCH,3,Piotroski fuerte (8.0/9),2026-08-19
ASAZY,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-19
ATLKY,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-19
AUTO.L,BEST,5,Mejor FCF en Communication Services (5.9% vs media sector 6.5%),2026-08-19
AXP,CONFIRM,13,Smart money: 1 HF + 0 insiders (conv 35) | Mejor FCF en Financial Services (7.0% vs media sector 4.6%),2026-08-19
BR,BEST,14,"Opciones TIER2 (q=60): VALUE strong (93pts), FCF 6.2% | Piotroski fuerte (8.0/9) | Mejor FCF en Technology (6.2% vs media sector 4.6%)",2026-08-19
BRK-B,BEST,5,Mejor FCF en Financial Services (6.7% vs media sector 4.6%),2026-08-19
BRO,BEST,5,Mejor FCF en Financial Services (7.1% vs media sector 4.6%),2026-08-19
CBOE,AVOID,-12,Thesis drift HIGH (45d): Score cayó 12pts en 45d (53→41) | Caro vs peers en Financial Services (FCF rank 18/19) | Piotroski fuerte (8.0/9),2026-08-19
CDNS,WATCH,0,Caro vs peers en Technology (FCF rank 15/16) | Piotroski fuerte (7.0/9),2026-08-19
CHD,WATCH,3,Piotroski fuerte (7.0/9),2026-08-19
CME,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-19
CNI,WATCH,3,Piotroski fuerte (7.0/9),2026-08-19
COST,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-08-19
CPRT,BEST,5,Mejor FCF en Industrials (3.4% vs media sector 3.1%),2026-08-19
CTAS,CAUTION,-12,Thesis drift MEDIUM: Score cayó 16pts en 45d (53→37) | Señal salida MEDIUM: Score cayó 19pts (56 → 37) | Caro vs peers en Industrials (FCF rank 17/17) | Piotroski fuerte (8.0/9),2026-08-19
DBOEY,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-19
DHR,CAUTION,-1,Thesis drift MEDIUM: Upside analistas cayó 8pp (22%→14%) | Mejor FCF en Healthcare (3.1% vs media sector 3.0%),2026-08-19
ETN,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-08-19
EXPN.L,WATCH,0,Caro vs peers en Industrials (FCF rank 14/17) | Piotroski fuerte (9.0/9),2026-08-19
GWW,WATCH,-3,Caro vs peers en Industrials (FCF rank 16/17),2026-08-19
HESAY,WATCH,3,Piotroski fuerte (8.0/9),2026-08-19
