sector,dj_ticker,status,signal,strength,velocity,relative_strength,momentum_change,recent_return_30d,current_price,timestamp
Technology,XLK,LAGGING,AVOID,WEAK,-4.24,0.0,stable,-2.28,142.55,2026-02-11T09:07:08.512049
Financials,XLF,IMPROVING,ACCUMULATE,MODERATE,0.29,100.0,accelerating,-3.2,53.55,2026-02-11T09:07:08.731664
Healthcare,XLV,IMPROVING,ACCUMULATE,MODERATE,1.71,100.0,accelerating,-0.31,155.33,2026-02-11T09:07:08.959570
Consumer Discretionary,XLY,LAGGING,AVOID,WEAK,-3.11,0.0,accelerating,-2.09,118.33,2026-02-11T09:07:09.193943
Industrials,XLI,NEUTRAL,HOLD,NEUTRAL,-7.59,100.0,accelerating,10.86,173.91,2026-02-11T09:07:09.565334
Energy,XLE,NEUTRAL,HOLD,NEUTRAL,-12.43,100.0,decelerating,20.08,53.58,2026-02-11T09:07:09.820661
Materials,XLB,NEUTRAL,HOLD,NEUTRAL,-13.05,100.0,stable,15.68,52.91,2026-02-11T09:07:10.031012
Real Estate,XLRE,IMPROVING,ACCUMULATE,MODERATE,0.94,100.0,accelerating,5.44,42.84,2026-02-11T09:07:10.250087
Utilities,XLU,NEUTRAL,HOLD,NEUTRAL,3.74,46.9,stable,3.13,44.2,2026-02-11T09:07:10.528821
Communication Services,XLC,NEUTRAL,HOLD,NEUTRAL,-1.52,100.0,stable,-0.26,117.58,2026-02-11T09:07:10.762713
Consumer Staples,XLP,NEUTRAL,HOLD,NEUTRAL,-4.82,100.0,accelerating,11.33,87.15,2026-02-11T09:07:11.053601
