Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate,FileDate,DaysAgo,BaseScore,FinalScore,InsiderActivity,InsiderTrades,InsiderValue,InsiderTickers,Signals,Urgency,RiskLevel,MappingCoverage
DJUSBV,Dow Jones U.S. Beverages Index,940.55,875.4,1048.01,7.442312085903585,28.91189685485449,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,97,97,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSSD,Dow Jones U.S. Soft Drinks Index,919.0,835.84,994.52,9.949272588055129,29.130306892832536,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,96,96,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSDB,Dow Jones U.S. Brewers Index,473.37,447.85,659.78,5.6983364965948375,34.75144861238181,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,92,92,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSFB,Dow Jones U.S. Food & Beverage Index,701.5,668.77,796.77,4.89405924308806,32.4376772652635,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,92,92,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSVN,Dow Jones U.S. Distillers & Vintners Index,281.1,268.56,497.69,4.669347631814127,38.782791185729295,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,92,92,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSFP,Dow Jones U.S. Food Products Index,524.22,518.27,639.42,1.1480502440812792,49.912350597609546,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,88,88,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSCS,Dow Jones U.S. Specialized Consumer Services Index,2712.9,2663.6,3402.3,1.8508785102868368,47.27682887528197,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,87,87,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSFO,Dow Jones U.S. Food Producers Index,376.14,367.79,443.9,2.270317300633504,45.26397515527953,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,87,87,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSMT,Dow Jones U.S. Marine Transportation Index,276.78,261.01,433.97,6.041914102907928,49.257482293808565,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSHC,Dow Jones U.S. Health Care Index,1521.71,1344.15,1624.79,13.209835211843911,22.330588980367224,🟡,CERCA,251,2025-10-16 07:44:07,2025-10-16,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSIB,Dow Jones U.S. Insurance Brokers Index,758.82,729.23,891.38,4.057704702220154,45.84372402327515,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSTK,Dow Jones U.S. Trucking Index,1343.63,1244.48,2071.67,7.967183080483423,48.788379225506375,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,85,85,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSMS,Dow Jones U.S. Medical Supplies Index,1723.66,1472.69,1749.93,17.041604139364022,24.51066637343301,🟡,CERCA,251,2025-10-16 07:44:07,2025-10-16,0,84,84,False,0,0,[],[],ALTA,BAJO,0
DJUSPR,Dow Jones U.S. Pharmaceuticals Index,906.71,765.56,982.74,18.437483672083196,24.81097909651183,🟡,CERCA,251,2025-10-16 07:44:07,2025-10-16,0,84,84,False,0,0,[],[],ALTA,BAJO,0
DJUSMU,Dow Jones U.S. Multiutilities Index,297.18,249.55,297.49,19.08635543979162,25.57377049180323,🟡,CERCA,251,2025-10-16 07:44:07,2025-10-16,0,83,83,False,0,0,[],[],ALTA,BAJO,0
DJUSPN,Dow Jones U.S. Pharmaceuticals & Biotechnology Index,1179.74,960.01,1250.6,22.88830324684118,21.34765164031154,🟡,CERCA,251,2025-10-16 07:44:07,2025-10-16,0,82,82,False,0,0,[],[],ALTA,BAJO,0
DJUSIV,Dow Jones U.S. Business Support Services Index,1099.15,1090.56,1443.42,0.7876687206572903,51.62854661262305,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,82,82,False,0,0,[],[],ALTA,BAJO,0
DJUSCM,Dow Jones U.S. Personal Products Index,383.14,345.1,459.35,11.022891915386833,36.72158614912035,🟡,CERCA,251,2025-10-16 07:44:07,2025-10-16,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSMC,Dow Jones U.S. Health Care Equipment & Services Index,2295.3,2083.0,2553.7,10.192030724915996,39.80537534754399,🟡,CERCA,251,2025-10-16 07:44:07,2025-10-16,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSFA,Dow Jones U.S. Financial Administration Index,545.68,532.41,685.16,2.4924400368137305,53.80602006688968,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,81,81,False,0,0,[],[],ALTA,BAJO,0
DJUSIX,Dow Jones U.S. Nonlife Insurance Index,1317.13,1246.37,1458.15,5.677286840986242,52.6024873330262,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSPC,Dow Jones U.S. Waste & Disposal Services Index,640.03,609.51,708.03,5.00730094666207,59.265367316341845,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSIR,Dow Jones U.S. Insurance Index,1331.85,1264.26,1458.0,5.346210431398598,52.21947800547364,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,80,80,False,0,0,[],[],ALTA,BAJO,0
DJUSIP,Dow Jones U.S. Property & Casualty Insurance Index,1903.25,1755.13,2065.57,8.439260909448295,55.68706931495744,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,79,79,False,0,0,[],[],ALTA,BAJO,0
DJUSCP,Dow Jones U.S. Containers & Packaging Index,421.86,397.01,541.01,6.25928817913907,53.3500313087038,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,79,79,False,0,0,[],[],ALTA,BAJO,0
DJUSIS,Dow Jones U.S. Support Services Index,822.11,764.29,981.89,7.565191223226793,53.55555555555556,🟢,OPORTUNIDAD,251,2025-10-16 07:44:07,2025-10-16,0,79,79,False,0,0,[],[],ALTA,BAJO,0
DJUSFD,Dow Jones U.S. Food Retailers & Wholesalers Index,1266.52,1076.27,1346.72,17.676791139769758,38.71142393069845,🟡,CERCA,251,2025-10-16 07:44:07,2025-10-16,0,78,78,False,0,0,[],[],ALTA,BAJO,0
DJUSWU,Dow Jones U.S. Water Index,2938.1,2432.7,3135.8,20.77527027582522,33.62369337979095,🟡,CERCA,251,2025-10-16 07:44:07,2025-10-16,0,77,77,False,0,0,[],[],ALTA,BAJO,0
