ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,eu_insider_bonus,market_regime,upside_triangulated_pct,upside_divergence_pts,upside_divergence,oe_ai_adjustment,oe_ai_verdict,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
SAP.DE,SAP SE,67.0,⭐⭐ GOOD,🟡 Good,EUR,EUR,False,True,True,1.0,,75.0,60.0,50.0,90.0,60.0,,,,,8.8,False,0,8.8,True,1,"{'eps_growth_yoy': 8.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': 8.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 11.0}",185.46,214058729472,Technology,Software - Application,,,False,244.3,-24.1,0,False,205.77,290.0,160.0,26,strong_buy,11.0,334.01,80.1,200.4,8.1,4.25,7.88,1.34,37.4,2.5,1.46,True,-1.36,20.7,30.6,56,2026-10-21,False,False,8,STRONG,5.06,146.7,0.72,33.4,,,,2026-08-26T05:16:03.618540,DAX40,69.8,3.0,0.0,3.0,5.0,1.38,15.0,CONFIRMED_UPTREND,11.0,-33.1,,0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
DB1.DE,Deutsche Börse AG,68.5,⭐⭐ GOOD,🟡 Good,EUR,EUR,False,True,True,1.0,,85.0,60.0,50.0,80.0,60.0,,,,,11.9,False,0,11.7,False,0,"{'eps_growth_yoy': 11.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 27.3}","{'revenue_growth_yoy': 11.7, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 20.4, 'debt_to_equity': 0.58, 'current_ratio': 1.01, 'operating_margin_pct': 41.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 1.0}",287.5,51832705024,Financial Services,Financial Data & Stock Exchanges,,,False,288.6,-0.4,0,False,290.25,312.0,252.0,12,buy,1.0,276.91,-3.7,158.78,-44.8,4.21,12.1,1.47,36.2,4.2,1.87,,,,13.7,55,2026-10-20,False,False,5,NEUTRAL,5.38,66.8,1.54,17.7,,,,2026-08-26T05:14:56.472640,DAX40,60.4,3.0,0.0,0.0,3.0,0.12,15.0,CONFIRMED_UPTREND,-3.7,25.2,MEDIA,0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
SGE.L,The Sage Group plc,52.5,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (632,249,984) se aparta del derivado de flujo operativo menos capex (471,000",55.0,50.0,50.0,50.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 1.4}",1104.5,9913339904,Technology,Software - Application,,,False,1181.0,-6.5,0,False,1119.94,1349.0,850.0,18,buy,1.4,,,,,6.38,0.7,2.03,55.0,22.0,2.1,,,,14.3,85,2026-11-19,False,False,6,NEUTRAL,4.59,374.3,1.34,44.6,,,,2026-08-26T05:16:40.875955,FTSE100,59.0,6.0,5.0,0.0,3.0,0.18,15.0,CONFIRMED_UPTREND,,,,0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
AMS.MC,"Amadeus IT Group, S.A.",54.5,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,"FCF declarado (2,912,250,112) se aparta del derivado de flujo operativo menos capex (1,380,799,936)",50.0,50.0,50.0,70.0,65.0,,,,,-4.7,False,0,1.0,False,0,"{'eps_growth_yoy': -4.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.9}","{'revenue_growth_yoy': 1.0, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 26.5, 'debt_to_equity': 0.79, 'current_ratio': 0.74, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 18.7}",57.5,24149233664,Technology,Information Technology Services,,,False,73.02,-21.3,0,False,68.23,80.9,51.0,21,buy,18.7,102.03,77.4,30.3,-47.3,12.06,6.93,2.65,50.8,1.54,1.73,True,-5.98,20.4,-2.6,72,2026-11-06,False,False,7,NEUTRAL,6.72,473.7,,26.1,,,,2026-08-26T05:15:33.833309,IBEX35,57.8,8.0,5.0,3.0,0.0,2.34,0.0,CONFIRMED_UPTREND,18.7,3.6,,0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
ASSA-B.ST,ASSA ABLOY AB (publ),69.0,⭐⭐ GOOD,🟡 Good,SEK,SEK,False,True,False,0.9482,"acciones × precio no cuadra con la capitalización (ratio 0.9482): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",90.0,60.0,50.0,70.0,65.0,,,,,15.9,True,1,3.3,True,1,"{'eps_growth_yoy': 15.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.8}","{'revenue_growth_yoy': 3.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 15.6, 'debt_to_equity': 0.64, 'current_ratio': 1.01, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 15.6}",353.0,392104050688,Industrials,Security & Protection Services,,,False,396.9,-11.1,0,False,407.9,500.0,340.0,21,buy,15.6,,,,,4.69,17.47,1.82,41.7,6.4,1.69,False,,,15.9,62,2026-10-27,False,False,8,STRONG,5.03,118.2,1.45,15.8,,,,2026-08-26T05:15:44.725433,OMXSTO,54.6,3.0,5.0,0.0,5.0,1.95,0.0,CONFIRMED_UPTREND,,,,0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
LR.PA,Legrand SA,71.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,80.0,80.0,50.0,75.0,65.0,,,,,8.5,True,1,14.7,True,2,"{'eps_growth_yoy': 8.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.0}","{'revenue_growth_yoy': 14.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.2, 'debt_to_equity': 1.03, 'current_ratio': 1.58, 'operating_margin_pct': 19.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 19.3}",136.5,35781578752,Industrials,Electrical Equipment & Parts,,,False,166.95,-18.2,0,False,162.84,200.0,114.0,19,buy,19.3,72.91,-46.6,49.7,-63.6,2.88,3.93,1.79,47.9,2.38,1.91,True,-0.31,11.3,5.9,71,2026-11-05,False,False,6,NEUTRAL,4.47,45.7,2.4,23.9,,,,2026-08-26T05:16:19.768240,CAC40,53.7,0.0,5.0,3.0,3.0,2.41,0.0,CONFIRMED_UPTREND,-46.6,74.4,ALTA,0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
EXPN.L,Experian plc,55.2,⭐ AVERAGE,🟡 Average,GBp,USD,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (668,493,007) se aparta del derivado de flujo operativo menos capex (916,530",55.0,50.0,50.0,65.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 17.8},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 25.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 22.3}",3009.0,26595723264,Industrials,Consulting Services,,,False,3987.0,-24.5,0,False,3680.64,4636.23,2449.73,18,strong_buy,22.3,,,,,2.51,0.76,1.75,39.8,52.0,1.4,,,,23.1,84,2026-11-18,False,False,9,STRONG,6.73,646.3,0.77,36.7,,,,2026-08-26T05:15:53.526957,FTSE100,52.1,0.0,5.0,0.0,5.0,2.79,0.0,CONFIRMED_UPTREND,,,,0,MIXED/INSUFFICIENT (0),False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
DSY.PA,Dassault Systèmes SE,72.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,60.0,50.0,85.0,60.0,,,,,16.1,True,1,6.6,True,1,"{'eps_growth_yoy': 16.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 21.3}","{'revenue_growth_yoy': 6.6, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 15.1, 'debt_to_equity': 0.36, 'current_ratio': 1.99, 'operating_margin_pct': 23.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 3.8}",22.65,29762412544,Technology,Software - Application,,,False,30.36,-25.4,0,False,23.52,33.35,17.0,19,buy,3.8,40.9,80.6,29.1,28.5,4.26,0.96,1.19,27.8,0.27,0.65,True,-0.6,,22.3,63,2026-10-28,False,False,8,STRONG,5.42,42.9,0.51,33.2,,,,2026-08-26T05:16:35.540944,CAC40,48.9,3.0,0.0,3.0,5.0,0.48,0.0,CONFIRMED_UPTREND,28.5,-50.8,,0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
RACE.MI,Ferrari N.V.,77.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,"FCF declarado (1,001,981,760) se aparta del derivado de flujo operativo menos capex (1,463,988,912)",100.0,70.0,50.0,90.0,60.0,,,,,21.2,True,2,9.7,True,2,"{'eps_growth_yoy': 21.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': 9.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 7.2}",361.8,63591714816,Consumer Cyclical,Auto Manufacturers,,,False,431.2,-16.1,0,False,388.02,430.4,330.0,19,buy,7.2,112.84,-68.8,93.73,-74.1,1.58,5.7,0.99,39.0,3.62,0.67,True,-1.25,63.9,10.1,69,2026-11-03,False,False,9,STRONG,3.22,46.9,3.25,19.4,,,,2026-08-26T05:16:06.720098,FTSEMIB,48.8,0.0,0.0,3.0,3.0,0.9,0.0,CONFIRMED_UPTREND,-68.8,78.6,ALTA,0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
ATCO-B.ST,Atlas Copco AB (publ),68.0,⭐⭐ GOOD,🟡 Good,SEK,SEK,False,True,False,0.3199,"acciones × precio no cuadra con la capitalización (ratio 0.3199): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",80.0,60.0,50.0,90.0,55.0,,,,,8.2,True,1,9.1,True,1,"{'eps_growth_yoy': 8.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.7}","{'revenue_growth_yoy': 9.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 25.7, 'debt_to_equity': 0.34, 'current_ratio': 1.27, 'operating_margin_pct': 20.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 26.2}",178.35,870102007808,Industrials,Specialty Industrial Machinery,,,False,185.2,-3.7,0,False,225.0,225.0,225.0,1,none,26.2,,,,,2.98,16.64,1.7,54.9,3.0,1.62,False,,126.5,4.0,57,2026-10-22,False,False,6,NEUTRAL,3.88,53.6,3.03,19.2,,,,2026-08-26T05:15:50.398056,OMXSTO,48.2,0.0,5.0,0.0,1.0,3.28,0.0,CONFIRMED_UPTREND,,,,0,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
