ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,pct_from_52w_low,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
005930.KS,"Samsung Electronics Co., Ltd.",264500.0,KRW,83.0,A,83.0,ROE 30.8% | P/E 3.9x (vs 11x mercado) | Potencial +78% analistas | Crecimiento ingresos +130% | Margen 31%,2,0,Technology,Korea,🇰🇷,21.2,470155.62,77.8,36,4.0,9.72,,,30.8,3.9,,30.8,130.0,-29.4,291.9,,SSNLF,,,2026-08-26,0,
2020.HK,ANTA Sports Products Limited,75.2,HKD,82.0,A,82.0,ROE 22.5% | Potencial +37% analistas | FCF yield 7.7% | Dividendo 3.0% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,102.77,36.7,30,7.7,4.58,3.0,,22.5,11.6,13.4,16.9,12.4,-29.3,12.5,,,,,2026-08-26,0,
9999.HK,"NetEase, Inc.",196.0,HKD,81.0,A,81.0,ROE 20.4% | Potencial +27% | FCF yield 6.1% | Margen 28% | Dividendo 1.5% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,249.52,27.3,20,6.1,3.41,1.51,,20.4,11.8,16.7,27.9,7.9,-21.0,16.1,,NTES,,,2026-08-26,0,
ITUB4.SA,Itaú Unibanco Holding S.A.,39.44,BRL,78.0,A,78.0,ROE 21.5% | P/E 7.7x | Potencial +22% | Crecimiento ingresos +18% | Margen 33% | Dividendo 2.3% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,48.15,22.1,13,,2.76,2.3,,21.5,7.7,9.4,32.6,17.5,-20.6,,FCF no comparable (sector financiero),ITUB,,,2026-08-26,0,
0700.HK,Tencent Holdings Limited,445.8,HKD,77.0,A,77.0,ROE 19.9% | Potencial +49% analistas | Margen 30% | Dividendo 1.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,665.05,49.2,42,3.8,6.15,1.2,,19.9,12.3,15.0,29.9,11.0,-34.7,8.5,,TCEHY,,,2026-08-26,0,
TOTS3.SA,TOTVS S.A.,32.75,BRL,74.0,A,74.0,ROE 17.0% | Potencial +48% analistas | Crecimiento ingresos +36% | Margen 22% | Dividendo 2.6% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Technology,Brazil,🇧🇷,9.0,48.38,47.7,13,3.7,5.97,2.6,,17.0,15.5,21.5,21.6,36.1,-32.3,,,,,,2026-08-26,0,
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",57.15,HKD,73.0,A,73.0,P/E 5.3x (vs 11x mercado) | Potencial +43% analistas | Dividendo 5.6% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,81.74,43.0,15,,5.38,5.59,,13.1,5.3,5.9,16.2,8.6,-23.5,14.3,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,PNGAY,,,2026-08-26,0,
8035.T,Tokyo Electron Limited,55460.0,JPY,72.0,A,72.0,ROE 30.9% | Potencial +34% analistas | Crecimiento ingresos +33% | Margen 24% | Dividendo 1.4% | Mercado Japan CAPE 29 (26% descuento histórico),3,0,Technology,Japan,🇯🇵,29.4,74209.09,33.8,22,1.2,4.23,1.35,,30.9,43.3,44.3,23.6,33.3,-31.7,179.1,,,,,2026-08-26,0,
2382.HK,Sunny Optical Technology (Group) Company Limited,64.25,HKD,71.0,A,71.0,ROE 17.5% | Potencial +33% analistas | FCF negativo | Crecimiento ingresos +21% | Dividendo 2.0% | Mercado HongKong CAPE 11 (33% descuento histórico),3,1,Technology,HongKong,🇭🇰,10.7,85.62,33.3,21,-1.2,4.16,1.97,,17.5,12.6,13.0,10.7,21.3,-29.7,24.8,,,,,2026-08-26,0,
0388.HK,Hong Kong Exchanges and Clearing Limited,420.8,HKD,70.0,A,70.0,ROE 33.6% | Potencial +22% | Crecimiento ingresos +19% | Margen 63% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,513.12,21.9,17,,2.74,3.56,,33.6,26.3,26.9,62.9,18.9,-9.0,16.9,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-08-26,0,
1299.HK,AIA Group Limited,73.95,HKD,70.0,A,70.0,ROE 19.6% | P/E 10.9x | Potencial +38% analistas | Margen 31% | Dividendo 2.7% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,102.31,38.3,17,,4.79,2.66,,19.6,10.9,12.4,30.9,-2.5,-19.8,7.3,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-08-26,0,
RENT3.SA,Localiza Rent a Car S.A.,35.65,BRL,69.0,A,69.0,P/E 7.7x | Potencial +54% analistas | FCF yield 25.1% | Crecimiento ingresos +24% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,54.89,54.0,15,25.1,6.75,6.35,,13.0,7.7,11.3,7.4,24.5,-33.2,,,,,,2026-08-26,0,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",15.75,BRL,67.0,A,67.0,ROE 27.7% | Potencial +26% | Margen 49% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,19.79,25.6,14,,3.2,5.73,,27.7,12.3,15.8,49.5,8.8,-22.5,,FCF no comparable (sector financiero),,,,2026-08-26,0,
4063.T,"Shin-Etsu Chemical Co., Ltd.",5988.0,JPY,67.0,A,67.0,Potencial +31% analistas | Dividendo 1.9% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Basic Materials,Japan,🇯🇵,29.4,7839.41,30.9,17,2.2,3.86,1.93,,11.2,18.2,23.7,18.4,5.4,-24.5,37.2,,,,,2026-08-26,0,
4568.T,"Daiichi Sankyo Company, Limited",2910.0,JPY,63.0,B,63.0,Potencial +41% analistas | FCF negativo | Crecimiento ingresos +21% | Dividendo 3.5% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Healthcare,Japan,🇯🇵,29.4,4090.59,40.6,17,-4.0,5.07,3.53,,14.8,20.3,20.7,10.9,21.1,-30.3,21.8,,DSNKY,,,2026-08-26,0,
105560.KS,KB Financial Group Inc.,165600.0,KRW,58.0,B,58.0,P/E 8.3x | Potencial +29% | Crecimiento ingresos +18% | Margen 37% | Dividendo 2.8%,1,0,Financial Services,Korea,🇰🇷,21.2,213395.0,28.9,20,,3.61,2.78,,10.2,8.3,,36.5,18.5,-14.9,56.5,FCF no comparable (sector financiero),,,,2026-08-26,0,
RDOR3.SA,Rede D'Or São Luiz S.A.,36.07,BRL,55.0,B,55.0,ROE 19.8% | Potencial +32% analistas | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Healthcare,Brazil,🇧🇷,9.0,47.76,32.4,14,3.8,4.05,2.12,,19.8,13.4,16.4,8.3,5.0,-25.5,,Deuda elevada (D/E >2x),RDORY,,,2026-08-26,0,
7203.T,Toyota Motor Corporation,3086.0,JPY,54.0,B,54.0,P/E 9.5x (vs 16x mercado) | Potencial +20% | FCF negativo | Dividendo 3.2% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Consumer Cyclical,Japan,🇯🇵,29.4,3703.89,20.0,19,-9.9,2.5,3.24,,12.4,9.5,8.8,8.6,10.4,-22.9,14.9,,TM,,,2026-08-26,0,
035420.KS,NAVER Corporation,221000.0,KRW,54.0,B,54.0,Potencial +37% analistas | Crecimiento ingresos +16% | Dividendo 1.2%,0,0,Communication Services,Korea,🇰🇷,21.2,303074.06,37.1,27,2.7,4.64,1.19,,6.4,15.0,,15.6,16.2,-27.3,22.0,,,,,2026-08-26,0,
