ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
SXC,"SunCoke Energy,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,6.27,$6.07 - $6.32,8.22,5.89,5.07,2026-03-06,24.6,-24.8,6.2,8.22,1.2,1.26,,,,,,
VEEE,VEEE,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,0.4,$1.56 - $1.62,2.67,1.51,0.0,2026-03-06,23.9,-81.2,1.59,2.67,-74.6,3.82,,,,,,
LAKE,"Lakeland Industries,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,8.85,$10.59 - $11.02,15.78,10.26,0.0,2026-03-06,20.6,-41.0,10.81,15.78,-18.1,0.87,,,,,,
CE,Celanese,Bull Flag Pullback,⭐ BUENA,60,52.55,$51.5 - $53.6,60.53,47.2,1.49,2026-03-06,,,,,,,51.3,-13.2,48.66,48.66,Bearish,False
NG,NovaGold Resources,Bull Flag Pullback,⭐ BUENA,60,12.09,$11.85 - $12.33,14.2,10.18,1.11,2026-03-06,,,,,,,71.1,-14.9,10.5,10.5,Bearish,False
FLYW,Flywire,Bull Flag Pullback,⭐ BUENA,60,13.28,$13.01 - $13.55,14.81,12.53,2.05,2026-03-06,,,,,,,39.2,-10.3,12.92,12.92,Bearish,False
APTV,Aptiv PLC,Oversold Bounce,MODERADA,55,72.21,$74.4 - $77.44,86.64,72.12,167.79,2026-03-06,27.6,-18.6,75.92,86.64,-4.9,1.06,,,,,,
POOL,POOL,Oversold Bounce,MODERADA,55,217.92,$236.75 - $246.41,269.74,229.5,0.0,2026-03-06,18.9,-19.7,241.58,269.74,-9.8,0.71,,,,,,
MNRO,"Monro,",Oversold Bounce,MODERADA,55,18.75,$16.7 - $17.38,21.04,16.19,0.89,2026-03-06,11.3,-20.3,17.04,21.04,10.1,1.0,,,,,,
WS,"Worthington Steel,",Oversold Bounce,MODERADA,55,38.47,$29.22 - $30.42,36.5,28.33,-0.19,2026-03-06,15.5,-21.0,29.82,36.5,29.0,0.81,,,,,,
KKR,KKR &,Oversold Bounce,MODERADA,50,95.59,$114.78 - $119.47,135.57,111.27,0.0,2026-03-06,42.5,-32.9,117.13,135.57,-18.4,0.78,,,,,,
CRM,"Salesforce,",Oversold Bounce,MODERADA,50,201.39,$225.56 - $234.76,264.61,218.65,0.0,2026-03-06,62.3,-24.4,230.16,264.61,-12.5,1.06,,,,,,
CSGP,CSGP,Oversold Bounce,MODERADA,50,48.91,$62.35 - $64.89,68.53,60.44,0.0,2026-03-06,61.1,-28.3,63.62,68.53,-23.1,0.82,,,,,,
ALIT,"Alight,",Oversold Bounce,MODERADA,50,0.95,$1.89 - $1.96,2.36,1.83,0.0,2026-03-06,30.1,-55.4,1.93,2.36,-50.7,0.99,,,,,,
HUM,HUM,Oversold Bounce,MODERADA,50,180.75,$241.01 - $250.85,283.95,233.63,0.0,2026-03-06,51.7,-36.3,245.93,283.95,-26.5,0.76,,,,,,
CE,Celanese,Oversold Bounce,MODERADA,50,52.55,$36.91 - $38.42,43.78,35.78,-0.52,2026-03-06,30.0,-13.2,37.66,43.78,39.5,1.66,,,,,,
SQNS,Sequansmmunications S.A.,Oversold Bounce,MODERADA,50,3.19,$5.27 - $5.49,6.27,5.11,0.0,2026-03-06,54.0,-52.7,5.38,6.27,-40.7,0.4,,,,,,
NAVN,"Navan,",Oversold Bounce,MODERADA,50,11.05,$12.64 - $13.16,18.06,12.25,0.0,2026-03-06,56.8,-38.8,12.9,18.06,-14.3,0.84,,,,,,
NRDY,Nerdy,Oversold Bounce,MODERADA,50,0.91,$0.96 - $1.0,1.27,0.93,0.0,2026-03-06,33.7,-35.8,0.98,1.27,-7.0,0.84,,,,,,
WYY,WidePoint,Oversold Bounce,MODERADA,50,4.67,$5.2 - $5.42,7.34,5.04,0.0,2026-03-06,46.7,-36.7,5.31,7.34,-12.1,0.33,,,,,,
VRNS,"Varonis Systems,",Oversold Bounce,MODERADA,50,23.83,$30.5 - $31.74,47.79,29.56,0.0,2026-03-06,41.9,-33.3,31.12,47.79,-23.4,0.69,,,,,,
CNDT,CNDT,Oversold Bounce,MODERADA,50,1.45,$1.79 - $1.86,2.07,1.73,0.0,2026-03-06,56.3,-30.6,1.82,2.07,-20.5,0.88,,,,,,
MSTR,Strategy,Oversold Bounce,MODERADA,50,139.81,$158.0 - $164.45,188.99,153.16,0.0,2026-03-06,60.0,-26.0,161.22,188.99,-13.3,0.83,,,,,,
VERX,VERX,Oversold Bounce,MODERADA,50,15.59,$18.73 - $19.49,23.28,18.15,0.0,2026-03-06,73.1,-24.4,19.11,23.28,-18.4,0.48,,,,,,
LAW,"CS Disco,",Oversold Bounce,MODERADA,50,4.68,$5.81 - $6.04,7.14,5.63,0.0,2026-03-06,64.1,-47.5,5.92,7.14,-21.0,0.7,,,,,,
SVCO,"Silvaco Group,",Oversold Bounce,MODERADA,50,3.38,$3.93 - $4.09,4.83,3.81,0.0,2026-03-06,36.1,-31.9,4.01,4.83,-15.7,0.64,,,,,,
SONO,"Sonos,",Oversold Bounce,MODERADA,50,15.2,$14.81 - $15.41,17.83,14.35,3.11,2026-03-06,38.2,-20.7,15.11,17.83,0.6,0.93,,,,,,
SSTI,SSTI,Oversold Bounce,MODERADA,50,6.66,$7.0 - $7.28,9.07,6.78,0.0,2026-03-06,42.9,-26.6,7.14,9.07,-6.7,1.13,,,,,,
BMI,"Badger Meter,",Oversold Bounce,MODERADA,50,146.0,$166.01 - $172.79,184.33,160.93,0.0,2026-03-06,32.2,-20.8,169.4,184.33,-13.8,0.84,,,,,,
INTZ,Intrusion,Oversold Bounce,MODERADA,50,1.05,$1.19 - $1.24,1.75,1.15,0.0,2026-03-06,56.5,-30.0,1.21,1.75,-13.6,0.69,,,,,,
SPT,"Sprout Social,",Oversold Bounce,MODERADA,50,7.04,$9.16 - $9.54,11.37,8.88,0.0,2026-03-06,52.4,-39.7,9.35,11.37,-24.7,0.86,,,,,,
TYL,TYL,Oversold Bounce,MODERADA,50,365.87,$441.02 - $459.02,472.77,427.52,0.0,2026-03-06,94.5,-21.3,450.02,472.77,-18.7,0.75,,,,,,
IT,"Gartner,",Oversold Bounce,MODERADA,50,170.98,$221.19 - $230.22,256.38,214.42,0.0,2026-03-06,65.9,-32.8,225.71,256.38,-24.2,1.02,,,,,,
CSPI,CSPI,Oversold Bounce,MODERADA,50,8.85,$10.82 - $11.26,13.47,10.49,0.0,2026-03-06,46.5,-40.5,11.04,13.47,-19.8,0.68,,,,,,
LYFT,"Lyft,",Oversold Bounce,MODERADA,50,13.18,$18.86 - $19.64,22.97,18.29,0.0,2026-03-06,51.4,-41.4,19.25,22.97,-31.5,0.91,,,,,,
TENB,"Tenable,",Oversold Bounce,MODERADA,50,21.18,$25.14 - $26.16,26.81,24.37,0.0,2026-03-06,45.0,-21.0,25.65,26.81,-17.4,0.77,,,,,,
FIS,"Fidelity National Information Services,",Oversold Bounce,MODERADA,50,50.58,$60.33 - $62.8,67.39,58.49,0.0,2026-03-06,68.6,-25.1,61.56,67.39,-17.8,0.91,,,,,,
VENU,Venu Holding,Oversold Bounce,MODERADA,50,5.11,$8.36 - $8.71,12.16,8.11,0.0,2026-03-06,47.5,-49.1,8.53,12.16,-40.1,0.94,,,,,,
ACVA,ACV Auctions,Oversold Bounce,MODERADA,50,5.41,$7.57 - $7.87,8.98,7.33,0.0,2026-03-06,36.2,-39.8,7.72,8.98,-29.9,0.52,,,,,,
FWDI,"Forward Industries,",Oversold Bounce,MODERADA,50,4.92,$6.41 - $6.67,8.78,6.21,0.0,2026-03-06,51.2,-44.0,6.54,8.78,-24.8,1.03,,,,,,
