ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,insiders_score,institutional_score,num_whales,top_whales,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
EXEL,0.0,50.0,6.029999999999999,,,"Exelixis, Inc.",60.3,Healthcare,Biotechnology,60.0,50.0,47.6,95.0,60.0,41.28,11067669504.0,35.0,32.8,False,down,,,0.0,7.8,False,0.0,15.5,11.2,True,49.62,-16.8,3.0,False,"{'roe_pct': 35.5, 'debt_to_equity': 0.09, 'current_ratio': 3.56, 'operating_margin_pct': 39.4}",{'profit_margin_pct': 33.7},46.83,60.0,35.0,18.0,buy,13.5,103.06,149.7,83.4,102.0,5.7,2.43,,,,True,-8.56,88.9,58.9,67.0,2026-05-12,False,False,,,,,,70.0,0.0,0.0,,8.0,0.0,15.0,18.1,2026-03-06 07:47:17,2026-03-06,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,DISTRIBUTION,30,"Moderate distribution (0.6x ratio, 38% up volume)",MEGA_FLOAT,210.9,38.0,33.1,35.0,False,down,32.8,0.0,,0.0,False,0.0,0.0,24,45.0,48.9,Bajo 50%,39.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,False,1/3,73.12,5.0,0.0,6.0,0.0,3.0,5.0,1.69,0.0,⭐⭐ STRONG,🟢 Excellent,,,,,,,
LPG,0.0,50.0,31.19,,,Dorian LPG Ltd.,71.9,Energy,Oil & Gas Midstream,60.0,80.0,79.4,80.0,60.0,35.56,1519980416.0,80.0,88.6,False,up,,,0.0,58.1,False,0.0,4.6,2.6,False,38.4,-7.4,8.0,True,"{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}",{'profit_margin_pct': 30.4},37.25,41.0,31.0,4.0,buy,4.8,100.74,183.3,84.9,138.8,6.68,2.38,6.89,86.6,,True,-0.44,5.4,121.6,76.0,2026-05-21,False,False,,,,,,90.0,0.0,0.0,,62.6,0.0,15.0,21.6,2026-03-06 07:47:17,2026-03-06,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),STRONG_ACCUMULATION,95,"Strong institutional buying (2.0x ratio, 66% up volume)",MEDIUM_FLOAT,36.8,0.0,36.6,80.0,False,up,88.6,5.0,,0.0,False,0.0,0.0,6,45.0,88.9,Top 25%,60.0,3.0,0.0,3.0,10.0,0.0,0.0,5.0,0.0,False,3/3,69.76,8.0,0.0,6.0,0.0,3.0,5.0,0.6,-3.0,⭐ GOOD,🟢 Excellent,HOLD,55.0,Close to ATH (-7.4% from high) - wait for pullback,-7.4,NEUTRAL,BUY,False
INDV,0.0,50.0,16.33,,,"Indivior Pharmaceuticals, Inc.",58.3,Healthcare,Drug Manufacturers - Specialty & Generic,55.0,50.0,74.0,50.0,70.0,32.05,4007032832.0,80.0,82.0,False,down,,,0.0,5.0,False,0.0,8.9,7.0,True,38.0,-15.7,7.0,True,"{'current_ratio': 0.71, 'operating_margin_pct': 37.2}",{'profit_margin_pct': 16.9},46.86,54.0,39.0,7.0,strong_buy,46.2,75.22,134.7,29.4,-8.3,5.53,1.77,,,,True,-1.55,5.7,376.2,55.0,2026-04-30,False,False,,,,,,100.0,0.0,0.0,,38.5,0.0,15.0,17.5,2026-03-06 07:47:17,2026-03-06,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 40% up volume)",HIGH_FLOAT,107.0,15.0,32.5,80.0,False,down,82.0,3.0,,0.0,False,0.0,0.0,7,45.0,86.7,Top 25%,58.4,3.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,False,2/3,67.32,5.0,0.0,6.0,0.0,3.0,5.0,5.78,3.0,⭐ GOOD,🟢 Excellent,,,,,,,
MSFT,0.0,50.0,0.0,,,Microsoft Corporation,60.8,Technology,Software - Infrastructure,60.0,70.0,24.0,90.0,70.0,410.68,3052328976384.0,15.0,13.8,False,down,,,0.0,16.0,True,1.0,0.8,1.3,False,555.45,-26.1,0.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 0.32, 'current_ratio': 1.39, 'operating_margin_pct': 47.1}",{'profit_margin_pct': 39.0},596.0,730.0,392.0,53.0,strong_buy,45.1,306.34,-25.4,479.4,16.7,1.76,7.22,0.89,21.3,0.79,True,-0.73,56.4,59.8,54.0,2026-04-29,False,False,,,,,,70.0,0.0,0.0,,5.0,0.0,15.0,18.2,2026-03-06 07:47:17,2026-03-06,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 42% up volume)",MEGA_FLOAT,7414.9,38.0,33.2,15.0,False,down,13.8,0.0,,0.0,True,1.0,2.0,40,45.0,13.3,Bottom 25%,9.2,-3.0,0.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,1/3,65.32,0.0,0.0,0.0,0.0,3.0,5.0,5.64,3.0,⭐ GOOD,🟢 Excellent,,,,,,,
PACS,0.0,50.0,16.810000000000002,,,"PACS Group, Inc.",63.1,Healthcare,Medical Care Facilities,50.0,70.0,80.3,50.0,70.0,35.57,5590360064.0,80.0,82.6,False,down,,,0.0,11.3,True,1.0,8.7,4.0,True,43.08,-17.4,7.0,True,"{'roe_pct': 23.0, 'debt_to_equity': 3.78, 'current_ratio': 1.07, 'operating_margin_pct': 7.0}",{'profit_margin_pct': 3.6},46.4,52.0,42.0,5.0,strong_buy,30.4,65.27,83.5,36.6,2.9,4.33,1.54,,,,False,,9.9,57.2,62.0,2026-05-07,False,False,,,,,,70.0,0.0,0.0,,51.9,0.0,15.0,18.9,2026-03-06 07:47:17,2026-03-06,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (0.9x ratio, 48% up volume)",MEDIUM_FLOAT,45.9,5.0,33.9,80.0,False,down,82.6,3.0,,0.0,True,1.0,2.0,11,45.0,77.8,Top 25%,49.7,3.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,False,2/3,64.24000000000001,5.0,0.0,3.0,0.0,0.0,5.0,3.8,3.0,⭐ GOOD,🟡 Good,,,,,,,
FTAI,0.0,50.0,21.93,,,FTAI Aviation Ltd.,69.3,Industrials,Rental & Leasing Services,55.0,80.0,83.0,65.0,65.0,273.47,28050618368.0,80.0,83.5,False,up,,,0.0,33.7,False,0.0,3.8,1.8,False,323.51,-15.5,8.0,True,"{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}",{'profit_margin_pct': 20.0},334.2,375.0,266.0,10.0,strong_buy,22.2,,,130.52,-52.3,-2.75,-7.53,0.49,27.5,3.38,True,-0.44,3.3,29.8,55.0,2026-04-30,False,False,,,,,,90.0,0.0,0.0,,55.8,0.0,15.0,20.8,2026-03-06 07:47:17,2026-03-06,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,70,"Moderate accumulation (1.3x ratio, 56% up volume)",HIGH_FLOAT,101.1,0.0,35.8,80.0,False,up,83.5,5.0,,0.0,False,0.0,0.0,13,45.0,73.3,Medio,45.5,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,False,3/3,61.72,0.0,0.0,-5.0,0.0,3.0,5.0,2.78,1.0,⭐ GOOD,🟡 Good,,,,,,,
MCY,0.0,50.0,30.16,,,Mercury General Corporation,61.6,Financial Services,Insurance - Property & Casualty,50.0,60.0,73.1,70.0,65.0,91.23,5053104640.0,80.0,85.5,False,down,,,0.0,10.2,False,0.0,7.2,7.8,False,100.06,-8.8,8.0,True,"{'roe_pct': 24.8, 'debt_to_equity': 0.24, 'current_ratio': 0.56, 'operating_margin_pct': 16.7}",{'profit_margin_pct': 9.0},110.0,110.0,110.0,1.0,strong_buy,20.6,1931.42,2017.1,293.1,221.3,49.92,45.54,1.39,13.0,3.68,False,,24.2,50.4,66.0,2026-05-11,False,False,,,,,,70.0,0.0,0.0,,55.5,0.0,15.0,18.5,2026-03-06 07:47:17,2026-03-06,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",MEDIUM_FLOAT,26.6,0.0,33.5,80.0,False,down,85.5,3.0,,0.0,False,0.0,0.0,28,45.0,40.0,Bajo 50%,28.4,0.0,1.0,3.0,10.0,0.0,0.0,5.0,0.0,False,3/3,61.64,0.0,0.0,8.0,0.0,0.0,5.0,2.58,1.0,⭐ GOOD,🟡 Good,,,,,,,
ACNB,0.0,50.0,22.98,,,ACNB Corporation,64.8,Financial Services,Banks - Regional,60.0,80.0,57.6,65.0,55.0,48.93,508128864.0,60.0,56.3,False,flat,,,0.0,50.7,False,0.0,1.3,3.7,False,53.89,-9.2,6.0,False,"{'roe_pct': 10.2, 'operating_margin_pct': 41.9}",{'profit_margin_pct': 25.3},56.67,57.0,56.0,3.0,none,15.8,,,108.0,120.7,,,3.11,38.3,3.15,True,-1.71,,17.5,48.0,2026-04-23,False,False,,,,,,70.0,0.0,0.0,,47.4,0.0,15.0,19.4,2026-03-06 07:47:17,2026-03-06,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (1.0x ratio, 48% up volume)",MICRO_FLOAT,10.0,5.0,34.4,60.0,False,flat,56.3,0.0,,0.0,False,0.0,0.0,1,45.0,100.0,Top 10%,64.9,5.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,False,2/3,60.92,0.0,0.0,0.0,5.0,3.0,5.0,1.98,0.0,⭐ GOOD,🟡 Good,,,,,,,
NVT,0.0,50.0,26.46,,,nVent Electric plc,69.6,Industrials,Electrical Equipment & Parts,55.0,80.0,73.1,80.0,65.0,110.55,17879193600.0,80.0,83.5,False,up,,,0.0,31.8,False,0.0,3.0,1.7,False,122.92,-10.1,7.0,True,"{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}",{'profit_margin_pct': 18.2},127.39,148.0,68.04,13.0,strong_buy,15.2,150.58,36.2,78.0,-29.4,3.21,3.55,0.76,30.8,1.49,True,-1.42,8.3,1112.4,56.0,2026-05-01,False,False,,,,,,90.0,0.0,0.0,,60.9,0.0,15.0,20.9,2026-03-06 07:47:17,2026-03-06,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",HIGH_FLOAT,160.9,0.0,35.9,80.0,False,up,83.5,5.0,,0.0,False,0.0,0.0,3,45.0,95.6,Top 10%,63.6,5.0,0.0,3.0,7.0,0.0,0.0,5.0,0.0,False,3/3,60.839999999999996,0.0,0.0,3.0,0.0,3.0,5.0,1.9,0.0,⭐ GOOD,🟡 Good,HOLD,55.0,Close to ATH (-10.1% from high) - wait for pullback | Elevated P/E (42.5) - watch valuation | Strong upside (+15.2%) - analyst support,-10.1,NEUTRAL,STRONG_BUY,True
FULT,0.0,50.0,22.9,,,Fulton Financial Corporation,64.0,Financial Services,Banks - Regional,60.0,70.0,63.9,65.0,60.0,20.68,3720231424.0,60.0,66.4,False,up,,,0.0,3.3,True,2.0,8.0,5.2,True,22.99,-10.0,6.0,False,"{'roe_pct': 11.7, 'operating_margin_pct': 39.3}",{'profit_margin_pct': 30.7},23.0,24.0,22.0,5.0,buy,11.2,,,62.4,201.7,,,3.68,35.1,3.79,True,-1.24,,32.5,39.0,2026-04-14,False,False,,,,,,90.0,0.0,0.0,,59.2,0.0,15.0,19.2,2026-03-06 07:47:17,2026-03-06,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",HIGH_FLOAT,177.5,0.0,34.2,60.0,False,up,66.4,2.0,,0.0,True,2.0,2.0,1,45.0,100.0,Top 10%,64.9,5.0,3.0,3.0,5.0,0.0,0.0,5.0,0.0,False,3/3,60.6,0.0,0.0,0.0,5.0,3.0,5.0,1.4,0.0,⭐ GOOD,🟡 Good,HOLD,55.0,Close to ATH (-10.0% from high) - wait for pullback,-10.0,NEUTRAL,BUY,False
