ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,analyzed_at
MSGM,Motorsport Games Inc.,74.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,83.0,100.0,50.0,80.0,86.5,False,up,,,0,57.1,False,0,{'profit_margin_pct': 36.6},"{'revenue_growth_yoy': np.float64(57.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(56.9), 'rs_6m': np.float64(42.7), 'rs_line_percentile': 86.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 70.3, 'debt_to_equity': 0.0, 'current_ratio': 1.92, 'operating_margin_pct': 25.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",4.36,22142048,Communication Services,Electronic Gaming & Multimedia,1.9,0.6,False,5.409,-19.4,7.0,True,,,,,none,,,,4.2,-3.7,-0.02,-0.0,,,,,False,,64.7,,4.0,2026-03-10,True,False,2026-03-06T07:44:58.496786
FPI,Farmland Partners Inc.,73.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,100.0,79.4,65.0,50.0,80.0,76.6,False,up,,,0,102.1,True,2,{'profit_margin_pct': 60.2},"{'revenue_growth_yoy': np.float64(102.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(31.8), 'rs_6m': np.float64(17.7), 'rs_line_percentile': 76.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 5.7, 'debt_to_equity': 0.3, 'current_ratio': 0.62, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 1.3}",12.83,568200896,Real Estate,REIT - Specialty,7.5,4.9,False,13.225,-3.0,7.0,True,13.0,14.0,12.5,3.0,hold,1.3,,,6.1,-52.5,-8.2,-1.07,2.81,39.3,0.36,1.95,True,-6.66,4.3,-23.9,61.0,2026-05-06,False,False,2026-03-06T07:45:11.124128
LPG,Dorian LPG Ltd.,71.9,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,79.4,80.0,60.0,80.0,88.6,False,up,,,0,58.1,False,0,{'profit_margin_pct': 30.4},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(45.5), 'rs_6m': np.float64(15.6), 'rs_line_percentile': 88.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 4.8}",35.56,1519980416,Energy,Oil & Gas Midstream,4.6,2.6,False,38.4,-7.4,8.0,True,37.25,41.0,31.0,4.0,buy,4.8,100.74,183.3,84.9,138.8,6.68,2.38,6.89,86.6,2.45,,True,-0.44,5.4,121.6,76.0,2026-05-21,False,False,2026-03-06T07:41:48.155805
CHUC,"Charlie's Holdings, Inc.",71.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,71.0,75.0,50.0,80.0,77.2,False,up,,,0,298.9,True,1,{'profit_margin_pct': 23.7},"{'revenue_growth_yoy': np.float64(298.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(89.9), 'rs_6m': np.float64(-3.1), 'rs_line_percentile': 77.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 328.1, 'debt_to_equity': 0.99, 'current_ratio': 1.46, 'operating_margin_pct': -4.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",0.3039,82251520,Consumer Defensive,Tobacco,,0.1,False,0.38,-20.0,8.0,True,,,,,none,,,,0.1,-67.1,-6.58,-0.02,,,,,False,,5.4,,,,False,False,2026-03-06T07:40:31.290395
PKBK,"Parke Bancorp, Inc.",70.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,76.7,65.0,50.0,80.0,86.2,False,up,,,0,25.4,True,2,{'profit_margin_pct': 48.8},"{'revenue_growth_yoy': np.float64(25.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(16.4), 'rs_6m': np.float64(19.0), 'rs_line_percentile': 86.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 12.1, 'operating_margin_pct': 68.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",27.51,325916384,Financial Services,Banks - Regional,1.0,1.1,False,29.5,-6.7,8.0,True,,,,,none,,,,94.8,244.6,,,2.62,22.8,0.72,3.41,True,-2.68,,26.4,41.0,2026-04-16,False,False,2026-03-06T07:43:13.722848
CCNE,CNB Financial Corporation,70.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,100.0,60.3,60.0,65.0,60.0,73.1,False,up,,,0,31.6,True,2,{'profit_margin_pct': 24.2},"{'revenue_growth_yoy': np.float64(31.6), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(4.1), 'rs_6m': np.float64(1.8), 'rs_line_percentile': 73.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 8.9, 'operating_margin_pct': 50.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 17.3}",27.86,821208064,Financial Services,Banks - Regional,1.0,1.8,False,30.84,-9.7,8.0,True,32.67,35.0,29.0,3.0,buy,17.3,,,63.0,126.1,,,2.62,34.3,0.73,3.04,True,-0.04,,65.7,39.0,2026-04-14,False,False,2026-03-06T07:37:14.337201
RBKB,"Rhinebeck Bancorp, Inc.",70.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,90.0,87.4,60.0,50.0,100.0,95.6,True,up,,,0,75.0,True,1,{'profit_margin_pct': 19.4},"{'revenue_growth_yoy': np.float64(75.0), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(42.7), 'rs_6m': np.float64(12.5), 'rs_line_percentile': 95.6, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 7.8, 'operating_margin_pct': 23.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",16.05,178888192,Financial Services,Banks - Regional,1.9,5.2,False,16.495,-2.7,8.0,True,,,,,none,,,,9.2,-42.7,,,,,,,True,-0.07,,,,,False,False,2026-03-06T07:46:54.356895
BBT,Beacon Financial Corporation,70.4,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,100.0,71.9,60.0,55.0,80.0,80.0,False,up,,,0,58.1,True,2,{'profit_margin_pct': 17.6},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(15.1), 'rs_6m': np.float64(8.8), 'rs_line_percentile': 80.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 4.9, 'operating_margin_pct': 58.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 16.7}",29.62,2485380608,Financial Services,Banks - Regional,5.1,4.4,False,32.0,-7.4,8.0,True,34.57,42.0,31.0,7.0,none,16.7,,,30.9,4.3,,,4.35,124.9,1.29,4.53,False,,,250.4,48.0,2026-04-23,False,False,2026-03-06T07:41:11.516651
AMRZ,Amrize Ltd,69.8,⭐⭐ GOOD,🟡 Good,55.0,80.0,76.7,80.0,60.0,80.0,78.0,False,up,,,0,36.4,False,0,{'profit_margin_pct': 10.0},"{'revenue_growth_yoy': np.float64(36.4), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(17.0), 'rs_6m': np.float64(12.2), 'rs_line_percentile': 78.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 10.2, 'debt_to_equity': 0.48, 'current_ratio': 1.64, 'operating_margin_pct': 17.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.0}",61.51,34734829568,Basic Materials,Building Materials,,2.9,False,65.94,-6.7,,,67.07,76.0,57.0,20.0,buy,9.0,43.18,-29.8,21.4,-65.2,4.55,2.86,,,,,False,,5.2,3.6,52.0,2026-04-27,False,False,2026-03-06T07:41:02.931268
NVT,nVent Electric plc,69.6,⭐⭐ GOOD,🟡 Good,55.0,80.0,73.1,80.0,65.0,80.0,83.5,False,up,,,0,31.8,False,0,{'profit_margin_pct': 18.2},"{'revenue_growth_yoy': np.float64(31.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(5.6), 'rs_6m': np.float64(15.2), 'rs_line_percentile': 83.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 12.3, 'debt_to_equity': 0.46, 'current_ratio': 1.63, 'operating_margin_pct': 16.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 15.2}",110.55,17879193600,Industrials,Electrical Equipment & Parts,3.0,1.7,False,122.92,-10.1,7.0,True,127.39,148.0,68.04,13.0,strong_buy,15.2,150.58,36.2,78.0,-29.4,3.21,3.55,0.76,30.8,0.84,1.49,True,-1.42,8.3,1112.4,56.0,2026-05-01,False,False,2026-03-06T07:42:00.281578
