Price,Close,High,Low,Open,Volume
Ticker,ECL,ECL,ECL,ECL,ECL
Date,,,,,
2025-08-15,279.3721923828125,279.57116632239666,276.37783799844823,279.1234901379127,1250300
2025-08-18,278.6260986328125,281.20268072611134,277.979478837771,279.76019549480463,1428200
2025-08-19,282.1875305175781,283.6299853824165,278.8549142256601,278.8549142256601,1000100
2025-08-20,283.9881286621094,284.55517708273635,280.78484244272755,281.9388245348387,1118600
2025-08-21,281.5906066894531,282.9236469812738,280.764928654958,282.4163150831068,1060200
2025-08-22,282.25714111328125,284.5551472515841,281.87910887249404,282.91371863267614,1149500
2025-08-25,276.9150085449219,282.6252326404133,276.6265358040632,281.7299106449742,1098300
2025-08-26,277.7705383300781,277.92971139491806,275.8207214143154,276.1688802370475,1817300
2025-08-27,278.9245300292969,279.52142145351866,276.84538302823756,277.6213327719782,959500
2025-08-28,277.57159423828125,278.9444355057939,276.0097671925673,278.27793048175647,852600
2025-08-29,275.60186767578125,278.6360226938433,275.1442337206646,277.6014129315758,925300
2025-09-02,273.3635559082031,275.2238437602696,272.85619363612705,273.83111732229145,988800
2025-09-03,271.8116455078125,274.1295368768185,270.3990035178556,272.9556696660628,1428900
2025-09-04,273.51275634765625,273.92063163222883,271.4534946764574,272.54779051809624,1526600
2025-09-05,272.13995361328125,276.0595035884594,271.5430621282846,274.9154792850603,1244000
2025-09-08,273.920654296875,274.1892417878452,269.9812193001776,271.86139245528943,1595600
2025-09-09,269.2549743652344,273.1148376665106,268.97642909396484,272.39857406050925,1367400
2025-09-10,267.693115234375,270.20998046157104,266.6883485605601,268.5188235977548,1373000
2025-09-11,273.4530944824219,273.960456771963,267.3250675852127,267.8224720701242,930500
2025-09-12,271.2048034667969,273.74158443347295,271.03570295118055,271.3938195907156,1127100
2025-09-15,269.2052307128906,272.30906008469304,269.1953032677917,271.18492113324595,1119100
2025-09-16,263.3217468261719,269.793592547602,263.0325490781245,268.68671045857957,1254900
2025-09-17,264.61810302734375,267.250736833486,263.55111761701,264.259124107738,1338900
2025-09-18,264.089599609375,266.0540932845031,263.5012527281882,263.9400250518292,2375900
2025-09-19,264.73779296875,265.6751673902688,263.1522418767575,264.3388869263739,2441200
2025-09-22,266.3432922363281,267.09119545964666,262.75335067794714,264.2392057755435,1468100
2025-09-23,265.0668640136719,267.2507437949351,264.4984502772315,265.6153141881086,1254700
2025-09-24,266.2535400390625,266.87180181718276,264.4087060534636,264.88737505858535,1778700
2025-09-25,266.5028381347656,268.3975201398239,265.55548191610706,266.42307518426435,1593400
2025-09-26,270.2423400878906,272.2467302822154,266.0042222082835,267.6097063740159,1664800
