ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,eu_insider_bonus,market_regime,modelos_dispersion_pts,modelos_acuerdo,upside_triangulated_pct,upside_divergence_pts,upside_divergence,ai_verdict,ai_confidence,ai_reasoning,ai_verified,data_warning,verified_by,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,rr_operativo,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason,tasa_base_frase,tasa_base_n,tasa_base_caida_mediana_pct,tasa_base_caida_peor_pct,tasa_base_arriba_pct,tasa_base_bimodal,soporte_frase,soporte_nivel,soporte_distancia_pct,soporte_dias,soporte_aguanto,soporte_roto,soporte_antiguo
NOVO-B.CO,Novo Nordisk A/S,54.5,⭐ AVERAGE,🟡 Average,DKK,DKK,False,True,False,0.7567,"acciones × precio no cuadra con la capitalización (ratio 0.7567): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",55.0,50.0,50.0,70.0,50.0,,,,,-20.8,False,0,2.1,False,0,"{'eps_growth_yoy': -20.8, 'op_growth_yoy': -19.1, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.3}","{'revenue_growth_yoy': 2.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 59.8, 'debt_to_equity': 0.63, 'current_ratio': 0.87, 'operating_margin_pct': 42.5}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 11.0}",279.35,1234133450752,Healthcare,Drug Manufacturers - General,,,False,409.95,-31.9,0.0,False,310.17,457.0,203.0,23.0,hold,11.0,,,,,3.38,9.44,4.29,44.6,11.7,1.93,True,-0.48,252.0,-8.2,47.0,2026-11-04,False,False,5.0,NEUTRAL,10.12,64.7,,26.4,,,,2026-09-18T05:12:39.418351,OMXCPH,55.8,3.0,8.0,3.0,0.0,1.38,0.0,UPTREND_PRESSURE,,,,,,BUY,92,"Upside is modest and realistic, fundamentals are strong with very high ROE and margin, low leverage, and analyst coverage is robust; no red flags detected.",True,,groq,277.54,266.66,310.17,3.92,11.76,BUY NOW - At target entry price,3.0,False,1,0.803,False,-28.05,31.54,5.59,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 13 veces anteriores (RSI normal, bajo su MA200 que baja) o paró casi donde estaba o se desplomó hasta -63% — sin término medio; al año el 46% estaba en positivo (mediana -5%).",13,-27.7,-63.0,46,True,"soporte vivo más cercano en 275.57 (-2.1%), puesto a prueba hace 7 días; aguantó 7 de 7 veces",275.57,-2.1,7.0,7.0,0.0,False
PGHN.SW,Partners Group Holding AG,54.0,⭐ AVERAGE,🟡 Average,CHF,CHF,False,True,True,1.0,,60.0,50.0,30.0,80.0,55.0,,,,,,,0,,,0,{'profit_margin_pct': 48.0},{},"{'rs_3m': -7.1, 'rs_6m': -34.7}","{'roe_pct': 75.4, 'debt_to_equity': 1.93, 'current_ratio': 1.06, 'operating_margin_pct': 59.4}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 27.5}",621.0,16011327488,Financial Services,Asset Management,,,False,1107.0,-43.9,0.0,False,791.79,940.0,680.0,14.0,hold,27.5,923.72,48.7,458.9,-26.1,11.98,74.4,7.43,100.4,46.0,3.64,,,,-4.8,179.0,2027-03-16,False,False,7.0,NEUTRAL,8.45,75.9,,31.4,,,,2026-09-18T05:12:45.652987,SMI20,47.6,8.0,-2.0,0.0,0.0,3.44,0.0,UPTREND_PRESSURE,74.8,CONTRADICEN,,53.6,ALTA,BUY,92,"Upside is reasonable, ROE and net margin are exceptional, debt level is acceptable, and many analysts support the target, indicating a strong fundamental case.",True,"Groq dudaba de roe, pero la fuente lo confirma (75.4 publicado vs 75.4 real (0.0pp de desvío))",groq,613.0,597.21,791.79,2.58,29.17,BUY NOW - At target entry price,11.32,False,0,0.934,False,-41.64,0.59,-31.76,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 8 veces anteriores (sobrevendido (RSI<25), bajo su MA200 que baja) o paró casi donde estaba o se desplomó hasta -30% — sin término medio; al año el 75% estaba en positivo (mediana +29%).",8,-9.3,-30.4,75,True,sin soportes identificables por debajo,,,,,,
RACE.MI,Ferrari N.V.,75.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,70.0,50.0,90.0,60.0,,,,,9.0,True,2,8.4,True,2,"{'eps_growth_yoy': 9.0, 'op_growth_yoy': 9.5, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': 8.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.1}",359.3,63096578048,Consumer Cyclical,Auto Manufacturers,,,False,431.2,-16.7,0.0,False,388.39,430.4,330.0,19.0,buy,8.1,195.53,-45.6,92.8,-74.2,2.32,8.34,1.01,39.0,3.62,0.68,True,-1.26,63.9,10.1,46.0,2026-11-03,False,False,9.0,STRONG,3.24,46.9,3.23,20.6,,,,2026-09-18T05:13:25.185023,FTSEMIB,48.2,0.0,0.0,3.0,3.0,1.01,0.0,UPTREND_PRESSURE,28.6,DISPERSOS,-45.6,68.0,ALTA,BUY,90,"Upside is modest and realistic, fundamentals are robust (high ROE, strong net margin, low debt/equity), and the target is supported by many analysts, with no red flags.",True,,groq,351.29,337.51,,3.92,,BUY NOW - At target entry price,,True,3,1.016,False,-17.03,33.0,13.18,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado,"las 35 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 9% de mediana (peor caso -37%); al año el 86% estaba en positivo (mediana +19%).",35,-8.6,-37.2,86,False,"soporte vivo más cercano en 347.60 (-1.7%), puesto a prueba hace 16 días; aguantó 2 y se rompió 2",347.6,-1.7,16.0,2.0,2.0,False
SAP.DE,SAP SE,73.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,60.0,50.0,90.0,60.0,,,,,28.5,False,0,9.4,True,1,"{'eps_growth_yoy': 28.5, 'op_growth_yoy': 7.2, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': 9.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 11.1}",188.0,216990400512,Technology,Software - Application,,,False,244.3,-23.0,0.0,False,208.92,290.0,160.0,26.0,strong_buy,11.1,164.74,-12.4,66.8,-64.5,4.02,7.56,1.34,37.4,2.5,1.46,True,-1.34,20.7,30.6,33.0,2026-10-21,False,False,8.0,STRONG,4.99,146.7,0.73,36.1,,,,2026-09-18T05:13:23.173660,DAX40,72.2,3.0,0.0,3.0,5.0,1.39,15.0,UPTREND_PRESSURE,52.1,DISPERSOS,-12.4,49.6,ALTA,BUY,85,"Upside is modest and realistic, ROE (18.3%), net margin (20.4%) and low debt/equity (0.22) indicate strong fundamentals, and the target is supported by 26 analysts, with no red flags present.",True,,groq,179.46,168.72,,5.99,,BUY ON PULLBACK - Wait for 2-5% dip,,False,2,0.988,False,-23.77,43.62,7.83,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 10 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 10% de mediana (peor caso -30%); al año el 60% estaba en positivo (mediana +6%).",10,-10.2,-30.0,60,False,"soporte vivo más cercano en 175.81 (-4.0%), puesto a prueba hace 8 días; aguantó 2 de 2 veces",175.81,-4.0,8.0,2.0,0.0,False
RMV.L,Rightmove plc,60.5,⭐⭐ GOOD,🟡 Good,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",60.0,50.0,50.0,100.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 49.7},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 282.4, 'debt_to_equity': 0.07, 'current_ratio': 1.53, 'operating_margin_pct': 66.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 8.0}",496.9,3628823040,Communication Services,Internet Content & Information,,,False,731.8,-32.1,0.0,False,536.75,745.0,356.0,20.0,hold,8.0,,,,,6.31,31.35,2.15,37.2,11.0,1.57,,,,1.7,161.0,2027-02-26,False,False,6.0,NEUTRAL,7.81,637.5,3.37,36.1,,,,2026-09-18T05:13:50.577454,FTSE100,48.2,6.0,5.0,0.0,1.0,1.0,0.0,UPTREND_PRESSURE,,,,,,BUY,85,"Strong ROE and net margin, minimal debt, and modest 8% upside supported by 20 analysts make the stock attractive.",True,"Groq dudaba de current_price, pero la fuente lo confirma (496.90 publicado vs 501.40 real (0.9% de desvío))",groq,479.12,450.51,536.75,5.97,12.03,BUY ON PULLBACK - Wait for 2-5% dip,2.01,False,2,1.045,False,-33.18,24.93,-0.02,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 18 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 11% de mediana (peor caso -32%); al año el 72% estaba en positivo (mediana +8%).",18,-11.1,-32.0,72,False,"soporte vivo más cercano en 474.43 (-3.0%), puesto a prueba hace 4 días; aguantó 2 y se rompió 1",474.43,-3.0,4.0,2.0,1.0,False
AI.PA,L'Air Liquide S.A.,54.5,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,"FCF declarado (243,312,496) se aparta del derivado de flujo operativo menos capex (1,652,500,160)",55.0,50.0,50.0,60.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 13.1},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 14.0, 'debt_to_equity': 0.63, 'current_ratio': 0.88, 'operating_margin_pct': 20.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 19.4}",165.24,105450217472,Basic Materials,Specialty Chemicals,,,False,182.26,-9.3,0.0,False,197.22,216.0,162.0,20.0,strong_buy,19.4,46.08,-72.1,55.6,-66.4,1.57,2.59,2.02,60.5,3.36,1.83,,,,0.7,153.0,2027-02-18,False,False,7.0,NEUTRAL,4.1,18.8,32.94,17.1,,,,2026-09-18T05:12:24.852119,CAC40,36.8,0.0,5.0,0.0,1.0,2.42,0.0,UPTREND_PRESSURE,5.7,COHERENTES,-66.4,88.6,ALTA,BUY,85,"Strong ROE and margin, low debt, ample analyst coverage and a realistic ~19% upside support a buy recommendation.",True,"Groq dudaba de current_price, pero la fuente lo confirma (165.24 publicado vs 166.42 real (0.7% de desvío))",groq,165.71,159.21,,3.92,,BUY NOW - At target entry price,,False,2,1.08,False,-10.48,18.38,-2.47,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación,"las 50 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 6% de mediana (peor caso -23%); al año el 86% estaba en positivo (mediana +11%).",50,-6.0,-22.9,86,False,"soporte vivo más cercano en 160.79 (-1.5%), puesto a prueba hace 0 días; aguantó 1 y se rompió 1",160.79,-1.5,0.0,1.0,1.0,False
DPLM.L,Diploma PLC,57.8,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",55.0,50.0,50.0,85.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 11.5},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 19.0, 'debt_to_equity': 0.47, 'current_ratio': 2.06, 'operating_margin_pct': 19.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 12.6}",7330.0,9829151744,Industrials,Industrial Distribution,,,False,7765.0,-5.6,0.0,False,8254.38,9000.0,7000.0,16.0,buy,12.6,,,,,2.74,200.84,0.88,44.2,63.0,1.46,,,,4.5,60.0,2026-11-17,False,False,8.0,STRONG,2.67,60.5,6.16,15.9,,,,2026-09-18T05:12:43.490834,FTSE100,38.1,0.0,0.0,0.0,1.0,1.58,0.0,UPTREND_PRESSURE,,,,,,BUY,85,"Upside is modest and realistic, strong ROE and net margin, low leverage, and robust analyst coverage (>3). No red flags detected, supporting a buy recommendation.",True,"Groq dudaba de current_price, pero la fuente lo confirma (7330.00 publicado vs 7170.00 real (2.2% de desvío))",groq,7173.6,6822.21,8254.38,4.9,15.07,BUY ON PULLBACK - Wait for 2-5% dip,3.08,True,3,0.796,False,-5.73,47.29,14.66,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado,"las 48 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 9% de mediana (peor caso -34%); al año el 83% estaba en positivo (mediana +22%).",48,-9.0,-33.7,83,False,"soporte vivo más cercano en 7099.53 (-3.0%), puesto a prueba hace 17 días; aguantó 3 de 3 veces",7099.53,-3.0,17.0,3.0,0.0,False
STMN.SW,Straumann Holding AG,59.8,⭐ AVERAGE,🟡 Average,CHF,CHF,False,True,True,1.0,"FCF declarado (399,016,384) se aparta del derivado de flujo operativo menos capex (299,766,008)",55.0,50.0,50.0,95.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 14.0},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 17.0, 'debt_to_equity': 0.21, 'current_ratio': 2.26, 'operating_margin_pct': 25.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 19.0}",94.66,15093613568,Healthcare,Medical Instruments & Supplies,,,False,109.8,-13.8,0.0,False,112.61,136.0,86.0,18.0,buy,19.0,24.08,-74.6,23.1,-75.6,1.99,1.88,1.05,43.3,1.0,0.71,,,,4.1,40.0,2026-10-28,False,False,6.0,NEUTRAL,3.11,28.8,4.27,24.1,,,,2026-09-18T05:12:49.915221,SMI20,38.9,0.0,0.0,0.0,1.0,2.38,0.0,UPTREND_PRESSURE,1.0,COHERENTES,-74.6,94.1,ALTA,BUY,85,"Upside is modest and realistic, fundamentals exceed quality thresholds (ROE 17%, margin 14%, low debt), and strong analyst coverage supports the target price.",True,,groq,93.31,89.65,,3.92,,BUY NOW - At target entry price,,False,1,0.776,False,-13.86,30.97,11.42,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 8 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 14% de mediana (peor caso -29%); al año el 62% estaba en positivo (mediana +20%).",8,-13.5,-29.4,62,False,"soporte vivo más cercano en 94.09 (-0.5%), puesto a prueba hace 16 días; aguantó 4 y se rompió 5",94.09,-0.5,16.0,4.0,5.0,False
SAF.PA,Safran SA,56.0,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,"FCF declarado (3,562,749,952) se aparta del derivado de flujo operativo menos capex (4,895,000,064)",55.0,50.0,50.0,70.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 11.6},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 27.5, 'debt_to_equity': 0.34, 'current_ratio': 0.92, 'operating_margin_pct': 14.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 15.5}",331.6,137407021056,Industrials,Aerospace & Defense,,,False,366.5,-9.5,0.0,False,382.86,460.0,257.0,22.0,buy,15.5,146.68,-55.8,93.0,-72.0,3.56,11.8,1.03,36.0,3.35,0.78,,,,-65.1,144.0,2027-02-09,False,False,7.0,NEUTRAL,7.62,166.3,,24.0,,,,2026-09-18T05:12:58.339984,CAC40,39.4,3.0,0.0,0.0,-3.0,1.94,0.0,UPTREND_PRESSURE,16.2,COHERENTES,-55.8,79.4,ALTA,BUY,85,"Upside is modest and realistic, fundamentals are strong (ROE 27.5%, net margin 11.6%, low debt/equity 0.34), and the target is supported by 22 analysts, with no red flags detected.",True,,groq,325.28,312.52,,3.92,,BUY NOW - At target entry price,,False,2,0.884,False,-11.87,24.38,0.49,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación,"las 45 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 7% de mediana (peor caso -64%); al año el 73% estaba en positivo (mediana +26%).",45,-6.9,-64.0,73,False,"soporte vivo más cercano en 319.30 (-1.1%), puesto a prueba hace 4 días; aguantó 4 y se rompió 1",319.3,-1.1,4.0,4.0,1.0,False
ABBN.SW,ABB Ltd,71.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,CHF,USD,True,True,True,1.0,,80.0,80.0,50.0,80.0,50.0,,,,,14.8,False,0,28.4,True,1,"{'eps_growth_yoy': 14.8, 'op_growth_yoy': 32.1, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 14.1}","{'revenue_growth_yoy': 28.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 32.6, 'debt_to_equity': 0.56, 'current_ratio': 1.43, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 5.2}",79.52,143991881728,Industrials,Electrical Equipment & Parts,,,False,89.14,-10.8,0.0,False,83.68,96.66,68.27,24.0,hold,5.2,35.8,-55.0,22.2,-72.1,2.68,2.13,1.2,43.2,0.94,2.13,True,-0.91,115.6,3.3,32.0,2026-10-20,False,False,7.0,NEUTRAL,4.26,43.1,3.29,29.7,,,,2026-09-18T05:15:03.328741,SMI20,41.4,0.0,0.0,3.0,1.0,0.65,0.0,UPTREND_PRESSURE,17.1,COHERENTES,-55.0,68.8,ALTA,BUY,85,"Upside is modest and realistic; ROE, net margin and low leverage indicate strong profitability and financial health; ample analyst coverage supports the target price; no red flags detected.",True,,groq,78.42,73.32,,6.5,,BUY ON PULLBACK - Wait for 2-5% dip,,False,2,1.011,False,-10.23,50.99,10.13,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación,"las 39 veces anteriores (RSI normal, sobre su MA200 que sube) o paró casi donde estaba o se desplomó hasta -37% — sin término medio; al año el 77% estaba en positivo (mediana +14%).",39,-7.9,-36.7,77,True,"soporte vivo más cercano en 78.55 (-1.8%), puesto a prueba hace 9 días; aguantó 3 y se rompió 2",78.55,-1.8,9.0,3.0,2.0,False
