ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,analyzed_at
MSGM,Motorsport Games Inc.,74.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,83.0,100.0,50.0,80.0,77.8,False,up,,,0,57.1,False,0,{'profit_margin_pct': 36.6},"{'revenue_growth_yoy': np.float64(57.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(48.6), 'rs_6m': np.float64(31.7), 'rs_line_percentile': 77.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 70.3, 'debt_to_equity': 0.0, 'current_ratio': 1.92, 'operating_margin_pct': 25.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",4.05,20567728,Communication Services,Electronic Gaming & Multimedia,1.9,0.6,False,5.409,-25.1,6.0,False,,,,,none,,,,4.2,3.7,-0.02,-0.0,,,,,False,,64.7,,5.0,2026-03-10,True,False,2026-03-05T07:54:47.187475
LPG,Dorian LPG Ltd.,74.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,80.0,91.0,80.0,60.0,100.0,97.9,True,up,,,0,58.1,False,0,{'profit_margin_pct': 30.4},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(54.8), 'rs_6m': np.float64(21.0), 'rs_line_percentile': 97.9, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 11.2, 'debt_to_equity': 0.62, 'current_ratio': 2.42, 'operating_margin_pct': 43.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 0.0}",37.24,1591790464,Energy,Oil & Gas Midstream,4.6,2.6,False,38.4,-3.0,8.0,True,37.25,41.0,31.0,4.0,buy,0.0,100.74,170.5,84.9,128.0,6.38,2.38,6.58,86.6,2.45,,True,-0.42,5.4,121.6,77.0,2026-05-21,False,False,2026-03-05T07:49:37.341081
FPI,Farmland Partners Inc.,73.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,100.0,79.4,65.0,50.0,80.0,78.2,False,up,,,0,102.1,True,2,{'profit_margin_pct': 60.2},"{'revenue_growth_yoy': np.float64(102.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(34.7), 'rs_6m': np.float64(19.2), 'rs_line_percentile': 78.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 5.7, 'debt_to_equity': 0.3, 'current_ratio': 0.62, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 0.2}",12.97,574401088,Real Estate,REIT - Specialty,7.6,4.9,False,13.225,-1.9,7.0,True,13.0,14.0,12.5,3.0,hold,0.2,,,6.1,-53.0,-8.11,-1.07,2.78,39.3,0.36,1.95,True,-6.58,4.3,-29.2,62.0,2026-05-06,False,False,2026-03-05T07:55:16.483743
PKBK,"Parke Bancorp, Inc.",73.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,89.0,65.0,50.0,95.0,90.3,False,up,,,0,25.4,True,2,{'profit_margin_pct': 48.8},"{'revenue_growth_yoy': np.float64(25.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(20.7), 'rs_6m': np.float64(21.3), 'rs_line_percentile': 90.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 12.1, 'operating_margin_pct': 68.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",28.0,331721504,Financial Services,Banks - Regional,1.0,1.1,False,29.5,-5.1,8.0,True,,,,,none,,,,94.8,238.6,,,2.57,22.8,0.72,3.41,True,-2.63,,26.4,42.0,2026-04-16,False,False,2026-03-05T07:50:53.313834
CCNE,CNB Financial Corporation,71.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,100.0,68.3,60.0,60.0,80.0,80.7,False,up,,,0,31.6,True,2,{'profit_margin_pct': 24.2},"{'revenue_growth_yoy': np.float64(31.6), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(8.8), 'rs_6m': np.float64(4.0), 'rs_line_percentile': 80.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 8.9, 'operating_margin_pct': 50.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 14.6}",28.51,840367616,Financial Services,Banks - Regional,1.0,1.8,False,30.84,-7.6,8.0,True,32.67,35.0,29.0,3.0,buy,14.6,,,63.0,121.0,,,2.56,34.3,0.73,3.04,True,-0.04,,65.7,40.0,2026-04-14,False,False,2026-03-05T07:44:37.422505
CHUC,"Charlie's Holdings, Inc.",71.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,74.6,75.0,50.0,80.0,76.4,False,up,,,0,298.9,True,1,{'profit_margin_pct': 23.7},"{'revenue_growth_yoy': np.float64(298.9), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(67.5), 'rs_6m': np.float64(2.1), 'rs_line_percentile': 76.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 328.1, 'debt_to_equity': 0.99, 'current_ratio': 1.46, 'operating_margin_pct': -4.8}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",0.3029,81980864,Consumer Defensive,Tobacco,,0.1,False,0.38,-20.3,8.0,True,,,,,none,,,,0.1,-67.0,-6.61,-0.02,,,,,False,,5.4,,,,False,False,2026-03-05T07:46:21.717841
AEBI,Aebi Schmidt Holding AG,71.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,50.0,100.0,83.0,60.0,60.0,80.0,83.9,False,up,,,0,58.0,True,2,{'profit_margin_pct': 0.8},"{'revenue_growth_yoy': np.float64(58.0), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(24.9), 'rs_6m': np.float64(21.2), 'rs_line_percentile': 83.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'debt_to_equity': 1.0, 'current_ratio': 2.1, 'operating_margin_pct': 3.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 7.3}",14.68,1135377408,Industrials,Farm & Heavy Construction Machinery,,7.2,False,33.0,-55.5,,,15.75,16.5,15.0,2.0,buy,7.3,,,1.4,-90.5,,,0.68,18.4,0.1,,False,,1.3,-42.6,14.0,2026-03-19,False,True,2026-03-05T07:44:12.276272
BBT,Beacon Financial Corporation,70.9,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,100.0,71.9,60.0,60.0,80.0,83.3,False,up,,,0,58.1,True,2,{'profit_margin_pct': 17.6},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(18.3), 'rs_6m': np.float64(9.8), 'rs_line_percentile': 83.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 4.9, 'operating_margin_pct': 46.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 14.9}",30.08,2523978496,Financial Services,Banks - Regional,5.1,4.4,False,32.0,-6.0,8.0,True,34.57,42.0,31.0,7.0,buy,14.9,,,30.9,2.7,,,4.28,124.9,1.29,4.53,False,,,223.4,49.0,2026-04-23,False,False,2026-03-05T07:52:33.756167
RBKB,"Rhinebeck Bancorp, Inc.",70.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,90.0,87.4,60.0,50.0,100.0,100.0,True,up,,,0,75.0,True,1,{'profit_margin_pct': 19.4},"{'revenue_growth_yoy': np.float64(75.0), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(50.6), 'rs_6m': np.float64(18.0), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 7.8, 'operating_margin_pct': 23.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",16.44,183235024,Financial Services,Banks - Regional,1.9,5.2,False,16.495,-0.3,8.0,True,,,,,none,,,,9.2,-44.0,,,,,,,True,-0.07,,,,,False,False,2026-03-05T07:54:06.873100
AMRZ,Amrize Ltd,70.4,⭐⭐⭐ EXCELLENT,🟢 Excellent,55.0,80.0,79.4,80.0,60.0,80.0,83.1,False,up,,,0,36.4,False,0,{'profit_margin_pct': 10.0},"{'revenue_growth_yoy': np.float64(36.4), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(21.2), 'rs_6m': np.float64(13.9), 'rs_line_percentile': 83.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 10.2, 'debt_to_equity': 0.48, 'current_ratio': 1.64, 'operating_margin_pct': 17.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.1}",62.73,35423764480,Basic Materials,Building Materials,,2.9,False,65.94,-4.9,,,66.57,76.0,57.0,20.0,buy,6.1,43.18,-31.2,21.4,-65.9,4.47,2.86,,,,,False,,5.2,3.6,53.0,2026-04-27,False,False,2026-03-05T07:49:15.423934
