ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,upside_triangulated_pct,upside_divergence_pts,upside_divergence,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
MCO,0.0,,,,41.7,Moody's Corporation,66.0,Financial Services,Financial Data & Stock Exchanges,100.0,50.0,36.0,65.0,65.0,471.5,81654841344.0,15.0,24.8,False,up,35.9,True,2.0,8.9,False,0.0,2.1,3.1,False,546.88,-13.8,0.0,False,"{'roe_pct': 76.9, 'debt_to_equity': 2.38, 'current_ratio': 1.19, 'operating_margin_pct': 49.5}","{'eps_growth_yoy': 35.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 34.3}",556.19,610.0,500.0,21.0,buy,18.0,631.82,34.0,472.5,0.2,3.16,14.9,0.87,25.0,0.8,False,,14.5,56.7,86.0,2026-10-21,False,False,7.0,NEUTRAL,3.86,,0.44,BULLISH,0.0,50.0,1.0,0.0,10.0,0.0,12.5,19.8,2026-07-27 07:43:50,2026-07-27,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",HIGH_FLOAT,159.5,40.0,32.3,15.0,False,up,24.8,2.0,True,2.0,False,0.0,5.0,17.0,29.0,44.8,Bajo 50%,27.7,0.0,0.0,3.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,78.98500000000001,0.0,3.0,0.0,0.0,5.0,1.89,3.67,3.0,0.0,1.5,2.25,2.0,5.0,,1,Berkshire Hathaway (Buffett),2,RELIABLE/WATCH (+2),CONFIRM,8.0,45,0.4167,MEDIA,8.100000000000001,18.0,0.9,,⭐⭐ STRONG,🟢 Elite,HOLD,65.0,Close to ATH (-13.8% from high) - wait for pullback | Strong upside (+18.0%) - analyst support,-13.8,NEUTRAL,BUY,False,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
VRSN,0.0,,,,43.7,"VeriSign, Inc.",59.8,Technology,Software - Infrastructure,75.0,60.0,44.0,50.0,60.0,280.0,25312000000.0,35.0,26.0,False,down,1.7,False,0.0,3.7,True,1.0,2.0,2.2,False,312.48,-10.4,0.0,False,"{'current_ratio': 0.59, 'operating_margin_pct': 68.2}","{'eps_growth_yoy': 1.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 49.8}",318.0,355.0,270.0,5.0,buy,13.6,165.22,-41.0,92.1,-67.1,3.29,9.21,1.16,34.3,,True,-3.56,15.5,7.7,87.0,2026-10-22,False,False,8.0,STRONG,4.31,512.5,3.31,BULLISH,0.0,60.0,1.0,0.0,5.0,0.0,13.1,17.9,2026-07-27 07:43:50,2026-07-27,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 46% up volume)",HIGH_FLOAT,89.7,42.0,31.0,35.0,False,down,26.0,0.0,False,0.0,True,1.0,2.0,23.0,29.0,24.1,Bottom 25%,17.9,-3.0,0.0,3.0,-5.0,5.0,0.0,0.0,0.0,False,1/3,66.105,0.0,3.0,0.0,3.0,3.0,1.53,1.92,1.0,0.0,1.5,1.7,2.0,10.0,21.0,1,Berkshire Hathaway (Buffett),-5,MIXED/AVOID (-5),CONFIRM,11.0,48,0.4372,MEDIA,7.479999999999999,-41.0,67.6,ALTA,⭐⭐ STRONG,🟢 Excellent,,,,,,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
ASAZY,0.0,,,,33.2,Assa Abloy AB,64.5,Industrials,Security & Protection Services,90.0,60.0,36.0,65.0,55.0,17.8,39543635968.0,15.0,14.7,False,down,15.9,True,1.0,3.3,True,1.0,,,False,21.98,-19.0,0.0,False,"{'roe_pct': 15.6, 'debt_to_equity': 0.64, 'current_ratio': 1.01}","{'eps_growth_yoy': 15.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.8}",21.74,21.74,21.74,1.0,hold,22.2,218.06,1125.1,12.08,-32.1,46.52,8.73,1.85,41.9,1.7,False,,,8.0,92.0,2026-10-27,False,False,8.0,STRONG,,118.2,1.25,,,,,,0.0,0.0,10.0,19.3,2026-07-27 07:43:50,2026-07-27,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",MEGA_FLOAT,1999.6,43.0,29.3,15.0,False,down,14.7,0.0,True,1.0,True,1.0,5.0,,29.0,,Sin datos suficientes,14.7,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,70.46,0.0,8.0,3.0,0.0,3.0,-0.62,-0.62,0.0,1.0,0.0,2.78,2.0,10.0,,0,,3,MIXED/BUY (+3),CAUTION,4.0,48,0.3323,MEDIA,0.0,22.2,-524.3,,⭐ GOOD,🟢 Excellent,,,,,,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
NDAQ,0.0,,,,24.7,"Nasdaq, Inc.",72.0,Financial Services,Financial Data & Stock Exchanges,85.0,80.0,44.0,75.0,65.0,92.09,51476221952.0,35.0,37.9,False,flat,19.9,False,0.0,29.3,True,1.0,2.4,1.7,False,101.79,-9.5,0.0,False,"{'roe_pct': 16.5, 'debt_to_equity': 0.78, 'current_ratio': 1.01, 'operating_margin_pct': 49.3}","{'eps_growth_yoy': 19.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.0}",110.07,135.0,84.0,15.0,buy,19.5,70.38,-23.6,48.36,-47.5,3.29,3.03,1.26,32.7,1.28,True,-2.53,8.3,14.1,87.0,2026-10-22,False,False,9.0,STRONG,4.15,205.3,1.4,,,,,,0.0,0.0,7.4,21.6,2026-07-27 07:43:50,2026-07-27,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,496.4,43.0,29.0,35.0,False,flat,37.9,0.0,False,0.0,True,1.0,2.0,17.0,29.0,44.8,Bajo 50%,27.7,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,57.535,0.0,3.0,0.0,3.0,3.0,3.32,3.71,2.0,1.0,3.0,2.44,2.0,10.0,32.0,0,,-8,RELIABLE/AVOID (-8),CAUTION,-8.0,48,0.2471,BAJA,8.7,-23.6,55.0,ALTA,⭐ GOOD,🟢 Excellent,,,,,,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
ATLKY,0.0,,,,33.2,Atlas Copco AB,68.3,Industrials,Specialty Industrial Machinery,80.0,60.0,54.0,80.0,65.0,20.96,102255886336.0,60.0,58.5,False,up,8.2,True,1.0,9.1,True,1.0,,,False,22.05,-4.9,0.0,False,"{'roe_pct': 25.7, 'debt_to_equity': 0.34, 'current_ratio': 1.27}","{'eps_growth_yoy': 8.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.7}",26.0,26.0,26.0,1.0,strong_buy,24.0,142.15,578.2,5.6,-73.3,25.4,7.83,2.66,73.8,1.57,False,,126.5,4.0,,,False,False,6.0,NEUTRAL,,53.6,3.34,,,,,,10.0,0.0,10.0,20.5,2026-07-27 07:43:50,2026-07-27,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 42% up volume)",MEGA_FLOAT,3947.5,50.0,30.4,60.0,False,up,58.5,2.0,True,1.0,True,1.0,5.0,5.0,29.0,86.2,Top 25%,48.5,3.0,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,72.22999999999999,0.0,8.0,3.0,0.0,1.0,0.0,1.96,1.0,0.0,0.0,3.0,0.0,2.0,,0,,8,RELIABLE/BUY (+8),REVISION_UP,13.0,48,0.3323,MEDIA,14.329999999999998,24.0,-228.4,,⭐ GOOD,🟡 Good,AVOID,35.0,Near ATH (-4.9% from high) - poor entry point | Elevated P/E (37.4) - watch valuation | Strong upside (+24.0%) - analyst support,-4.9,NEUTRAL,STRONG_BUY,False,False,0,,True,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
PG,0.0,,,,37.1,Procter & Gamble Company (The),60.2,Consumer Defensive,Household & Personal Products,80.0,50.0,36.0,70.0,60.0,147.41,343258791936.0,15.0,22.1,False,flat,8.8,True,1.0,1.7,False,0.0,1.0,2.3,False,167.25,-11.9,0.0,False,"{'roe_pct': 31.1, 'debt_to_equity': 0.68, 'current_ratio': 0.73, 'operating_margin_pct': 23.0}","{'eps_growth_yoy': 8.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 19.2}",163.61,186.0,145.0,23.0,buy,11.0,90.6,-38.5,68.4,-53.6,3.71,5.47,2.95,61.8,2.48,True,-1.41,25.6,4.1,2.0,2026-07-29,True,False,6.0,NEUTRAL,5.71,88.2,3.6,BULLISH,0.09,90.0,7.0,2.0,5.0,0.0,11.1,18.1,2026-07-27 07:43:50,2026-07-27,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 49% up volume)",MEGA_FLOAT,2324.3,43.0,29.2,15.0,False,flat,22.1,0.0,True,1.0,False,0.0,2.0,18.0,29.0,41.4,Bajo 50%,26.8,0.0,0.0,3.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,54.935,0.0,3.0,3.0,3.0,1.0,0.16,0.11,0.0,0.0,0.0,1.38,2.0,2.0,25.0,0,,-8,RELIABLE/AVOID (-8),,0.0,47,0.3707,MEDIA,7.52,-38.5,57.0,ALTA,⭐ GOOD,🟡 Good,,,,,,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
JKHY,0.0,,,,50.7,"Jack Henry & Associates, Inc.",64.0,Technology,Information Technology Services,65.0,60.0,44.0,95.0,65.0,150.58,10698826752.0,35.0,30.6,False,up,-3.7,True,1.0,3.4,True,1.0,7.9,2.8,False,193.39,-22.1,0.0,False,"{'roe_pct': 24.9, 'debt_to_equity': 0.06, 'current_ratio': 1.74, 'operating_margin_pct': 24.4}","{'eps_growth_yoy': -3.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.6}",185.71,208.0,158.0,14.0,buy,23.3,114.65,-23.9,89.38,-40.6,3.49,5.26,1.61,32.8,1.22,True,-2.66,123.3,12.5,22.0,2026-08-18,False,False,9.0,STRONG,5.52,162.7,1.7,,,,,,0.0,0.0,15.2,19.2,2026-07-27 07:43:50,2026-07-27,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (1.9x ratio, 64% up volume)",HIGH_FLOAT,70.6,40.0,34.4,35.0,False,up,30.6,2.0,True,1.0,True,1.0,5.0,26.0,29.0,13.8,Bottom 25%,10.6,-3.0,1.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,53.535,0.0,3.0,3.0,3.0,3.0,0.78,-0.48,1.0,1.0,0.0,2.91,2.0,10.0,16.0,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,48,0.5066,ALTA,0.0,-23.9,55.6,ALTA,⭐ GOOD,🟡 Good,,,,,,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
DBOEY,0.0,,,,5.5,Deutsche Boerse AG,67.8,Financial Services,Financial Data & Stock Exchanges,85.0,60.0,44.0,80.0,65.0,29.3,52824281088.0,35.0,34.6,False,flat,11.9,False,0.0,11.7,False,0.0,,,False,31.44,-6.8,0.0,False,"{'roe_pct': 20.4, 'debt_to_equity': 0.58, 'current_ratio': 1.01, 'operating_margin_pct': 41.9}","{'eps_growth_yoy': 11.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 27.3}",34.91,34.91,34.91,1.0,strong_buy,19.1,27.69,-5.5,18.08,-38.3,4.13,1.21,1.66,36.0,1.9,,,,6.9,85.0,2026-10-20,False,False,5.0,NEUTRAL,5.29,66.8,1.34,,,,,,0.0,0.0,1.6,20.3,2026-07-27 07:43:50,2026-07-27,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.5x ratio, 59% up volume)",MEGA_FLOAT,1802.8,43.0,22.0,35.0,False,flat,34.6,0.0,False,0.0,False,0.0,0.0,17.0,29.0,44.8,Bajo 50%,27.7,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,62.645,0.0,3.0,3.0,0.0,3.0,-0.16,0.59,2.0,1.0,0.0,2.39,2.0,0.0,41.0,0,,3,MIXED/BUY (+3),,0.0,41,0.0547,BAJA,8.28,-5.5,41.0,ALTA,🔵 DECENT,🟡 Good,,,,,,,,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
BAC,0.0,,,,43.7,Bank of America Corporation,73.2,Financial Services,Banks - Diversified,95.0,60.0,70.0,65.0,60.0,62.05,435464896512.0,100.0,100.0,True,up,20.6,True,1.0,14.4,False,0.0,0.0,0.0,False,62.28,-0.4,1.0,False,"{'roe_pct': 11.2, 'operating_margin_pct': 38.3}","{'eps_growth_yoy': 20.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 29.5}",68.25,75.0,62.0,22.0,buy,10.0,,,129.9,109.3,,,2.06,25.9,2.35,True,-5.78,,36.0,79.0,2026-10-14,False,False,5.0,NEUTRAL,,,0.33,,,,,,12.0,0.0,13.1,22.0,2026-07-27 07:43:50,2026-07-27,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 53% up volume)",MEGA_FLOAT,6990.5,43.0,35.1,100.0,True,up,100.0,10.0,True,1.0,False,0.0,2.0,,29.0,,Sin datos suficientes,100.0,0.0,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,58.465,0.0,0.0,3.0,3.0,5.0,0.83,7.37,4.0,0.0,0.0,1.25,2.0,0.0,,1,Berkshire Hathaway (Buffett),0,RELIABLE/INSUFFICIENT (0),,0.0,48,0.4372,MEDIA,14.82,59.6,-99.3,,🔵 DECENT,🟡 Good,AVOID,35.0,Near ATH (-0.4% from high) - poor entry point,-0.4,NEUTRAL,BUY,False,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
WST,0.0,,,,28.5,"West Pharmaceutical Services, I",77.2,Healthcare,Medical Instruments & Supplies,100.0,50.0,70.0,95.0,65.0,328.2,23097325568.0,100.0,93.9,True,up,10.0,True,2.0,8.4,False,0.0,3.9,2.9,False,386.0,-15.0,1.0,False,"{'roe_pct': 19.1, 'debt_to_equity': 0.11, 'current_ratio': 2.82, 'operating_margin_pct': 22.5}","{'eps_growth_yoy': 10.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 17.0}",402.93,459.0,340.0,15.0,strong_buy,22.8,107.46,-67.3,141.36,-56.9,1.2,3.95,0.27,11.1,0.25,True,-1.98,155.1,18.1,87.0,2026-10-22,False,False,7.0,NEUTRAL,,,1.83,,,,,,13.0,0.0,8.5,23.2,2026-07-27 07:43:50,2026-07-27,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.4x ratio, 55% up volume)",HIGH_FLOAT,69.9,40.0,31.7,100.0,True,up,93.9,10.0,True,2.0,False,0.0,5.0,16.0,29.0,48.3,Bajo 50%,30.2,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,52.05500000000001,0.0,0.0,0.0,3.0,5.0,5.48,12.3,5.0,0.0,3.0,2.85,2.0,5.0,,0,,-5,MIXED/AVOID (-5),WATCH,3.0,48,0.2853,BAJA,9.22,-56.9,84.9,ALTA,🔵 DECENT,🟡 Good,BUY,90.0,Good pullback (-15.0% from high) - valid VCP setup | Elevated P/E (42.0) - watch valuation | Strong upside (+22.8%) - analyst support,-15.0,NEUTRAL,STRONG_BUY,True,False,0,,False,,,,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
