ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date
9999.HK,"NetEase, Inc.",189.2,HKD,84.0,A,84.0,ROE 22.6% | Potencial +33% analistas | FCF yield 5.2% | Margen 30% | Dividendo 2.5% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,252.53,33.5,23,5.2,4.18,2.46,,22.6,12.1,15.9,30.0,3.0,-23.7,,NTES,,,2026-03-07
2020.HK,ANTA Sports Products Limited,80.4,HKD,82.0,A,82.0,ROE 25.4% | Potencial +34% analistas | FCF yield 5.6% | Dividendo 3.4% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,107.49,33.7,32,5.6,4.21,3.41,,25.4,14.0,13.6,19.7,14.3,-24.4,,,,,2026-03-07
000660.KS,SK hynix Inc.,924000.0,KRW,80.0,A,80.0,ROE 49.4% | P/E 4.6x (vs 11x mercado) | Potencial +31% analistas | Crecimiento ingresos +66% | Margen 44%,2,0,Technology,Korea,🇰🇷,21.2,1210433.6,31.0,38,,3.87,,,49.4,4.6,,44.2,66.1,-15.9,cyclical | geopolitical,HXSCL,SUSPECT,Anomalous Forward P/E of 4.6x is unusually low for a technology company with high ROE and profit margin,2026-03-07
0700.HK,Tencent Holdings Limited,519.0,HKD,71.0,A,71.0,ROE 19.8% | Potencial +45% analistas | Crecimiento ingresos +15% | Margen 30% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,754.11,45.3,47,2.8,5.66,0.81,,19.8,14.7,20.6,29.9,15.4,-24.0,,TCEHY,,,2026-03-07
6690.HK,"Haier Smart Home Co., Ltd.",25.02,HKD,71.0,A,71.0,ROE 18.2% | P/E 9.3x | Potencial +32% analistas | Dividendo 5.4% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Consumer Cyclical,HongKong,🇭🇰,10.7,33.1,32.3,18,0.7,4.04,5.38,,18.2,9.3,9.8,6.8,9.5,-11.3,,,,,2026-03-07
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",64.65,HKD,70.0,A,70.0,P/E 6.9x (vs 11x mercado) | Potencial +29% | Crecimiento ingresos +36% | Dividendo 4.3% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,83.5,29.2,18,,3.64,4.34,,12.2,6.9,7.5,14.1,35.5,-13.5,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,PNGAY,,,2026-03-07
9984.T,SoftBank Group Corp.,3926.0,JPY,69.0,A,69.0,ROE 26.0% | P/E 13.3x | Potencial +41% analistas | FCF negativo | Margen 48% | Mercado Japan CAPE 29 (26% descuento histórico),4,1,Communication Services,Japan,🇯🇵,29.4,5535.25,41.0,16,-0.2,5.12,0.28,,26.0,13.3,7.3,48.2,8.2,-43.3,cyclical | governance,SFTBY,SUSPECT,Negative FCF yield and low dividend yield raise concerns about the company's ability to generate cash and reward shareholders,2026-03-07
TOTS3.SA,TOTVS S.A.,36.07,BRL,69.0,A,69.0,ROE 16.1% | Potencial +43% analistas | Crecimiento ingresos +15% | Dividendo 1.7% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,51.52,42.8,13,1.1,5.36,1.69,,16.1,16.0,25.6,15.4,15.1,-25.5,Earnings Estimate Risk | Potential Overvaluation,,SUSPECT,"Forward P/E is lower than Trailing P/E, which is unusual and may indicate potential issues with future earnings estimates",2026-03-07
4568.T,"Daiichi Sankyo Company, Limited",2867.0,JPY,68.0,A,68.0,ROE 18.3% | Potencial +69% analistas | FCF negativo | Crecimiento ingresos +15% | Dividendo 2.7% | Mercado Japan CAPE 29 (26% descuento histórico),3,1,Healthcare,Japan,🇯🇵,29.4,4855.62,69.4,16,-2.0,8.67,2.72,,18.3,20.0,19.2,14.8,15.1,-31.4,Negative FCF Yield | Regulatory Risk in Healthcare Sector,DSNKY,SUSPECT,Negative FCF yield is anomalous for a healthcare company with positive profit margin and revenue growth,2026-03-07
8766.T,"Tokio Marine Holdings, Inc.",6169.0,JPY,68.0,A,68.0,ROE 20.7% | P/E 12.5x | Potencial +11% | Crecimiento ingresos +22% | Dividendo 3.4% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Financial Services,Japan,🇯🇵,29.4,6852.0,11.1,10,,1.38,3.42,,20.7,12.5,11.2,12.6,21.8,-8.1,FCF no comparable (sector financiero) | Regulatory risk due to Japanese financial regulations | Cyclical risk inherent to insurance industry,TKOMY,CLEAN,"Metrics appear reasonable for an insurance company, with no obvious anomalies",2026-03-07
6098.T,"Recruit Holdings Co., Ltd.",7002.0,JPY,67.0,A,67.0,ROE 27.3% | Potencial +41% analistas | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,9867.5,40.9,16,4.3,5.12,0.35,,27.3,23.1,23.6,12.8,5.2,-26.8,regulatory risk in Japanese labor market | cyclical risk in recruitment industry,RCRUY,SUSPECT,High ROE and analyst upside may indicate overvaluation or unrealistic growth expectations,2026-03-07
0941.HK,China Mobile Limited,78.95,HKD,66.0,A,66.0,P/E 10.3x | Potencial +27% | FCF yield 8.6% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Communication Services,HongKong,🇭🇰,10.7,100.27,27.0,15,8.6,3.38,6.64,,10.5,10.3,10.6,13.7,2.5,-12.9,,,,,2026-03-07
0388.HK,Hong Kong Exchanges and Clearing Limited,415.0,HKD,66.0,A,66.0,ROE 31.5% | Potencial +25% | Margen 62% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,518.65,25.0,17,,3.12,3.14,,31.5,27.5,29.6,61.5,14.2,-10.9,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-03-07
0939.HK,China Construction Bank Corporation,7.91,HKD,65.0,A,65.0,P/E 5.4x (vs 11x mercado) | Potencial +21% | Margen 56% | Dividendo 5.4% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,9.54,20.6,18,,2.58,5.39,,9.6,5.4,5.4,55.9,3.0,-7.6,FCF no comparable (sector financiero) | Empresa estatal — riesgo de gobierno corporativo | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-03-07
3988.HK,Bank of China Limited,4.52,HKD,65.0,A,65.0,P/E 5.5x (vs 11x mercado) | Potencial +21% | Margen 44% | Dividendo 5.6% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,5.49,21.4,18,,2.67,5.56,,8.3,5.5,5.3,43.5,2.8,-5.8,FCF no comparable (sector financiero) | Empresa estatal — riesgo de gobierno corporativo | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-03-07
1810.HK,Xiaomi Corporation,33.42,HKD,65.0,A,65.0,ROE 19.9% | Potencial +49% analistas | Crecimiento ingresos +22% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Technology,HongKong,🇭🇰,10.7,49.77,48.9,30,3.7,6.12,,,19.9,17.8,20.5,9.8,22.3,-45.6,,,,,2026-03-07
005930.KS,"Samsung Electronics Co., Ltd.",188200.0,KRW,64.0,B,64.0,P/E 7.1x (vs 11x mercado) | Potencial +20% | Crecimiento ingresos +24% | Dividendo 1.2%,0,0,Technology,Korea,🇰🇷,21.2,226670.78,20.4,37,1.9,2.56,1.2,,10.8,7.1,,13.3,23.8,-15.6,incomplete_data | potential_accounting_issues,SSNLF,SUSPECT,"Trailing P/E is reported as non-existent, which is unusual for a well-established company like Samsung Electronics",2026-03-07
7733.T,Olympus Corporation,1361.0,JPY,64.0,B,64.0,P/E 10.8x (vs 16x mercado) | Potencial +39% analistas | Dividendo 2.2% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Healthcare,Japan,🇯🇵,29.4,1888.46,38.8,13,0.7,4.84,2.2,,11.2,10.8,15.8,8.6,3.9,-37.2,cyclical | governance,,SUSPECT,Low FCF yield and relatively low profit margin raise concerns about the company's ability to generate cash and maintain profitability,2026-03-07
ITUB4.SA,Itaú Unibanco Holding S.A.,42.93,BRL,63.0,B,63.0,ROE 21.0% | P/E 8.3x | Potencial +11% | Margen 32% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,47.46,10.6,13,,1.32,1.28,,21.0,8.3,10.7,32.3,11.0,-13.6,FCF no comparable (sector financiero) | regulatory risk | geopolitical risk | cyclical risk,ITUB,SUSPECT,Low forward P/E and high profit margin may indicate potential overstatement of earnings or undervaluation,2026-03-07
RDOR3.SA,Rede D'Or São Luiz S.A.,38.41,BRL,62.0,B,62.0,ROE 20.0% | Potencial +35% analistas | FCF yield 5.1% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Healthcare,Brazil,🇧🇷,9.0,51.78,34.8,13,5.1,4.35,8.7,,20.0,13.1,18.1,8.4,11.9,-20.7,Deuda elevada (D/E >2x) | Deuda elevada | Potential Overvaluation,RDORY,RISKY,High debt-to-equity ratio and potential overvaluation indicated by trailing P/E,2026-03-07
SUZB3.SA,Suzano S.A.,54.92,BRL,62.0,B,62.0,ROE 35.2% | P/E 6.6x (vs 10x mercado) | Potencial +28% | FCF negativo | Margen 27% | Dividendo 2.0% | Mercado Brazil CAPE 9 (34% descuento histórico),4,1,Basic Materials,Brazil,🇧🇷,9.0,70.56,28.5,17,-0.8,3.56,2.03,,35.2,6.6,5.1,26.8,-7.5,-7.9,Ingresos en declive YoY | Deuda elevada (D/E >2x) | High Debt | Negative FCF Yield | Cyclical Industry Risks,,RISKY,Negative FCF yield and high debt-to-equity ratio raise concerns,2026-03-07
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,42.11,BRL,62.0,B,62.0,ROE 19.0% | P/E 3.7x (vs 10x mercado) | FCF yield 14.3% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Energy,Brazil,🇧🇷,9.0,42.58,1.1,13,14.3,0.14,11.01,,19.0,3.7,7.4,15.8,7.2,-2.3,cyclical | geopolitical | governance,PBR,SUSPECT,Anomalous FCF yield and dividend yield for an energy company,2026-03-07
BBDC4.SA,Banco Bradesco S.A.,19.55,BRL,61.0,B,61.0,P/E 6.4x (vs 10x mercado) | Potencial +12% | Margen 27% | Dividendo 1.2% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Financial Services,Brazil,🇧🇷,9.0,21.85,11.7,13,,1.47,1.16,,13.8,6.4,9.2,26.5,6.0,-11.6,FCF no comparable (sector financiero) | regulatory risk | geopolitical risk | cyclical risk,BBD,SUSPECT,Low Forward P/E and high Profit Margin may indicate undervaluation or accounting discrepancies,2026-03-07
1398.HK,Industrial and Commercial Bank of China Limited,6.41,HKD,61.0,B,61.0,P/E 5.6x (vs 11x mercado) | Potencial +15% | Margen 54% | Dividendo 5.2% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,7.36,14.8,17,,1.85,5.24,,9.1,5.6,5.7,54.3,5.8,-3.8,FCF no comparable (sector financiero) | Empresa estatal — riesgo de gobierno corporativo | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-03-07
0005.HK,HSBC Holdings plc,135.2,HKD,60.0,B,60.0,P/E 9.8x | Potencial +13% | Crecimiento ingresos +58% | Margen 35% | Dividendo 4.3% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,152.61,12.9,9,,1.61,4.33,,11.6,9.8,14.4,35.2,58.4,-8.6,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino,HSBC,,,2026-03-07
0883.HK,CNOOC Limited,26.62,HKD,59.0,B,59.0,ROE 16.4% | P/E 8.5x | Margen 30% | Dividendo 5.5% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Energy,HongKong,🇭🇰,10.7,25.58,-3.9,14,4.3,-0.49,5.48,,16.4,8.5,9.1,30.3,5.7,-5.3,,,,,2026-03-07
000270.KS,Kia Corporation,167000.0,KRW,59.0,B,59.0,P/E 7.0x (vs 11x mercado) | Potencial +23% | Dividendo 4.1%,0,0,Consumer Cyclical,Korea,🇰🇷,21.2,204903.22,22.7,31,4.7,2.84,4.07,,14.1,7.0,,6.9,8.2,-21.4,cyclical risk | geopolitical risk,,SUSPECT,"Trailing P/E is reported as non-existent, which is unusual for a publicly traded company like Kia Corporation",2026-03-07
