ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
CNTM,CNTM,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,0.22,$0.21 - $0.22,0.34,0.2,7.19,2026-03-10,28.3,-56.0,0.21,0.34,2.8,2.39,,,,,,
SPRU,SPRU,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,3.63,$3.93 - $4.09,5.75,3.81,0.0,2026-03-10,20.8,-43.8,4.01,5.75,-9.5,1.35,,,,,,
IP,IP,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,38.39,$37.84 - $39.39,46.13,36.68,4.54,2026-03-10,7.9,-21.2,38.61,46.13,-0.6,1.61,,,,,,
VENU,VENU,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,4.0,$8.36 - $8.71,10.89,8.11,0.0,2026-03-10,23.5,-60.1,8.53,10.89,-53.1,11.41,,,,,,
MCFT,MCFT,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,19.38,$18.82 - $19.58,22.79,18.24,2.99,2026-03-10,11.4,-23.0,19.2,22.79,0.9,1.46,,,,,,
BH,BH,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,306.76,$316.17 - $329.07,425.96,306.49,439.85,2026-03-10,18.6,-35.7,322.62,425.96,-4.9,1.07,,,,,,
SRCO,SRCO,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,0.09,$0.11 - $0.11,0.13,0.11,0.0,2026-03-10,20.9,-31.7,0.11,0.13,-14.6,0.0,,,,,,
APTV,APTV,Oversold Bounce,⭐⭐ MUY BUENA,75,72.85,$74.4 - $77.44,86.64,72.12,18.99,2026-03-10,25.3,-17.8,75.92,86.64,-4.0,1.33,,,,,,
UA,UA,Oversold Bounce,⭐⭐ MUY BUENA,75,6.26,$4.04 - $4.2,4.92,3.91,-0.57,2026-03-10,24.0,-20.6,4.12,4.92,51.9,1.69,,,,,,
UAA,UAA,Oversold Bounce,⭐⭐ MUY BUENA,75,6.48,$4.21 - $4.39,4.95,4.09,-0.64,2026-03-10,27.0,-20.4,4.3,4.95,50.7,1.48,,,,,,
ALIT,ALIT,Oversold Bounce,⭐⭐ MUY BUENA,70,0.94,$1.67 - $1.74,2.36,1.62,0.0,2026-03-10,31.9,-55.8,1.71,2.36,-44.8,2.57,,,,,,
DIN,DIN,Oversold Bounce,⭐⭐ MUY BUENA,70,30.86,$31.01 - $32.27,35.26,30.06,5.48,2026-03-10,39.1,-20.5,31.64,35.26,-2.5,1.25,,,,,,
NRDY,NRDY,Oversold Bounce,⭐⭐ MUY BUENA,70,0.88,$0.96 - $1.0,1.15,0.93,0.0,2026-03-10,35.5,-34.5,0.98,1.15,-9.8,1.22,,,,,,
BLND,BLND,Oversold Bounce,⭐⭐ MUY BUENA,70,1.67,$2.83 - $2.95,3.34,2.75,0.0,2026-03-10,40.7,-50.0,2.89,3.34,-42.2,1.64,,,,,,
MYSZ,MYSZ,Oversold Bounce,⭐⭐ MUY BUENA,70,0.64,$0.73 - $0.76,1.18,0.71,0.0,2026-03-10,67.5,-41.0,0.74,1.18,-13.5,2.3,,,,,,
SVCO,SVCO,Oversold Bounce,⭐⭐ MUY BUENA,70,3.29,$3.93 - $4.09,4.83,3.81,0.0,2026-03-10,39.3,-33.7,4.01,4.83,-18.0,1.5,,,,,,
SCKT,SCKT,Oversold Bounce,⭐⭐ MUY BUENA,70,0.96,$0.91 - $0.95,1.24,0.88,3.66,2026-03-10,41.8,-27.8,0.93,1.24,3.2,3.47,,,,,,
CE,CE,Bull Flag Pullback,⭐ BUENA,60,51.45,$50.42 - $52.48,60.53,47.51,2.31,2026-03-10,,,,,,,47.9,-15.0,48.98,48.98,Bearish,False
IAUX,IAUX,Bull Flag Pullback,⭐ BUENA,60,1.77,$1.73 - $1.81,2.08,1.7,4.58,2026-03-10,,,,,,,54.1,-14.9,1.75,1.75,Bearish,False
GRND,GRND,Bull Flag Pullback,⭐ BUENA,60,11.98,$11.74 - $12.22,13.89,11.43,3.5,2026-03-10,,,,,,,41.0,-13.8,11.79,11.79,Bearish,False
