ticker,vcp_score,vcp_quality,stage,consolidation_quality,current_price_x,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price_y,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage
AUTO.L,0.0,,,,,84.4,AUTOTRADER GROUP PLC ORD 1P,55.5,Communication Services,Internet Content & Information,60.0,50.0,30.0,90.0,55.0,471.1,3794528256.0,,,,,,,0.0,,,0.0,,,False,844.4,-44.2,0.0,False,"{'roe_pct': 60.2, 'debt_to_equity': 0.51, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}",{'profit_margin_pct': 47.1},582.47,830.0,410.0,17.0,hold,23.6,497.0,5.5,340.0,-27.8,6.55,0.31,2.47,32.0,0.99,,,,2.0,150.0,2026-11-05,False,False,8.0,STRONG,9.33,668.8,2.1,,,,,,17.0,0.0,25.3,16.6,2026-06-08 09:07:47,2026-06-08,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,85,"Strong institutional buying (1.7x ratio, 61% up volume)",MEGA_FLOAT,815.1,23.0,42.0,,,,,0.0,,0.0,,0.0,0.0,8.0,29.0,75.9,Top 25%,30.0,3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,76.42,8.0,6.0,3.0,0.0,1.0,-0.27,-10.92,0.0,2.0,0.0,10.0,1.0,0,,-5,MIXED/AVOID (-5),BEST,8.0,43,0.5691,ALTA,0.0,⭐⭐⭐ EXCELLENT,🟢 Elite,,,,,,,,False,0,1.144,False,-43.82,13.31,-30.42,downtrend,stage1
ASAZY,0.0,,,,,50.0,Assa Abloy AB,57.0,Industrials,Security & Protection Services,90.0,30.0,36.0,65.0,55.0,17.07,37921902592.0,15.0,1.6,False,down,44.4,False,0.0,-5.8,False,0.0,,,False,21.98,-22.3,3.0,False,"{'roe_pct': 15.0, 'debt_to_equity': 0.61, 'current_ratio': 1.0}","{'eps_growth_yoy': np.float64(44.4), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.5}",21.88,21.88,21.88,1.0,none,28.2,347.64,1936.6,22.8,33.6,45.54,8.2,1.93,41.6,1.7,False,,,22.2,39.0,2026-07-17,False,False,8.0,STRONG,,118.2,0.43,,,,,,1.3999999999999986,0.0,,17.1,2026-06-08 09:07:47,2026-06-08,CONFIRMED_UPTREND,TRADE,False,50,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,999.8,23.0,24.4,15.0,False,down,1.6,0.0,False,0.0,False,0.0,0.0,,29.0,,Sin datos suficientes,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,65.8,8.0,8.0,3.0,0.0,5.0,0.0,39.1,0.0,0.0,0.0,10.0,,0,,3,MIXED/BUY (+3),BEST,8.0,20,,,5.699999999999999,⭐ GOOD,🟡 Good,,,,,,,,False,1,0.818,False,-21.64,16.29,-17.83,downtrend,stage4
EXPN.L,0.0,,,,,87.4,EXPERIAN PLC ORD USD0.10,51.8,Industrials,Consulting Services,55.0,50.0,30.0,65.0,70.0,2603.0,23243079680.0,,,,,,,0.0,,,0.0,,,False,4101.0,-36.5,0.0,False,"{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 24.9}",{'profit_margin_pct': 17.8},3950.65,4743.04,2371.36,18.0,strong_buy,51.8,3334.0,28.1,2818.0,8.3,3.89,1.01,1.97,39.8,1.37,,,,23.1,163.0,2026-11-18,False,False,5.0,NEUTRAL,5.98,493.1,0.65,,,,,,6.799999999999997,0.0,26.2,15.5,2026-06-08 09:07:47,2026-06-08,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 40% up volume)",MEGA_FLOAT,897.4,30.0,41.8,,,,,0.0,,0.0,,0.0,0.0,18.0,29.0,41.4,Bajo 50%,20.6,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,47.59,8.0,3.0,3.0,0.0,5.0,0.98,-2.38,1.0,2.0,0.0,0.0,6.0,0,,-8,RELIABLE/AVOID (-8),CAUTION,2.0,43,0.1858,BAJA,0.0,🔵 DECENT,🟡 Good,,,,,,,,False,0,1.402,False,-36.28,18.61,-29.55,downtrend,stage4
CTAS,64.96875,Excellent,Stage Unknown,11.838579538325552,181.2100067138672,37.1,Cintas Corporation,66.7,Industrials,Specialty Business Services,90.0,50.0,36.0,90.0,65.0,179.85,71964622848.0,15.0,15.0,False,down,12.1,True,1.0,6.5,False,0.0,4.0,6.2,False,229.24,-21.5,2.0,False,"{'roe_pct': 41.3, 'debt_to_equity': 0.61, 'current_ratio': 1.98, 'operating_margin_pct': 23.2}","{'eps_growth_yoy': np.float64(12.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 17.6}",212.41,255.0,160.0,17.0,buy,18.1,73.4,-59.2,47.5,-73.6,2.1,3.77,1.0,36.7,0.9,True,-1.65,24.3,6.8,38.0,2026-07-16,False,False,8.0,STRONG,3.17,64.5,3.42,BULLISH,0.0,50.0,1.0,0.0,36.1,26.0,11.1,20.0,2026-06-08 09:07:47,2026-06-08,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (1.5x ratio, 58% up volume)",MEGA_FLOAT,342.1,23.0,57.1,15.0,False,down,15.0,0.0,True,1.0,False,0.0,2.0,13.0,29.0,58.6,Medio,24.0,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,56.235,8.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,89.0,0,,2,RELIABLE/WATCH (+2),WATCH,0.0,43,0.0844,BAJA,31.654375,🔵 DECENT,🟡 Average,,,,,,,,False,1,0.945,False,-20.8,11.9,-10.16,sideways,stage1
OTIS,0.0,,,,,89.3,Otis Worldwide Corporation,39.2,Industrials,Specialty Industrial Machinery,50.0,30.0,15.0,45.0,70.0,70.34,26990585856.0,15.0,5.7,False,down,-13.5,False,0.0,-0.8,False,0.0,3.9,3.2,False,101.42,-30.6,0.0,False,"{'current_ratio': 0.84, 'operating_margin_pct': 15.4}","{'eps_growth_yoy': np.float64(-13.5), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.1}",94.57,120.0,77.0,14.0,buy,34.4,185.91,164.3,112.8,60.4,6.23,4.38,2.42,44.7,1.5,True,-3.54,,29.8,44.0,2026-07-22,False,False,6.0,NEUTRAL,6.41,171.1,0.35,,,,,,6.5,0.0,26.8,11.8,2026-06-08 09:07:47,2026-06-08,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.7x ratio, 41% up volume)",MEGA_FLOAT,383.0,30.0,38.5,15.0,False,down,5.7,0.0,False,0.0,False,0.0,0.0,6.0,29.0,82.8,Top 25%,33.1,3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,45.54499999999999,8.0,6.0,3.0,3.0,5.0,0.0,0.23,0.0,0.0,0.0,2.0,7.0,0,,-8,RELIABLE/AVOID (-8),BEST,5.0,43,0.529,ALTA,0.0,🔵 DECENT,🟡 Average,,,,,,,,False,0,0.678,False,-29.24,1.71,-26.58,downtrend,stage1
INTU,0.0,,,,,16.2,Intuit Inc.,77.8,Technology,Software - Application,100.0,100.0,15.0,85.0,70.0,296.76,81174839296.0,15.0,0.4,False,down,704.2,True,2.0,123.4,True,2.0,4.6,4.2,False,813.7,-63.5,0.0,False,"{'roe_pct': 22.5, 'debt_to_equity': 0.33, 'current_ratio': 1.45, 'operating_margin_pct': 47.0}","{'eps_growth_yoy': np.float64(704.2), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.9}",491.3,921.0,276.0,32.0,buy,65.6,387.99,30.7,175.27,-40.9,6.45,19.13,1.62,28.3,0.63,True,-5.03,24.8,10.7,73.0,2026-08-20,False,False,9.0,STRONG,6.25,97.0,1.01,BEARISH,8.17,100.0,7.0,8.0,0.0,0.0,4.9,23.3,2026-06-08 09:07:47,2026-06-08,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 40% up volume)",MEGA_FLOAT,267.3,30.0,28.2,15.0,False,down,0.4,0.0,True,2.0,True,2.0,8.0,19.0,29.0,37.9,Bajo 50%,18.1,0.0,0.0,0.0,-5.0,-8.0,0.0,0.0,0.0,False,1/3,48.43000000000001,8.0,6.0,3.0,3.0,3.0,-2.14,-17.31,0.0,4.0,-1.5,10.0,22.0,0,,-5,MIXED/AVOID (-5),CAUTION,8.0,43,0.2282,BAJA,0.2800000000000002,🔵 DECENT,🟡 Average,,,,,,,,False,0,0.987,False,-63.28,1.05,-63.41,downtrend,stage1
CPRT,60.6421052631579,Excellent,Stage Unknown,25.87313553306049,33.38999938964844,50.0,"Copart, Inc.",64.0,Industrials,Specialty Business Services,85.0,60.0,15.0,90.0,70.0,30.96,29824028672.0,15.0,3.9,False,down,1.5,True,1.0,10.0,True,1.0,4.6,4.5,False,50.92,-39.2,0.0,False,"{'roe_pct': 17.6, 'debt_to_equity': 0.01, 'current_ratio': 7.61, 'operating_margin_pct': 37.5}","{'eps_growth_yoy': np.float64(1.5), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 33.5}",41.44,55.0,32.0,9.0,buy,33.9,15.27,-50.7,16.1,-48.0,3.35,1.04,,,,True,-4.74,,1.6,87.0,2026-09-03,False,False,6.0,NEUTRAL,6.9,19.3,7.98,,,,,,37.1,24.3,,19.2,2026-06-08 09:07:47,2026-06-08,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 49% up volume)",MEGA_FLOAT,845.5,25.0,62.1,15.0,False,down,3.9,0.0,True,1.0,True,1.0,5.0,13.0,29.0,58.6,Medio,24.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,54.5,8.0,3.0,0.0,3.0,1.0,0.0,-2.86,1.0,1.0,0.0,2.0,65.0,0,,3,MIXED/BUY (+3),,0.0,5,,,29.22105263157895,🔵 DECENT,🟡 Average,,,,,,,,False,0,1.314,False,-39.2,3.3,-28.59,downtrend,stage1
MA,0.0,,,,,27.5,Mastercard Incorporated,56.7,Financial Services,Credit Services,75.0,50.0,36.0,50.0,70.0,491.08,433910349824.0,15.0,11.1,False,down,4.9,False,0.0,3.3,False,0.0,0.8,1.9,False,601.77,-18.4,1.0,False,"{'roe_pct': 232.1, 'debt_to_equity': 2.82, 'current_ratio': 0.98, 'operating_margin_pct': 60.8}","{'eps_growth_yoy': np.float64(4.9), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 45.9}",646.97,735.0,550.0,36.0,strong_buy,31.7,564.24,14.9,366.55,-25.4,3.72,18.41,0.71,18.2,0.54,True,-3.05,27.7,21.2,52.0,2026-07-30,False,False,9.0,STRONG,4.34,622.8,1.02,BULLISH,0.2,50.0,1.0,1.0,5.0,0.0,8.2,17.0,2026-06-08 09:07:47,2026-06-08,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,875.8,23.0,25.3,15.0,False,down,11.1,0.0,False,0.0,False,0.0,0.0,21.0,29.0,31.0,Bajo 50%,15.2,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,59.05500000000001,0.0,3.0,0.0,3.0,5.0,0.0,-0.25,0.0,0.0,0.0,10.0,24.0,1,Berkshire Hathaway (Buffett),8,RELIABLE/BUY (+8),CAUTION,-3.0,43,0.3962,MEDIA,0.0,🔵 DECENT,🟡 Average,,,,,,,,False,0,0.962,False,-18.02,5.72,-17.54,downtrend,stage1
ROP,0.0,,,,,76.9,"Roper Technologies, Inc.",61.5,Technology,Software - Application,100.0,50.0,24.0,55.0,60.0,332.18,33522726912.0,15.0,5.3,False,down,34.5,True,2.0,7.8,False,0.0,4.6,3.4,False,576.49,-42.4,0.0,False,"{'roe_pct': 9.0, 'debt_to_equity': 0.56, 'current_ratio': 0.53, 'operating_margin_pct': 27.2}","{'eps_growth_yoy': np.float64(34.5), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.1}",453.82,550.0,365.0,16.0,none,36.6,911.86,174.5,480.3,44.6,6.47,21.5,1.1,21.1,0.59,True,-4.47,7.0,29.6,43.0,2026-07-21,False,False,6.0,NEUTRAL,5.19,1441.1,0.23,,,,,,21.5,0.0,23.1,18.4,2026-06-08 09:07:47,2026-06-08,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",HIGH_FLOAT,100.4,20.0,41.5,15.0,False,down,5.3,0.0,True,2.0,False,0.0,5.0,19.0,29.0,37.9,Bajo 50%,18.1,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,45.445,8.0,6.0,0.0,3.0,5.0,0.0,0.01,0.0,0.0,0.0,2.0,11.0,0,,-5,MIXED/AVOID (-5),BEST,5.0,43,0.55,ALTA,0.0,🔵 DECENT,🟡 Average,,,,,,,,False,0,1.105,False,-41.93,8.57,-33.35,downtrend,stage1
ADP,63.73809523809524,Excellent,Stage Unknown,19.96163463419413,209.7100067138672,15.0,"Automatic Data Processing, Inc.",75.0,Technology,Software - Application,100.0,80.0,36.0,85.0,50.0,231.95,92718366720.0,15.0,14.9,False,flat,49.3,True,1.0,15.8,True,2.0,4.6,5.4,False,329.93,-29.7,1.0,False,"{'roe_pct': 71.2, 'debt_to_equity': 0.69, 'current_ratio': 1.04, 'operating_margin_pct': 30.2}","{'eps_growth_yoy': np.float64(49.3), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.1}",246.8,305.0,190.0,15.0,hold,6.4,239.06,3.1,112.56,-51.5,5.12,11.88,2.93,60.5,2.04,True,-1.93,13.5,4.2,51.0,2026-07-29,False,False,8.0,STRONG,6.14,192.0,1.81,NEUTRAL,0.97,50.0,1.0,1.0,27.5,25.5,4.5,22.5,2026-06-08 09:07:47,2026-06-08,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 49% up volume)",MEGA_FLOAT,398.8,25.0,52.5,15.0,False,flat,14.9,0.0,True,1.0,True,2.0,5.0,19.0,29.0,37.9,Bajo 50%,18.1,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,49.75,8.0,6.0,3.0,3.0,1.0,0.19,0.03,1.0,0.0,0.0,10.0,8.0,0,,0,MIXED/WATCH (0),BEST,8.0,43,0.3385,MEDIA,31.86904761904762,⚪ WEAK,🟡 Average,,,,,,,,False,1,1.201,False,-27.93,23.27,-17.64,sideways,stage4
