ticker,cerebro_signal,cerebro_score_adj,cerebro_reason,updated_at
ADP,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Technology (5.1% vs media sector 4.1%),2026-06-09
AI.PA,REVISION_UP,8,Caro vs peers en Basic Materials (FCF rank 6/6) | Piotroski fuerte (7.0/9) | EPS revision STRONG_UP: EPS consensus ↑33.2% (-1.02→-0.68); Revenue estimate ↑5.3%,2026-06-09
AJG,WATCH,-3,Caro vs peers en Financial Services (FCF rank 12/12),2026-06-09
AON,CAUTION,2,Thesis drift MEDIUM: Score cayó 22pts en 44d (54→32) | Piotroski fuerte (8.0/9) | Mejor FCF en Financial Services (4.8% vs media sector 5.2%),2026-06-09
ASAZY,BEST,8,Piotroski fuerte (8.0/9) | Mejor FCF en Industrials (45.5% vs media sector 5.8%),2026-06-09
ATLKY,CAUTION,-1,Thesis drift MEDIUM: FCF yield cayó 4.3pp (27.5%→23.2%) | Mejor FCF en Industrials (23.2% vs media sector 5.8%),2026-06-09
AUTO.L,CAUTION,-6,Thesis drift MEDIUM: Score cayó 15pts en 44d (60→45) | Señal salida MEDIUM: Score cayó 20pts (65 → 45) | Piotroski fuerte (8.0/9) | Mejor FCF en Communication Services (6.5% vs media sector 6.8%),2026-06-09
BR,CAUTION,-6,"Thesis drift MEDIUM: Score cayó 29pts en 44d (61→32) | Señal salida MEDIUM: Score cayó 39pts (71 → 32) — caída técnica/momentum, balance sólido (Piotroski 8/9) | Piotroski fuerte (8.0/9) | Mejor FCF en Technology (6.8% vs media sector 4.1%)",2026-06-09
BRO,BEST,5,Mejor FCF en Financial Services (7.6% vs media sector 5.2%),2026-06-09
CBOE,CAUTION,-6,Thesis drift MEDIUM: Score cayó 18pts en 44d (45→27) | Caro vs peers en Financial Services (FCF rank 10/12) | Piotroski fuerte (8.0/9),2026-06-09
CDNS,CAUTION,-6,Thesis drift MEDIUM: Score cayó 11pts en 44d (40→29) | Caro vs peers en Technology (FCF rank 17/19) | Piotroski fuerte (7.0/9),2026-06-09
CLPBY,EXIT,-15,Señal salida HIGH: Ya no aparece en VALUE — tesis posiblemente rota,2026-06-09
CP,WATCH,4,EPS revision UP: EPS consensus ↑2.9% (7.27→7.48),2026-06-09
CSU.TO,WATCH,5,"Piotroski SLIGHT_UP (6.0 → 7.0, Δ+1)",2026-06-09
CTAS,WATCH,0,Caro vs peers en Industrials (FCF rank 25/27) | Piotroski fuerte (8.0/9),2026-06-09
DSGX,WATCH,4,EPS revision UP: EPS consensus ↑3.9% (3.72→3.87); Revenue estimate ↑2.7%,2026-06-09
EXPN.L,CAUTION,2,Thesis drift MEDIUM: Score cayó 15pts en 44d (62→48) | Smart money: 0 HF + 3 insiders (conv 48),2026-06-09
FAST,WATCH,4,EPS revision UP: EPS consensus ↑3.8% (1.19→1.23); Analistas: -16 (16→0),2026-06-09
FICO,WATCH,0,Caro vs peers en Technology (FCF rank 16/19) | Piotroski fuerte (7.0/9),2026-06-09
G24.DE,CAUTION,-8,Señal salida MEDIUM: Score cayó 21pts (73 → 52),2026-06-09
GVDNY,WATCH,3,Piotroski fuerte (7.0/9),2026-06-09
HEI,WATCH,0,Caro vs peers en Industrials (FCF rank 26/27) | Piotroski fuerte (8.0/9),2026-06-09
HESAY,CAUTION,-3,Thesis drift MEDIUM: Score cayó 18pts en 44d (55→37) | Piotroski fuerte (8.0/9),2026-06-09
ICE,CAUTION,-3,Thesis drift MEDIUM: Score cayó 18pts en 44d (50→32) | Piotroski fuerte (8.0/9),2026-06-09
INTU,CAUTION,6,"Señal salida MEDIUM: Score cayó 18pts (67 → 48) | Opciones TIER2 (q=45): VALUE weak (48pts), FCF 6.5% | Piotroski fuerte (9.0/9) | Mejor FCF en Technology (6.5% vs media sector 4.1%)",2026-06-09
ITRK.L,CAUTION,-6,Thesis drift MEDIUM: Score cayó 13pts en 44d (49→37),2026-06-09
JKHY,CAUTION,-11,"Thesis drift MEDIUM: Score cayó 37pts en 44d (65→28) | Señal salida MEDIUM: Score cayó 45pts (73 → 28) — caída técnica/momentum, balance sólido (Piotroski 9/9) | Piotroski fuerte (9.0/9)",2026-06-09
LSEG.L,CAUTION,-3,Thesis drift MEDIUM: Score cayó 17pts en 44d (48→31) | Piotroski fuerte (7.0/9),2026-06-09
MA,CONFIRM,11,Smart money: 1 HF + 0 insiders (conv 33) | Piotroski fuerte (9.0/9),2026-06-09
MSFT,WATCH,-3,Caro vs peers en Technology (FCF rank 18/19),2026-06-09
NDAQ,WATCH,0,Caro vs peers en Financial Services (FCF rank 11/12) | Piotroski fuerte (9.0/9),2026-06-09
OTIS,BEST,5,Mejor FCF en Industrials (6.2% vs media sector 5.8%),2026-06-09
PGR,BEST,5,Mejor FCF en Financial Services (13.0% vs media sector 5.2%),2026-06-09
RELX,CAUTION,-11,Thesis drift MEDIUM: Score cayó 20pts en 44d (55→35) | Señal salida MEDIUM: Score cayó 30pts (65 → 35) | Piotroski fuerte (7.0/9),2026-06-09
ROP,BEST,5,Mejor FCF en Technology (6.5% vs media sector 4.1%),2026-06-09
SAP,CAUTION,-11,"Thesis drift MEDIUM: Score cayó 15pts en 44d (54→40) | Señal salida MEDIUM: Score cayó 27pts (67 → 40) — caída técnica/momentum, balance sólido (Piotroski 8/9) | Piotroski fuerte (8.0/9)",2026-06-09
SBGSY,CAUTION,-9,Thesis drift MEDIUM: Score cayó 10pts en 44d (39→28) | Caro vs peers en Industrials (FCF rank 24/27),2026-06-09
SHW,WATCH,4,EPS revision UP: EPS consensus ↑2.4% (13.26→13.58),2026-06-09
SPGI,CAUTION,-3,Thesis drift MEDIUM: Score cayó 14pts en 44d (51→36) | Piotroski fuerte (7.0/9),2026-06-09
TW,CAUTION,-3,Thesis drift MEDIUM: Score cayó 13pts en 44d (47→34) | Piotroski fuerte (8.0/9),2026-06-09
V,CAUTION,-8,Señal salida MEDIUM: Ya no está en lista VALUE — upside reducido (fundamentales siguen sólidos),2026-06-09
VEEV,REVISION_UP,11,Piotroski fuerte (7.0/9) | EPS revision STRONG_UP: EPS consensus ↑7.9% (9.28→10.02); Revenue estimate ↑4.2%,2026-06-09
VRSK,WATCH,3,Piotroski fuerte (7.0/9),2026-06-09
VRSN,CAUTION,-3,"Thesis drift MEDIUM: Score cayó 19pts en 44d (46→27) | Señal salida MEDIUM: Score cayó 42pts (69 → 27) — caída técnica/momentum, balance sólido (Piotroski 8/9) | Smart money: 1 HF + 0 insiders (conv 23) | Piotroski fuerte (8.0/9)",2026-06-09
WM,WATCH,0,Caro vs peers en Industrials (FCF rank 23/27) | Piotroski fuerte (8.0/9),2026-06-09
WMT,WATCH,0,Caro vs peers en Consumer Defensive (FCF rank 8/8) | Piotroski fuerte (7.0/9),2026-06-09
WST,CAUTION,-6,Thesis drift MEDIUM: Score cayó 16pts en 44d (39→23) | Caro vs peers en Healthcare (FCF rank 8/9) | Piotroski fuerte (7.0/9),2026-06-09
WTKWY,EXIT,-13,Thesis drift MEDIUM: Score cayó 37pts en 44d (66→29) | Señal salida HIGH: Score cayó 42pts (71 → 29) | Piotroski fuerte (7.0/9) | Mejor FCF en Industrials (6.1% vs media sector 5.8%),2026-06-09
