ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,pct_from_52w_low,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
2020.HK,ANTA Sports Products Limited,76.1,HKD,85.0,A,85.0,ROE 24.8% | Potencial +38% analistas | FCF yield 9.6% | Dividendo 3.4% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,104.73,37.6,30,9.6,4.7,3.41,,24.8,11.5,13.6,18.8,12.9,-23.3,13.8,,,,,2026-09-04,0,
9999.HK,"NetEase, Inc.",189.1,HKD,83.0,A,83.0,ROE 20.4% | Potencial +33% analistas | FCF yield 6.3% | Margen 28% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,251.47,33.0,21,6.3,4.12,,,20.4,11.4,16.1,27.9,7.9,-23.8,12.0,,NTES,,,2026-09-04,0,
005930.KS,"Samsung Electronics Co., Ltd.",255500.0,KRW,83.0,A,83.0,ROE 30.8% | P/E 3.7x (vs 11x mercado) | Potencial +85% analistas | Crecimiento ingresos +130% | Margen 31%,2,0,Technology,Korea,🇰🇷,21.2,472719.0,85.0,37,4.1,10.63,,,30.8,3.7,,30.8,130.0,-31.8,267.6,,SSNLF,,,2026-09-04,0,
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",57.15,HKD,73.0,A,73.0,P/E 5.3x (vs 11x mercado) | Potencial +43% analistas | Dividendo 5.5% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,81.69,42.9,15,,5.37,5.54,,13.1,5.3,5.9,16.2,8.6,-23.5,14.3,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,PNGAY,,,2026-09-04,0,
0700.HK,Tencent Holdings Limited,442.8,HKD,72.0,A,72.0,ROE 19.9% | Potencial +50% analistas | Margen 30% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,665.95,50.4,42,3.5,6.3,,,19.9,12.3,14.9,29.9,11.0,-35.2,7.7,,TCEHY,,,2026-09-04,0,
8035.T,Tokyo Electron Limited,53320.0,JPY,72.0,A,72.0,ROE 30.9% | Potencial +39% analistas | Crecimiento ingresos +33% | Margen 24% | Dividendo 1.4% | Mercado Japan CAPE 29 (26% descuento histórico),3,0,Technology,Japan,🇯🇵,29.4,74209.09,39.2,22,1.2,4.9,1.4,,30.9,41.6,42.6,23.6,33.3,-34.4,166.1,,,,,2026-09-04,0,
ITUB4.SA,Itaú Unibanco Holding S.A.,41.92,BRL,70.0,A,70.0,ROE 21.5% | P/E 8.2x | Potencial +15% | Crecimiento ingresos +18% | Margen 33% | Dividendo 2.2% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,48.15,14.9,13,,1.86,2.16,,21.5,8.2,10.0,32.6,17.5,-15.6,,FCF no comparable (sector financiero),ITUB,,,2026-09-04,0,
0388.HK,Hong Kong Exchanges and Clearing Limited,408.8,HKD,70.0,A,70.0,ROE 33.6% | Potencial +26% | Crecimiento ingresos +19% | Margen 63% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,513.12,25.5,17,,3.19,3.68,,33.6,25.3,26.2,62.9,18.9,-11.2,13.6,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-09-04,0,
TOTS3.SA,TOTVS S.A.,34.82,BRL,69.0,A,69.0,ROE 17.0% | Potencial +39% analistas | Crecimiento ingresos +36% | Margen 22% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Technology,Brazil,🇧🇷,9.0,48.23,38.5,13,3.5,4.81,,,17.0,16.4,22.9,21.6,36.1,-28.1,,,,,,2026-09-04,0,
RENT3.SA,Localiza Rent a Car S.A.,36.75,BRL,69.0,A,69.0,P/E 8.0x | Potencial +48% analistas | FCF yield 24.3% | Crecimiento ingresos +24% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,54.41,48.0,15,24.3,6.01,,,13.0,8.0,11.7,7.4,24.5,-31.1,,,,,,2026-09-04,0,
4063.T,"Shin-Etsu Chemical Co., Ltd.",5786.0,JPY,67.0,A,67.0,Potencial +34% analistas | Dividendo 2.0% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Basic Materials,Japan,🇯🇵,29.4,7774.71,34.4,17,2.3,4.3,1.98,,11.2,17.5,22.9,18.4,5.4,-27.0,32.5,,,,,2026-09-04,0,
1299.HK,AIA Group Limited,77.5,HKD,65.0,A,65.0,ROE 19.6% | Potencial +32% analistas | Margen 31% | Dividendo 2.6% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,102.49,32.2,17,,4.03,2.56,,19.6,11.4,13.0,30.9,-2.5,-15.9,12.4,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-09-04,0,
9983.T,"Fast Retailing Co., Ltd.",69100.0,JPY,61.0,B,61.0,ROE 22.5% | Potencial +25% | Crecimiento ingresos +22% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Consumer Cyclical,Japan,🇯🇵,29.4,86600.0,25.3,17,1.7,3.17,0.84,,22.5,50.5,44.4,13.5,22.2,-22.1,55.7,,,,,2026-09-04,0,
4568.T,"Daiichi Sankyo Company, Limited",2794.0,JPY,58.0,B,58.0,Potencial +46% analistas | FCF negativo | Crecimiento ingresos +21% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Healthcare,Japan,🇯🇵,29.4,4090.59,46.4,17,-3.8,5.8,,,14.8,19.5,20.1,10.9,21.1,-33.1,16.9,,DSNKY,,,2026-09-04,0,
105560.KS,KB Financial Group Inc.,172000.0,KRW,58.0,B,58.0,P/E 8.6x | Potencial +24% | Crecimiento ingresos +18% | Margen 37% | Dividendo 2.6%,1,0,Financial Services,Korea,🇰🇷,21.2,213395.0,24.1,20,,3.01,2.6,,10.2,8.6,,36.5,18.5,-11.6,62.6,FCF no comparable (sector financiero),,,,2026-09-04,0,
2382.HK,Sunny Optical Technology (Group) Company Limited,70.5,HKD,57.0,B,57.0,ROE 17.9% | Potencial +19% | Dividendo 1.7% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Technology,HongKong,🇭🇰,10.7,83.8,18.9,23,,2.36,1.71,,17.9,14.2,14.2,10.6,11.5,-22.9,36.9,,,,,2026-09-04,0,
035420.KS,NAVER Corporation,213500.0,KRW,54.0,B,54.0,Potencial +42% analistas | Crecimiento ingresos +16% | Dividendo 1.3%,0,0,Communication Services,Korea,🇰🇷,21.2,303074.06,42.0,27,2.8,5.24,1.27,,6.4,14.5,,15.6,16.2,-29.8,17.9,,,,,2026-09-04,0,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",17.35,BRL,54.0,B,54.0,ROE 27.7% | Potencial +14% | Margen 49% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,19.71,13.6,14,,1.7,5.13,,27.7,13.7,17.4,49.5,8.8,-14.7,,FCF no comparable (sector financiero),,,,2026-09-04,0,
7203.T,Toyota Motor Corporation,3081.0,JPY,54.0,B,54.0,P/E 9.5x (vs 16x mercado) | Potencial +20% | FCF negativo | Dividendo 3.2% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Consumer Cyclical,Japan,🇯🇵,29.4,3698.56,20.0,18,-9.9,2.51,3.21,,12.4,9.5,8.8,8.6,10.4,-23.0,14.7,,TM,,,2026-09-04,0,
012330.KS,"Hyundai Mobis Co.,Ltd",422000.0,KRW,52.0,B,52.0,P/E 8.0x | Potencial +64% analistas | Dividendo 1.5%,0,0,Consumer Cyclical,Korea,🇰🇷,21.2,692166.7,64.0,30,3.3,8.0,1.53,,7.4,8.0,,5.8,2.4,-48.7,49.1,,,,,2026-09-04,0,
6098.T,"Recruit Holdings Co., Ltd.",16235.0,JPY,50.0,B,50.0,ROE 36.2% | Crecimiento ingresos +19% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,17193.75,5.9,16,2.2,0.74,,,36.2,53.6,46.8,15.0,18.9,-10.9,168.8,,RCRUY,,,2026-09-04,0,
ABEV3.SA,Ambev S.A.,15.76,BRL,49.0,C,49.0,ROE 18.4% | FCF yield 8.2% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Consumer Defensive,Brazil,🇧🇷,9.0,16.34,3.7,17,8.2,0.46,4.69,,18.4,14.2,15.3,18.4,0.3,-7.5,,,ABEV,,,2026-09-04,0,
9988.HK,Alibaba Group Holding Limited,110.1,HKD,48.0,C,48.0,Potencial +61% analistas | FCF negativo | Mercado HongKong CAPE 11 (33% descuento histórico),2,1,Consumer Cyclical,HongKong,🇭🇰,10.7,176.85,60.6,23,-4.4,7.58,6.58,,6.4,11.7,25.4,7.0,8.6,-40.9,24.2,,BABA,,,2026-09-04,0,
RDOR3.SA,Rede D'Or São Luiz S.A.,37.39,BRL,46.0,C,46.0,ROE 19.8% | Potencial +28% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Healthcare,Brazil,🇧🇷,9.0,47.76,27.7,14,3.7,3.47,,,19.8,13.9,17.0,8.3,5.0,-22.8,,Deuda elevada (D/E >2x),RDORY,,,2026-09-04,0,
9432.T,"NTT, Inc.",172.6,JPY,46.0,C,46.0,P/E 11.9x | FCF yield 80.3% | Dividendo 3.1% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,173.29,0.4,14,80.3,0.05,3.12,,10.7,11.9,13.7,7.1,10.9,-1.9,21.0,,,,,2026-09-04,0,
6758.T,Sony Group Corporation,3885.0,JPY,46.0,C,46.0,Potencial +25% | FCF yield 14.8% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Technology,Japan,🇯🇵,29.4,4847.73,24.8,22,14.8,3.1,0.64,,13.2,21.2,20.8,-1.7,8.2,-18.7,27.7,,SONY,,,2026-09-04,0,
6861.T,Keyence Corporation,77720.0,JPY,45.0,C,45.0,Potencial +25% | Crecimiento ingresos +33% | Margen 39% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Technology,Japan,🇯🇵,29.4,97366.66,25.3,15,,3.16,0.71,,,41.6,42.4,39.2,32.8,-11.6,50.9,,,,,2026-09-04,0,
009150.KS,"Samsung Electro-Mechanics Co., Ltd.",1401000.0,KRW,42.0,C,42.0,Potencial +69% analistas | FCF negativo | Crecimiento ingresos +24%,1,1,Technology,Korea,🇰🇷,21.2,2364074.0,68.7,27,-0.4,8.59,,,10.6,33.2,,8.1,24.2,-42.0,696.9,,,,,2026-09-04,0,
1211.HK,BYD Company Limited,86.15,HKD,42.0,C,42.0,Potencial +46% analistas | FCF negativo | Mercado HongKong CAPE 11 (33% descuento histórico),2,1,Consumer Cyclical,HongKong,🇭🇰,10.7,125.96,46.2,27,-14.3,5.78,,,11.6,13.1,23.0,3.8,-3.2,-25.3,20.7,,BYDDF,,,2026-09-04,0,
