ticker,current_price,recent_high,overall_high,contractions,num_contractions,last_contraction,decreasing_contractions,distance_from_recent_high,distance_from_overall_high,volume_trend_decreasing,near_resistance,overall_uptrend,pattern_strength,ready_to_buy,market_cap,sector,industry,source,avg_volume
AAPL,196.4499969482422,213.94000244140625,225.32451569687797,"[25.002208301918007, 14.3163357426465, 10.862219382411356, 9.931953429759671, 9.572775307950232]",5,9.572775307950232,4,8.175191779739375,12.814636995594286,True,True,True,100.0,True,2934137946112,Technology,Consumer Electronics,yfinance,53097898
ADBE,391.67999267578125,422.95001220703125,422.95001220703125,"[7.374533145183096, 14.430409854220361, 8.829161226387408, 5.0567116033991315]",4,5.0567116033991315,2,7.393313306240912,7.393313306240912,False,True,True,100.0,False,166934020096,Technology,Software - Application,yfinance,3369627
ABNB,135.5399932861328,143.8800048828125,143.8800048828125,"[11.694656255591006, 19.8330522600375, 14.52208041299656, 6.302083456336809, 5.627394687563758, 10.608936247432544]",6,10.608936247432544,3,5.796504944152918,5.796504944152918,True,True,True,100.0,True,83657048064,Consumer Cyclical,Travel Services,yfinance,5503796
AFRM,59.11000061035156,65.48999786376953,65.48999786376953,"[20.703197011594625, 36.61333524263822, 19.846325064638393, 12.285340498254591, 6.068341241942562, 18.32854683221742, 19.668038662947936, 5.192121316385923]",8,5.192121316385923,5,9.741941459044574,9.741941459044574,False,True,True,100.0,False,19068887040,Technology,Software - Infrastructure,yfinance,5908971
ADI,225.02999877929688,236.1199951171875,236.1199951171875,"[26.174963581535554, 17.071452049107066, 5.462742740722799, 9.406746549680253]",4,9.406746549680253,2,4.696762903280007,4.696762903280007,False,True,True,100.0,False,111670689792,Technology,Semiconductors,yfinance,4347146
ABT,135.6199951171875,137.0500030517578,137.0500030517578,"[9.854834889728, 5.240016559925662, 5.198934119089871]",3,5.198934119089871,2,1.0434205784222135,1.0434205784222135,True,True,True,100.0,True,235957092352,Healthcare,Medical Devices,yfinance,5674959
ABBV,191.0800018310547,198.97999572753906,213.52668594784137,"[22.512370207094033, 6.626042500757445, 9.53864515784197, 8.365766211503017]",4,8.365766211503017,2,3.9702452840041986,10.512355407543666,True,True,True,100.0,True,337523703808,Healthcare,Drug Manufacturers - General,yfinance,5168196
ALLY,36.02000045776367,38.04999923706055,38.04999923706055,"[5.65741584404563, 20.83668733045218, 13.684211113372907, 8.97748491758354, 5.5390966376086075, 6.383917598730374, 5.270231666706842, 10.314576721779426]",8,10.314576721779426,4,5.335082312747235,5.335082312747235,False,True,True,100.0,False,11064443904,Financial Services,Credit Services,yfinance,4611496
AMD,116.16000366210938,124.47000122070312,124.47000122070312,"[14.754096849863194, 26.5956410741578, 19.44643060298007, 13.987883703803359, 9.329089632996347, 7.2609822704303, 5.989266153809887]",7,5.989266153809887,5,6.676305517069077,6.676305517069077,True,True,True,100.0,True,188341829632,Technology,Semiconductors,yfinance,36148359
AMZN,212.10000610351562,218.39999389648438,218.39999389648438,"[10.576602544631088, 18.634663778108244, 11.793408741508264, 11.81711954053006, 5.977286849028794, 7.908206350764367]",6,7.908206350764367,3,2.8846098759301118,2.8846098759301118,True,True,True,100.0,True,2251738578944,Consumer Cyclical,Internet Retail,yfinance,36059175
AMAT,170.58999633789062,175.87988439307833,175.87988439307833,"[9.669168408359498, 17.125442134717694, 14.811870439786853, 10.088010626854027, 5.176590812731171, 8.339947400539902, 6.12626875240194, 7.291284616984931]",8,7.291284616984931,4,3.007670873472489,3.007670873472489,False,True,True,100.0,False,136898125824,Technology,Semiconductor Equipment & Materials,yfinance,7182020
AMGN,295.2200012207031,299.489990234375,316.5128646550229,"[15.084153752698862, 9.342608497693465, 9.934931786182135, 5.309867991411815]",4,5.309867991411815,3,1.4257534985827958,6.727329537624803,True,True,True,100.0,True,158741561344,Healthcare,Drug Manufacturers - General,yfinance,2548898
APO,132.11000061035156,146.91778894787882,149.77761203859873,"[13.00645622133431, 28.15519895295486, 17.449407412474034, 8.86816465673446, 8.73537521677654, 13.700034676870951, 5.651849817346644]",7,5.651849817346644,4,10.078962148539091,11.795896054007127,True,False,True,100.0,False,75500077056,Financial Services,Asset Management,yfinance,2782557
BABA,112.87000274658203,134.50999450683594,148.42999267578125,"[30.5221897793082, 8.663795734273977, 5.266130984277568, 5.257066438014181, 10.787298416028502, 11.47072772054555]",6,11.47072772054555,4,16.088017726559446,23.957415403821823,True,False,True,100.0,False,269610303488,Consumer Cyclical,Internet Retail,yfinance,11999121
AVGO,248.6999969482422,265.42999267578125,265.42999267578125,"[18.338505707713317, 20.371324490749, 15.91843646652617, 13.112902897660451, 5.814345778118476]",5,5.814345778118476,3,6.302978634360473,6.302978634360473,False,True,True,100.0,False,1169752981504,Technology,Semiconductors,yfinance,23111049
