ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,upside_triangulated_pct,upside_divergence_pts,upside_divergence,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,why_cheap,why_cheap_resumen,why_cheap_fuentes,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
MCO,0.0,,,,54.8,Moody's Corporation,68.5,Financial Services,Financial Data & Stock Exchanges,100.0,60.0,36.0,65.0,65.0,467.16,80903233536.0,15.0,19.7,False,down,51.9,True,2.0,15.1,False,0.0,1.7,3.6,False,546.88,-14.6,3.0,False,"{'roe_pct': 76.9, 'debt_to_equity': 2.41, 'current_ratio': 1.19, 'operating_margin_pct': 49.5}","{'eps_growth_yoy': 51.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 34.3}",561.9,610.0,505.0,21.0,buy,20.3,631.57,35.2,473.1,1.3,3.19,14.89,0.86,25.0,0.81,False,,14.5,56.7,35.0,2026-10-21,False,False,8.0,STRONG,3.91,106.3,0.44,,,,,,18.0,0.0,16.4,20.6,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 44% up volume)",HIGH_FLOAT,158.5,27.0,37.0,15.0,False,down,19.7,0.0,True,2.0,False,0.0,5.0,12.0,27.0,59.3,Medio,32.7,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,1/3,83.14000000000001,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.25,0.0,0.0,0.0,20.3,2.1,,2.54,2.0,10.0,56.0,1,Berkshire Hathaway (Buffett),0,UNRELIABLE/INSUFFICIENT (0),CONFIRM,11.0,44,0.5481,MEDIA,15.85,⭐⭐⭐ EXCELLENT,🟢 Elite,,,,,,,,SIN_DATOS,,,False,1,0.949,False,-14.01,16.9,-7.11,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
BR,0.0,,,,48.2,"Broadridge Financial Solutions, Inc.",62.5,Technology,Information Technology Services,80.0,50.0,42.3,80.0,55.0,170.25,19412211712.0,15.0,23.2,False,up,6.4,True,1.0,7.5,False,0.0,2.9,2.2,False,250.26,-32.0,1.0,False,"{'roe_pct': 40.9, 'debt_to_equity': 1.24, 'current_ratio': 1.24, 'operating_margin_pct': 24.6}","{'eps_growth_yoy': 6.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.0}",213.38,250.0,176.0,8.0,none,25.3,193.4,13.6,93.6,-45.0,6.15,10.48,2.5,40.6,1.69,True,-3.11,13.9,4.2,48.0,2026-11-03,False,False,8.0,STRONG,6.91,211.6,1.75,BULLISH,0.0,80.0,1.0,0.0,17.200000000000003,0.0,14.5,18.8,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",HIGH_FLOAT,113.5,20.0,33.2,15.0,False,up,23.2,2.0,True,1.0,False,0.0,2.0,17.0,27.0,40.7,Bajo 50%,26.1,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,82.41,5.0,0.0,6.0,3.0,3.0,1.0,0.0,0.06,0.0,0.0,0.0,13.6,41.0,ALTA,3.16,0.0,10.0,3.0,0,,0,UNRELIABLE/INSUFFICIENT (0),BEST,14.0,42,0.4823,MEDIA,0.0,⭐⭐⭐ EXCELLENT,🟢 Elite,,,,,,,,SIN_DATOS,,,False,2,1.0,False,-30.42,28.0,-16.73,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
INTU,0.0,,,,21.1,Intuit Inc.,56.8,Technology,Software - Application,55.0,60.0,30.3,85.0,65.0,329.27,87992795136.0,15.0,12.7,False,up,-4.7,False,0.0,13.7,False,0.0,3.4,2.0,False,705.08,-53.3,2.0,False,"{'roe_pct': 23.6, 'debt_to_equity': 0.44, 'current_ratio': 1.51, 'operating_margin_pct': 17.6}","{'eps_growth_yoy': -4.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 21.3}",405.6,732.0,290.0,31.0,buy,23.2,349.84,6.2,159.7,-51.5,7.22,23.78,1.63,29.2,0.68,True,-6.15,24.5,-1.0,64.0,2026-11-19,False,False,8.0,STRONG,7.03,92.5,,BULLISH,0.43,100.0,11.0,3.0,5.0,0.0,6.3,17.0,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 54% up volume)",MEGA_FLOAT,260.9,23.0,23.4,15.0,False,up,12.7,2.0,False,0.0,False,0.0,0.0,16.0,27.0,44.4,Bajo 50%,26.9,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,74.775,5.0,0.0,6.0,3.0,3.0,0.0,0.0,-10.13,0.0,4.0,0.0,6.2,45.8,ALTA,2.9,2.0,10.0,14.0,0,,0,UNRELIABLE/INSUFFICIENT (0),CAUTION,8.0,33,0.2108,BAJA,0.0,⭐⭐ STRONG,🟢 Excellent,,,,,,,,SIN_DATOS,,,False,1,0.984,False,-52.78,30.81,-41.28,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
CBOE,61.400000000000006,Excellent,Stage Unknown,27.11734691997296,48.7,"Cboe Global Markets, Inc.",78.3,Financial Services,Financial Data & Stock Exchanges,100.0,90.0,26.7,100.0,55.0,270.44,28242323456.0,15.0,24.8,False,up,50.2,False,0.0,22.9,True,2.0,3.0,2.9,False,371.18,-27.1,2.0,False,"{'roe_pct': 26.3, 'debt_to_equity': 0.28, 'current_ratio': 1.56, 'operating_margin_pct': 34.6}","{'eps_growth_yoy': 50.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 26.7}",315.64,356.0,258.0,14.0,hold,16.7,275.43,1.8,384.9,42.3,2.4,6.49,1.21,22.4,1.29,True,-0.27,36.6,20.1,44.0,2026-10-30,False,False,8.0,STRONG,5.89,70.3,0.35,,,,,,41.7,24.6,14.6,23.5,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",HIGH_FLOAT,104.0,20.0,62.7,15.0,False,up,24.8,2.0,False,0.0,True,2.0,2.0,12.0,27.0,59.3,Medio,32.7,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,66.755,0.0,0.0,0.0,0.0,3.0,5.0,0.16,-0.65,0.0,0.0,0.0,16.7,-5.3,,2.09,2.0,10.0,29.0,0,,0,UNRELIABLE/INSUFFICIENT (0),WATCH,0.0,44,0.487,MEDIA,31.030000000000005,⭐ GOOD,🟢 Excellent,,,,,,,,SIN_DATOS,,,False,1,1.045,False,-26.78,19.39,-20.72,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
FHN,0.0,,,,36.1,First Horizon Corporation,69.3,Financial Services,Banks - Regional,95.0,60.0,47.6,65.0,65.0,24.47,11593326592.0,35.0,34.5,False,down,12.0,True,1.0,6.7,True,1.0,0.0,0.0,False,26.56,-7.9,5.0,False,"{'roe_pct': 11.5, 'operating_margin_pct': 41.3}","{'eps_growth_yoy': 12.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 30.2}",28.2,31.0,25.0,20.0,buy,15.2,36.77,50.3,41.8,70.8,5.13,1.26,2.8,30.8,3.28,True,-8.09,,14.0,28.0,2026-10-14,False,False,5.0,NEUTRAL,,,0.53,,,,,,40.6,0.0,10.8,20.8,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),NEUTRAL,40,"No clear pattern (1.0x ratio, 49% up volume)",MEGA_FLOAT,468.3,5.0,31.6,35.0,False,down,34.5,0.0,True,1.0,True,1.0,5.0,7.0,27.0,77.8,Top 25%,42.6,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,2/3,60.525000000000006,0.0,0.0,6.0,3.0,3.0,3.0,0.34,0.34,0.0,0.0,0.0,50.3,-45.3,,1.9,2.0,0.0,,1,Appaloosa (Tepper),0,UNRELIABLE/INSUFFICIENT (0),,0.0,44,0.3613,BAJA,20.43,⭐ GOOD,🟡 Good,,,,,,,,,,,False,2,0.909,False,-6.78,27.06,0.08,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
AXP,0.0,,,,36.1,American Express Company,62.5,Financial Services,Credit Services,70.0,60.0,36.0,85.0,65.0,324.43,219090763776.0,15.0,18.3,False,down,7.8,False,0.0,10.0,True,1.0,2.0,4.5,False,387.49,-16.3,2.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 1.72, 'current_ratio': 1.55, 'operating_margin_pct': 20.3}","{'eps_growth_yoy': 7.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 16.1}",375.96,450.0,315.0,25.0,buy,15.9,486.59,50.0,179.52,-44.7,7.3,23.7,1.16,21.5,1.1,True,-3.41,,7.7,37.0,2026-10-23,False,False,4.0,NEUTRAL,,,1.46,,,,,,0.0,0.0,10.8,18.8,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 44% up volume)",MEGA_FLOAT,522.2,30.0,29.6,15.0,False,down,18.3,0.0,False,0.0,True,1.0,2.0,11.0,27.0,63.0,Medio,35.2,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,57.80500000000001,0.0,0.0,6.0,0.0,3.0,3.0,0.0,0.02,0.0,0.0,0.0,15.9,13.3,,1.99,2.0,0.0,,1,Berkshire Hathaway (Buffett),0,UNRELIABLE/INSUFFICIENT (0),EXIT,-2.0,44,0.3613,BAJA,0.0,🔵 DECENT,🟡 Good,,,,,,,,SIN_DATOS,,,False,1,0.792,False,-15.59,12.16,-4.83,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
BAC,0.0,,,,48.7,Bank of America Corporation,70.3,Financial Services,Banks - Diversified,95.0,50.0,65.1,65.0,65.0,59.52,416208388096.0,60.0,69.4,False,flat,16.6,True,1.0,7.2,False,0.0,0.0,0.0,False,65.23,-8.8,5.0,False,"{'roe_pct': 11.2, 'operating_margin_pct': 38.3}","{'eps_growth_yoy': 16.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 29.5}",69.0,79.0,62.0,21.0,buy,15.9,76.49,28.5,129.9,118.2,3.03,1.8,2.15,25.9,2.35,True,-6.04,,34.1,28.0,2026-10-14,False,False,5.0,NEUTRAL,,,0.33,,,,,,40.7,0.0,14.6,21.1,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",MEGA_FLOAT,6965.1,3.0,35.7,60.0,False,flat,69.4,0.0,True,1.0,False,0.0,2.0,,27.0,,Sin datos suficientes,69.4,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,3/3,57.55500000000001,0.0,0.0,3.0,3.0,3.0,5.0,0.33,0.33,0.0,0.0,0.0,28.5,-57.4,,1.99,2.0,0.0,,1,Berkshire Hathaway (Buffett),0,UNRELIABLE/INSUFFICIENT (0),,0.0,44,0.487,MEDIA,20.53,🔵 DECENT,🟡 Good,,,,,,,,,,,False,2,1.23,False,-8.29,30.39,13.68,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
NDSN,0.0,,,,44.2,Nordson Corporation,72.8,Industrials,Specialty Industrial Machinery,90.0,60.0,60.3,85.0,60.0,309.25,17225029632.0,60.0,71.5,False,up,21.5,True,1.0,10.3,False,0.0,3.3,3.9,False,339.12,-8.8,8.0,True,"{'roe_pct': 17.8, 'debt_to_equity': 0.56, 'current_ratio': 1.82, 'operating_margin_pct': 27.4}","{'eps_growth_yoy': 21.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 18.6}",349.71,375.0,282.0,7.0,buy,13.1,361.45,16.9,227.47,-26.4,3.56,11.02,1.22,33.2,1.08,True,-1.43,8.4,16.1,84.0,2026-12-09,False,False,7.0,NEUTRAL,3.71,65.0,1.04,,,,,,52.1,0.0,13.3,21.8,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 57% up volume)",MEDIUM_FLOAT,49.6,0.0,35.1,60.0,False,up,71.5,2.0,True,1.0,False,0.0,2.0,9.0,27.0,70.4,Medio,37.6,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,False,3/3,55.03,-3.0,0.0,3.0,0.0,3.0,5.0,0.0,10.37,0.0,0.0,0.0,13.1,17.8,,1.64,2.0,5.0,79.0,0,,0,UNRELIABLE/INSUFFICIENT (0),WATCH,3.0,23,0.442,BAJA,31.28,🔵 DECENT,🟡 Good,HOLD,55.0,Close to ATH (-8.8% from high) - wait for pullback,-8.8,NEUTRAL,BUY,False,,,,True,3,0.921,False,-8.53,42.01,1.62,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
ROP,0.0,,,,35.8,"Roper Technologies, Inc.",66.5,Technology,Software - Application,100.0,50.0,42.3,60.0,65.0,383.94,37972000768.0,15.0,23.7,False,up,208.9,True,2.0,8.5,False,0.0,6.5,7.9,False,521.28,-26.3,2.0,False,"{'roe_pct': 13.1, 'debt_to_equity': 0.61, 'current_ratio': 0.55, 'operating_margin_pct': 27.7}","{'eps_growth_yoy': 208.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 30.2}",445.2,550.0,335.0,15.0,buy,16.0,971.52,153.0,700.2,82.4,5.97,22.91,0.92,14.5,0.61,True,-7.18,8.6,163.1,36.0,2026-10-22,False,False,6.0,NEUTRAL,4.62,1441.1,0.07,,,,,,12.7,0.0,10.7,19.9,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,16,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",HIGH_FLOAT,98.4,20.0,30.7,15.0,False,up,23.7,2.0,True,2.0,False,0.0,5.0,16.0,27.0,44.4,Bajo 50%,26.9,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,41.89,5.0,0.0,6.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,82.4,-101.7,,2.0,2.0,2.0,13.0,0,,-8,RELIABLE/AVOID (-8),,0.0,44,0.3577,BAJA,0.0,⚪ WEAK,🟡 Average,,,,,,,,,,,False,1,0.925,False,-25.82,25.8,-4.16,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
SPGI,0.0,,,,44.5,S&P Global Inc.,64.0,Financial Services,Financial Data & Stock Exchanges,85.0,60.0,36.0,65.0,65.0,412.52,121610895360.0,15.0,13.4,False,down,13.5,False,0.0,10.4,False,0.0,2.4,3.9,False,522.46924,-21.0,1.0,False,"{'roe_pct': 14.3, 'debt_to_equity': 0.43, 'current_ratio': 0.95, 'operating_margin_pct': 44.8}","{'eps_growth_yoy': 13.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 30.5}",520.3,553.0,485.0,20.0,strong_buy,26.1,495.13,20.0,286.92,-30.4,4.48,18.48,0.93,23.5,0.82,True,-4.28,22.7,17.7,43.0,2026-10-29,False,False,7.0,NEUTRAL,4.71,942.7,1.15,BEARISH,999.0,50.0,0.0,1.0,0.0,0.0,13.3,19.2,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 42% up volume)",MEGA_FLOAT,294.1,30.0,32.5,15.0,False,down,13.4,0.0,False,0.0,False,0.0,0.0,12.0,27.0,59.3,Medio,32.7,0.0,0.0,0.0,-5.0,-8.0,0.0,0.0,0.0,False,1/3,49.825,0.0,0.0,3.0,0.0,3.0,5.0,0.0,0.65,0.0,0.0,0.0,20.0,31.3,MEDIA,3.26,0.0,5.0,12.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,44,0.4452,BAJA,0.0,⚪ WEAK,🟡 Average,,,,,,,,,,,False,1,1.084,False,-20.5,15.05,-12.33,downtrend,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
