ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,detected_date,rsi,drawdown_pct,support_level,resistance_level,distance_to_support_pct,volume_ratio,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease
KKR,KKR &,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,83.88,$114.78 - $119.47,135.57,111.27,0.0,2026-03-13,29.5,-38.1,117.13,135.57,-28.4,1.27,,,,,,
VENU,Venu Holding,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,3.44,$8.36 - $8.71,10.89,8.11,0.0,2026-03-13,15.4,-64.5,8.53,10.89,-59.7,1.39,,,,,,
MNRO,"Monro,",Oversold Bounce,⭐⭐⭐ EXCELENTE,100,15.46,$16.7 - $17.38,21.11,16.19,0.0,2026-03-13,1.8,-34.3,17.04,21.11,-9.3,1.69,,,,,,
GPK,GPK,Oversold Bounce,⭐⭐⭐ EXCELENTE,100,9.82,$14.76 - $15.36,16.12,14.31,0.0,2026-03-13,11.0,-38.5,15.06,16.12,-34.8,1.68,,,,,,
PRU,"Prudential Financial,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,92.34,$97.65 - $101.63,116.03,94.66,0.0,2026-03-13,20.6,-21.2,99.64,116.03,-7.3,1.05,,,,,,
APTV,Aptiv PLC,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,70.07,$74.4 - $77.44,86.64,72.12,0.0,2026-03-13,23.0,-21.0,75.92,86.64,-7.7,1.08,,,,,,
URI,"United Rentals,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,733.82,$761.68 - $792.77,931.49,738.37,0.0,2026-03-13,21.3,-23.1,777.23,931.49,-5.6,1.16,,,,,,
ALLY,Ally Financial,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,36.84,$36.56 - $38.05,43.34,35.44,4.64,2026-03-13,27.8,-21.2,37.3,43.34,-1.2,0.91,,,,,,
HUM,HUM,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,163.67,$229.54 - $238.91,278.88,222.52,0.0,2026-03-13,28.6,-42.4,234.23,278.88,-30.1,0.86,,,,,,
CNDT,CNDT,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,1.25,$1.79 - $1.86,2.07,1.73,0.0,2026-03-13,16.0,-39.6,1.82,2.07,-31.5,0.92,,,,,,
BMI,"Badger Meter,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,144.3,$163.98 - $170.68,184.33,158.96,0.0,2026-03-13,23.3,-21.4,167.33,184.33,-13.8,0.37,,,,,,
KFS,Kingsway Financial Services,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,10.96,$12.05 - $12.55,13.9,11.69,0.0,2026-03-13,24.6,-21.2,12.3,13.9,-10.9,0.76,,,,,,
BH,Biglari,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,307.91,$316.17 - $329.07,425.96,306.49,83.08,2026-03-13,26.4,-35.4,322.62,425.96,-4.6,0.68,,,,,,
ACVA,ACV Auctions,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,4.86,$6.28 - $6.53,8.98,6.08,0.0,2026-03-13,27.2,-45.9,6.4,8.98,-24.1,0.43,,,,,,
IP,International Paper,Oversold Bounce,⭐⭐⭐ EXCELENTE,80,35.65,$36.46 - $37.95,46.13,35.35,34.75,2026-03-13,11.7,-26.8,37.21,46.13,-4.2,0.86,,,,,,
CVCO,"Cavco Industries,",Oversold Bounce,⭐⭐⭐ EXCELENTE,80,498.61,$493.92 - $514.08,595.8,478.8,4.91,2026-03-13,17.5,-28.5,504.0,595.8,-1.1,0.72,,,,,,
BA,The Boeing,Oversold Bounce,⭐⭐ MUY BUENA,75,204.76,$206.52 - $214.94,225.32,200.19,4.5,2026-03-13,28.0,-18.8,210.73,225.32,-2.8,1.64,,,,,,
CRM,"Salesforce,",Oversold Bounce,⭐⭐ MUY BUENA,70,199.28,$220.51 - $229.51,264.61,213.76,0.0,2026-03-13,61.2,-25.1,225.01,264.61,-11.4,1.79,,,,,,
FRD,"Friedman Industries,orporated",Oversold Bounce,⭐⭐ MUY BUENA,70,17.02,$18.11 - $18.85,21.46,17.55,0.0,2026-03-13,37.8,-20.7,18.48,21.46,-7.9,1.26,,,,,,
SXC,"SunCoke Energy,",Oversold Bounce,⭐⭐ MUY BUENA,70,6.19,$5.81 - $6.05,8.22,5.64,3.66,2026-03-13,49.4,-25.8,5.93,8.22,4.3,1.23,,,,,,
NAVN,"Navan,",Oversold Bounce,⭐⭐ MUY BUENA,70,8.88,$12.64 - $13.16,18.06,12.25,0.0,2026-03-13,42.0,-50.8,12.9,18.06,-31.2,1.55,,,,,,
OTH,Off The Hook YS,Oversold Bounce,⭐⭐ MUY BUENA,70,2.28,$2.16 - $2.25,3.37,2.09,5.9,2026-03-13,42.3,-30.1,2.21,3.37,3.4,2.28,,,,,,
