ticker,vcp_score,ml_score,momentum_score,trend_score,volume_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,insiders_score,institutional_score,num_whales,top_whales,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
EXEL,0.0,50.0,6.08,,,"Exelixis, Inc.",60.8,Healthcare,Biotechnology,60.0,50.0,50.3,95.0,60.0,41.17,11038177280,35.0,37.2,False,down,,,0,7.8,False,0,14.2,9.3,True,49.62,-17.0,3.0,False,"{'roe_pct': 35.5, 'debt_to_equity': 0.09, 'current_ratio': 3.56, 'operating_margin_pct': 39.4}",{'profit_margin_pct': 33.7},46.83,60.0,35.0,18.0,buy,13.8,103.06,150.3,83.4,102.6,5.72,2.43,,,,True,-8.58,88.9,58.9,60.0,2026-05-12,False,False,6.0,NEUTRAL,9.08,60.4,0.12,,,,,,70.0,0.0,0.0,,8.0,0.0,15.0,18.2,2026-03-13 07:54:34,2026-03-13,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 40% up volume)",MEGA_FLOAT,211.4,38.0,33.2,35.0,False,down,37.2,0.0,,0,False,0,0.0,16,42.0,64.3,Medio,45.1,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,False,1/3,80.32,5.0,0.0,6.0,0.0,3.0,5.0,1.72,0.0,2.0,5,0,,⭐⭐⭐ EXCELLENT,🟢 Elite,,,,,,,
INDV,0.0,50.0,17.33,,,"Indivior Pharmaceuticals, Inc.",68.3,Healthcare,Drug Manufacturers - Specialty & Generic,55.0,90.0,74.0,50.0,70.0,30.86,3859513344,80.0,80.0,False,down,,,0,34.6,True,1,8.1,5.5,True,38.0,-18.8,7.0,True,"{'current_ratio': 0.71, 'operating_margin_pct': 37.2}",{'profit_margin_pct': 16.9},46.86,54.0,39.0,7.0,strong_buy,51.8,75.19,143.6,49.2,59.4,5.75,1.77,,,,True,-0.29,6.3,376.2,48.0,2026-04-30,False,False,4.0,NEUTRAL,7.07,167.1,0.02,,,,,,100.0,0.0,0.0,,55.5,0.0,15.0,20.5,2026-03-13 07:54:34,2026-03-13,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (0.7x ratio, 42% up volume)",HIGH_FLOAT,107.0,5.0,35.5,80.0,False,down,80.0,3.0,,0,True,1,2.0,5,42.0,90.5,Top 10%,64.4,5.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,False,2/3,76.32,5.0,0.0,6.0,0.0,3.0,5.0,6.48,3.0,0.0,7,0,,⭐⭐ STRONG,🟢 Elite,,,,,,,
LIFE,0.0,50.0,0.0,,,Ethos Technologies Inc.,59.0,Financial Services,Insurance - Life,55.0,50.0,44.0,95.0,70.0,12.5,785140032,35.0,42.1,False,down,,,0,,,0,2.0,0.6,False,19.0,-34.2,,,"{'roe_pct': 21.0, 'debt_to_equity': 0.01, 'current_ratio': 2.17, 'operating_margin_pct': 22.2}",{'profit_margin_pct': 18.4},20.25,31.0,14.0,8.0,strong_buy,62.0,70.39,463.1,34.2,173.6,6.5,1.66,,,,False,,100.3,162.5,,,False,False,5.0,NEUTRAL,11.18,46.5,0.05,,,,,,100.0,0.0,0.0,,12.700000000000003,0.0,15.0,17.7,2026-03-13 07:54:34,2026-03-13,CONFIRMED_UPTREND,TRADE,False,0,Insufficient data,UNKNOWN,50,Insufficient data,MICRO_FLOAT,6.8,20.0,32.7,35.0,False,down,42.1,0.0,,0,,0,0.0,,42.0,,Sin datos suficientes,42.1,0.0,0.0,-5.0,0.0,0.0,0.0,5.0,0.0,False,1/3,72.6,0.0,0.0,6.0,0.0,0.0,5.0,7.75,3.0,0.0,6,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
MSFT,0.0,50.0,0.0,,,Microsoft Corporation,60.8,Technology,Software - Infrastructure,60.0,70.0,24.0,90.0,70.0,401.86,2986775150592,15.0,14.0,False,down,,,0,16.0,True,1,1.0,1.6,False,555.45,-27.7,0.0,False,"{'roe_pct': 34.4, 'debt_to_equity': 0.32, 'current_ratio': 1.39, 'operating_margin_pct': 47.1}",{'profit_margin_pct': 39.0},594.62,730.0,392.0,53.0,strong_buy,48.0,306.34,-23.8,479.7,19.4,1.8,7.22,0.91,21.3,0.79,True,-0.75,56.4,59.8,47.0,2026-04-29,False,False,6.0,NEUTRAL,4.18,45.1,0.36,,,,,,70.0,0.0,0.0,,5.0,0.0,15.0,18.2,2026-03-13 07:54:34,2026-03-13,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 40% up volume)",MEGA_FLOAT,7414.9,38.0,33.2,15.0,False,down,14.0,0.0,,0,True,1,2.0,36,42.0,16.7,Bottom 25%,9.6,-3.0,0.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,1/3,72.32,0.0,0.0,0.0,0.0,3.0,5.0,6.0,3.0,2.0,34,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
PACS,0.0,50.0,16.31,,,"PACS Group, Inc.",58.1,Healthcare,Medical Care Facilities,50.0,50.0,80.3,50.0,70.0,33.69,5294889472,80.0,79.2,False,down,,,0,6.3,False,0,8.4,3.7,True,43.08,-21.8,7.0,True,"{'roe_pct': 23.0, 'debt_to_equity': 3.78, 'current_ratio': 1.07, 'operating_margin_pct': 7.0}",{'profit_margin_pct': 3.6},46.4,52.0,42.0,5.0,strong_buy,37.7,65.27,93.7,36.6,8.6,4.57,1.54,,,,False,,11.0,57.2,55.0,2026-05-07,False,False,8.0,STRONG,3.59,7.4,0.25,,,,,,70.0,0.0,0.0,,38.4,0.0,15.0,17.4,2026-03-13 07:54:34,2026-03-13,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 42% up volume)",MEDIUM_FLOAT,45.9,15.0,32.4,80.0,False,down,79.2,3.0,,0,False,0,0.0,7,42.0,85.7,Top 25%,61.0,3.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,False,2/3,72.24,5.0,0.0,3.0,0.0,0.0,5.0,4.71,3.0,10.0,65,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
MWA,0.0,50.0,21.68,,,MUELLER WATER PRODUCTS,51.8,Industrials,Specialty Industrial Machinery,55.0,30.0,53.9,80.0,50.0,27.62,4319362560,35.0,46.4,False,up,,,0,-12.7,False,0,3.9,3.4,False,31.0,-10.9,6.0,False,"{'roe_pct': 21.6, 'debt_to_equity': 0.44, 'current_ratio': 4.02, 'operating_margin_pct': 18.9}",{'profit_margin_pct': 13.8},30.33,35.0,25.0,6.0,none,9.8,31.27,13.2,28.83,4.4,3.49,0.96,0.99,21.3,1.5,True,-0.47,14.9,11.3,52.0,2026-05-04,False,False,8.0,STRONG,6.34,25.4,0.78,,,,,,90.0,0.0,0.0,,45.5,0.0,15.0,15.5,2026-03-13 07:54:34,2026-03-13,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 54% up volume)",HIGH_FLOAT,154.1,0.0,30.5,35.0,False,up,46.4,2.0,,0,False,0,0.0,15,42.0,66.7,Medio,47.8,0.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,False,3/3,71.72,0.0,0.0,3.0,0.0,3.0,3.0,1.23,0.0,10.0,21,0,,⭐⭐ STRONG,🟢 Excellent,,,,,,,
BUKS,0.0,50.0,37.05,,,Butler National Corp.,70.5,Industrials,Aerospace & Defense,60.0,60.0,91.0,95.0,50.0,3.76,242332960,100.0,100.0,True,up,,,0,9.8,True,1,,,False,3.79,-0.8,8.0,True,"{'roe_pct': 28.4, 'debt_to_equity': 0.46, 'current_ratio': 1.89, 'operating_margin_pct': 34.3}",{'profit_margin_pct': 21.4},,,,,none,,7.36,95.7,7.5,99.5,4.6,0.17,,,,True,-2.35,11.4,50.0,,,False,False,7.0,NEUTRAL,7.9,21.8,0.15,,,,,,100.0,0.0,0.0,,68.2,0.0,15.0,21.2,2026-03-13 07:54:34,2026-03-13,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.1x ratio, 50% up volume)",MEDIUM_FLOAT,29.1,0.0,36.2,100.0,True,up,100.0,10.0,,0,True,1,2.0,25,42.0,42.9,Bajo 50%,33.0,0.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,False,3/3,67.32000000000001,0.0,0.0,3.0,0.0,3.0,5.0,,0.0,5.0,17,0,,⭐ GOOD,🟢 Excellent,AVOID,30.0,Near ATH (-0.8% from high) - poor entry point,-0.8,NEUTRAL,NONE,False
SPGI,0.0,50.0,0.0,,,S&P Global Inc.,51.5,Financial Services,Financial Data & Stock Exchanges,60.0,50.0,24.0,65.0,65.0,419.7,127085166592,15.0,19.1,False,down,,,0,3.7,False,0,1.5,1.2,False,579.05,-27.5,0.0,False,"{'roe_pct': 13.1, 'debt_to_equity': 0.38, 'current_ratio': 0.82, 'operating_margin_pct': 38.3}",{'profit_margin_pct': 29.2},537.9,625.0,480.0,21.0,strong_buy,28.2,692.29,64.9,439.5,4.7,3.84,16.32,0.92,26.2,0.81,True,-3.94,22.6,32.0,46.0,2026-04-28,False,False,7.0,NEUTRAL,4.58,942.7,0.59,,,,,,90.0,0.0,0.0,,7.399999999999999,0.0,15.0,15.4,2026-03-13 07:54:34,2026-03-13,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 51% up volume)",MEGA_FLOAT,298.1,23.0,30.4,15.0,False,down,19.1,0.0,,0,False,0,0.0,,42.0,,Sin datos suficientes,19.1,0.0,0.0,0.0,-5.0,0.0,0.0,5.0,0.0,False,2/3,66.6,0.0,0.0,3.0,0.0,3.0,5.0,3.52,3.0,5.0,17,0,,⭐ GOOD,🟢 Excellent,,,,,,,
FTAI,0.0,50.0,11.58,,,FTAI Aviation Ltd.,70.8,Industrials,Rental & Leasing Services,55.0,90.0,75.0,65.0,70.0,237.15,24325253120,60.0,68.1,False,up,,,0,31.9,True,1,4.7,2.1,False,323.51,-26.7,5.0,False,"{'roe_pct': 241.2, 'debt_to_equity': 10.46, 'current_ratio': 5.28, 'operating_margin_pct': 28.5}",{'profit_margin_pct': 20.0},334.2,375.0,266.0,10.0,strong_buy,40.9,,,137.08,-42.2,-3.18,-7.53,0.57,27.2,3.38,True,-0.51,3.4,29.8,48.0,2026-04-30,False,False,6.0,NEUTRAL,3.1,25.2,0.72,,,,,,90.0,0.0,0.0,,48.2,0.0,15.0,21.2,2026-03-13 07:54:34,2026-03-13,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",HIGH_FLOAT,101.1,0.0,36.2,60.0,False,up,68.1,2.0,,0,True,1,2.0,23,42.0,47.6,Bajo 50%,34.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,False,3/3,66.32,0.0,0.0,-5.0,0.0,3.0,5.0,5.11,3.0,2.0,53,0,,⭐ GOOD,🟢 Excellent,,,,,,,
MCY,0.0,50.0,25.57,,,Mercury General Corporation,60.7,Financial Services,Insurance - Property & Casualty,50.0,60.0,68.3,70.0,65.0,87.58,4850936320,80.0,80.0,False,down,,,0,10.2,False,0,6.5,5.0,False,100.06,-12.5,7.0,True,"{'roe_pct': 24.8, 'debt_to_equity': 0.24, 'current_ratio': 0.56, 'operating_margin_pct': 16.7}",{'profit_margin_pct': 9.0},110.0,110.0,110.0,1.0,strong_buy,25.6,1931.42,2105.3,293.1,234.7,52.0,45.54,1.45,13.0,3.68,False,,24.2,50.4,59.0,2026-05-11,False,False,6.0,NEUTRAL,18.28,,0.11,,,,,,70.0,0.0,0.0,,47.2,0.0,15.0,18.2,2026-03-13 07:54:34,2026-03-13,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (0.9x ratio, 47% up volume)",MEDIUM_FLOAT,26.6,5.0,33.2,80.0,False,down,80.0,3.0,,0,False,0,0.0,20,42.0,54.8,Medio,38.2,0.0,1.0,3.0,7.0,0.0,0.0,5.0,0.0,False,2/3,65.28,0.0,0.0,8.0,0.0,0.0,5.0,3.2,3.0,2.0,,0,,⭐ GOOD,🟢 Excellent,,,,,,,
