ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime,oe_ai_adjustment,oe_ai_verdict
EXPN.L,EXPERIAN PLC ORD USD0.10,51.8,⭐ AVERAGE,🟡 Average,55.0,50.0,30.0,65.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 17.1},{},"{'rs_3m': np.float64(-0.5), 'rs_6m': np.float64(-27.9)}","{'roe_pct': 26.8, 'debt_to_equity': 1.05, 'current_ratio': 0.68, 'operating_margin_pct': 24.9}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 50.7}",2719.0,24325836800,Industrials,Consulting Services,,,False,4101.0,-33.7,1,False,4096.98,4696.6,2873.17,18.0,strong_buy,50.7,6242.0,129.6,3330.0,22.5,5.41,1.47,1.78,42.5,0.47,1.36,,,,36.0,1,2026-05-20,True,False,5,NEUTRAL,5.8,493.1,0.5,30.2,,,,2026-05-19T09:03:29.941005,FTSE100,56.7,6.0,5.0,0.0,5.0,6.34,3.0,15.0,CONFIRMED_UPTREND,-8,RELIABLE/AVOID (-8)
WKL.AS,WOLTERS KLUWER,51.0,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,50.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 21.4},{},"{'rs_3m': np.float64(-3.3), 'rs_6m': np.float64(-39.8)}","{'roe_pct': 111.7, 'debt_to_equity': 6.23, 'current_ratio': 0.65, 'operating_margin_pct': 24.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 70.0}",65.04,14567051264,Industrials,Specialty Business Services,,,False,163.65,-60.3,0,False,110.54,160.0,73.0,14.0,buy,70.0,186.6,186.9,169.2,160.1,6.77,4.4,3.95,43.1,2.52,1.72,,,,36.9,78,2026-08-05,False,False,7,NEUTRAL,9.56,668.9,0.28,50.1,,,,2026-05-19T09:02:27.637140,AEX25,57.4,6.0,8.0,0.0,5.0,8.75,3.0,0.0,CONFIRMED_UPTREND,0,
NOVO-B.CO,Novo Nordisk B A/S,78.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,90.0,50.0,70.0,50.0,,,,,83.2,True,2,26.0,True,2,"{'eps_growth_yoy': np.float64(83.2), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 37.2}","{'revenue_growth_yoy': np.float64(26.0), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-12.2), 'rs_6m': np.float64(-11.0)}","{'roe_pct': 71.4, 'debt_to_equity': 0.72, 'current_ratio': 0.79, 'operating_margin_pct': 61.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 8.6}",283.7,1257306193920,Healthcare,Drug Manufacturers - General,,,False,533.4,-46.8,1,False,307.99,444.0,175.0,23.0,hold,8.6,,,822.0,189.7,-0.96,-3.59,5.56,42.7,15.9,1.78,True,-0.19,39.5,26.8,78,2026-08-05,False,False,5,NEUTRAL,9.66,64.7,0.2,44.2,,,,2026-05-19T09:02:48.031629,OMXCPH,57.2,-5.0,8.0,3.0,5.0,1.08,0.0,0.0,CONFIRMED_UPTREND,0,
SAP.DE,SAP SE                        I,65.2,⭐⭐ GOOD,🟡 Good,90.0,50.0,30.0,85.0,70.0,,,,,13.8,True,1,5.8,False,0,"{'eps_growth_yoy': np.float64(13.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 19.6}","{'revenue_growth_yoy': np.float64(5.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-14.3), 'rs_6m': np.float64(-37.9)}","{'roe_pct': 16.4, 'debt_to_equity': 0.17, 'current_ratio': 1.07, 'operating_margin_pct': 30.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 38.2}",156.1,182255976448,Technology,Software - Application,,,False,273.55,-42.9,1,False,215.71,290.0,170.0,26.0,strong_buy,38.2,133.62,-14.4,62.4,-60.0,4.47,6.98,1.69,37.7,2.5,1.45,True,-2.24,21.9,9.3,65,2026-07-23,False,False,8,STRONG,6.32,146.7,1.96,47.3,,,,2026-05-19T09:03:39.515734,DAX40,55.1,3.0,5.0,3.0,3.0,4.78,3.0,0.0,CONFIRMED_UPTREND,0,
RMV.L,RIGHTMOVE PLC ORD 0.1P,57.5,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,100.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 51.1},{},"{'rs_3m': np.float64(-11.2), 'rs_6m': np.float64(-33.9)}","{'roe_pct': 266.1, 'debt_to_equity': 0.09, 'current_ratio': 1.89, 'operating_margin_pct': 66.8}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 34.9}",421.6,3152996352,Communication Services,Internet Content & Information,,,False,827.0,-49.0,0,False,568.87,765.0,420.0,15.0,hold,34.9,665.0,57.7,470.0,11.5,6.09,0.26,2.62,36.2,0.11,1.46,,,,6.7,66,2026-07-24,False,False,6,NEUTRAL,9.51,637.5,0.74,21.9,,,,2026-05-19T09:04:11.795382,FTSE100,55.0,6.0,5.0,0.0,3.0,4.36,3.0,0.0,CONFIRMED_UPTREND,0,
G24.DE,Scout24 SE                    N,68.7,⭐⭐ GOOD,🟡 Good,95.0,60.0,34.5,75.0,70.0,,,,,37.0,False,0,14.0,False,0,"{'eps_growth_yoy': np.float64(37.0), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 37.4}","{'revenue_growth_yoy': np.float64(14.0), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(1.1), 'rs_6m': np.float64(-26.9)}","{'roe_pct': 17.7, 'debt_to_equity': 0.25, 'current_ratio': 0.22, 'operating_margin_pct': 55.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 38.1}",74.65,5278910464,Communication Services,Internet Content & Information,,,False,122.8,-39.2,1,False,103.12,135.0,81.0,16.0,strong_buy,38.1,,,108.3,45.1,,,2.06,36.6,1.5,1.52,,,44.1,40.6,79,2026-08-06,False,False,6,NEUTRAL,5.2,635.9,0.39,43.4,,,,2026-05-19T09:03:36.794419,DAX40,44.5,0.0,5.0,0.0,5.0,4.76,3.0,0.0,CONFIRMED_UPTREND,-8,RELIABLE/AVOID (-8)
AMS.MC,"AMADEUS IT GROUP, S.A.",47.9,⚠️ WEAK,🔴 Weak,55.0,30.0,34.5,70.0,65.0,,,,,-30.3,False,0,-0.6,False,0,"{'eps_growth_yoy': np.float64(-30.3), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': np.float64(-0.6), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(5.8), 'rs_6m': np.float64(-29.2)}","{'roe_pct': 26.0, 'debt_to_equity': 0.7, 'current_ratio': 0.77, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 27.4}",53.04,22879668224,Technology,Information Technology Services,,,False,75.38,-29.6,1,False,67.55,80.0,52.0,22.0,buy,27.4,40.35,-23.9,30.5,-42.5,4.73,2.51,2.96,46.6,1.54,1.73,True,-3.7,22.3,5.1,73,2026-07-31,False,False,7,NEUTRAL,7.3,473.7,2.7,30.9,,,,2026-05-19T09:03:12.948950,IBEX35,51.2,3.0,5.0,3.0,3.0,3.42,3.0,0.0,CONFIRMED_UPTREND,0,
PGHN.SW,PARTNERS GROUP N,59.8,⭐ AVERAGE,🟡 Average,60.0,50.0,50.0,85.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 49.3},{},"{'rs_3m': np.float64(-10.3), 'rs_6m': np.float64(-17.4)}","{'roe_pct': 54.8, 'debt_to_equity': 1.14, 'current_ratio': 1.67, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 26.6}",913.0,23540002816,Financial Services,Asset Management,,,False,1182.5,-22.8,2,False,1155.83,1300.0,930.0,12.0,buy,26.6,1070.36,17.2,532.62,-41.7,5.71,52.13,5.16,86.7,46.0,3.34,,,,7.7,105,2026-09-01,False,False,7,NEUTRAL,6.27,75.9,1.42,26.1,,,,2026-05-19T09:02:55.506497,SMI20,50.9,6.0,0.0,0.0,3.0,3.32,3.0,0.0,CONFIRMED_UPTREND,0,
DB1.DE,DEUTSCHE BOERSE AG            N,73.9,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,50.0,74.5,80.0,60.0,,,,,11.4,True,1,8.5,False,0,"{'eps_growth_yoy': np.float64(11.4), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 27.3}","{'revenue_growth_yoy': np.float64(8.5), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(14.4), 'rs_6m': np.float64(15.8)}","{'roe_pct': 19.2, 'debt_to_equity': 0.65, 'current_ratio': 1.01, 'operating_margin_pct': 43.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.8}",259.9,47329333248,Financial Services,Financial Data & Stock Exchanges,,,False,291.8,-10.9,4,False,287.92,320.0,240.0,13.0,buy,10.8,,,137.01,-47.3,,,1.64,35.7,4.2,1.88,,,,12.2,64,2026-07-22,False,False,5,NEUTRAL,5.95,66.8,1.61,25.7,,,,2026-05-19T09:02:37.965614,DAX40,49.6,0.0,5.0,0.0,3.0,1.35,0.0,0.0,CONFIRMED_UPTREND,0,
RACE.MI,FERRARI,66.0,⭐⭐ GOOD,🟡 Good,75.0,70.0,30.0,90.0,65.0,,,,,-2.7,True,2,3.4,True,2,"{'eps_growth_yoy': np.float64(-2.7), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': np.float64(3.4), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(-17.8), 'rs_6m': np.float64(-31.2)}","{'roe_pct': 42.0, 'debt_to_equity': 0.72, 'current_ratio': 2.57, 'operating_margin_pct': 29.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 29.8}",283.6,49995509760,Consumer Cyclical,Auto Manufacturers,,,False,447.5,-36.6,0,False,368.19,430.0,290.0,18.0,buy,29.8,82.29,-71.0,90.0,-68.3,1.97,5.59,1.31,33.2,3.62,0.64,True,-1.18,55.0,1.3,71,2026-07-30,False,False,9,STRONG,4.21,38.6,20.75,26.5,,,,2026-05-19T09:03:42.002108,FTSEMIB,48.4,0.0,0.0,3.0,1.0,3.72,3.0,0.0,CONFIRMED_UPTREND,0,
