ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,eu_insider_bonus,market_regime,upside_triangulated_pct,upside_divergence_pts,upside_divergence,oe_ai_adjustment,oe_ai_verdict,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
SAP.DE,SAP SE,69.1,⭐⭐ GOOD,🟡 Good,EUR,EUR,False,True,True,1.0,,75.0,60.0,60.5,90.0,60.0,,,,,8.8,False,0,8.8,True,1,"{'eps_growth_yoy': 8.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}","{'revenue_growth_yoy': 8.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 13.7, 'rs_6m': -2.9}","{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 11.9}",185.62,214243393536,Technology,Software - Application,,,False,244.3,-24.0,4,False,207.77,290.0,160.0,26,strong_buy,11.9,334.01,79.9,200.4,8.0,4.24,7.88,1.31,37.4,2.5,1.46,True,-1.36,20.7,30.6,50,2026-10-21,False,False,8,STRONG,4.91,146.7,0.73,32.9,,,,2026-09-01T09:51:45.427978,DAX40,70.6,3.0,0.0,3.0,5.0,1.49,15.0,CONFIRMED_UPTREND,11.9,-32.1,,0,,False,2,0.98,False,-22.68,45.68,4.73,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
SGE.L,The Sage Group plc,58.3,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (632,249,984) se aparta del derivado de flujo operativo menos capex (471,000",55.0,50.0,79.0,50.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': 20.9, 'rs_6m': 13.9}","{'roe_pct': 75.6, 'debt_to_equity': 9.19, 'current_ratio': 0.62, 'operating_margin_pct': 22.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 3.8}",1079.0,9696238592,Technology,Software - Application,,,False,1181.0,-8.6,5,False,1119.94,1349.0,850.0,18,buy,3.8,,,,,6.52,0.7,2.06,55.0,22.0,2.09,,,,14.3,79,2026-11-19,False,False,6,NEUTRAL,4.64,374.3,1.31,30.2,,,,2026-09-01T09:52:22.278055,FTSE100,61.3,6.0,5.0,0.0,3.0,0.48,15.0,CONFIRMED_UPTREND,,,,0,,False,2,1.104,False,-9.08,39.13,20.95,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
AMS.MC,"Amadeus IT Group, S.A.",55.4,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,"FCF declarado (2,912,250,112) se aparta del derivado de flujo operativo menos capex (1,380,799,936)",50.0,50.0,54.5,70.0,65.0,,,,,-4.7,False,0,1.0,False,0,"{'eps_growth_yoy': -4.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.9}","{'revenue_growth_yoy': 1.0, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 5.4, 'rs_6m': -6.8}","{'roe_pct': 26.5, 'debt_to_equity': 0.79, 'current_ratio': 0.74, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 21.6}",56.14,23578052608,Technology,Information Technology Services,,,False,69.76,-19.5,4,False,68.28,80.9,51.0,21,buy,21.6,102.03,81.7,30.3,-46.0,12.35,6.93,2.65,50.8,1.54,1.73,True,-6.13,20.4,-2.6,66,2026-11-06,False,False,7,NEUTRAL,6.64,473.7,,24.6,,,,2026-09-01T09:51:18.284497,IBEX35,58.2,8.0,5.0,3.0,0.0,2.7,0.0,CONFIRMED_UPTREND,21.6,3.8,,0,,False,2,0.792,False,-17.47,23.54,0.48,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
RMV.L,Rightmove plc,63.8,⭐⭐ GOOD,🟡 Good,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",60.0,50.0,66.5,100.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 49.7},{},"{'rs_3m': 10.9, 'rs_6m': 0.2}","{'roe_pct': 282.4, 'debt_to_equity': 0.07, 'current_ratio': 1.53, 'operating_margin_pct': 66.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 10.8}",492.9,3614944512,Communication Services,Internet Content & Information,,,False,748.2,-34.1,3,False,546.26,745.0,420.0,19,hold,10.8,,,,,5.35,0.26,2.11,37.2,11.0,1.54,,,,1.7,178,2027-02-26,False,False,6,NEUTRAL,7.6,637.5,3.34,29.3,,,,2026-09-01T09:52:19.532716,FTSE100,57.5,6.0,5.0,0.0,1.0,1.35,0.0,CONFIRMED_UPTREND,,,,0,,False,2,1.045,False,-34.36,25.31,7.24,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
WKL.AS,Wolters Kluwer N.V.,56.6,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,60.0,50.0,60.5,50.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 21.9},{},"{'rs_3m': 10.5, 'rs_6m': -7.0}","{'roe_pct': 146.1, 'debt_to_equity': 5.9, 'current_ratio': 0.69, 'operating_margin_pct': 26.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 27.4}",69.9,15567074304,Industrials,Specialty Business Services,,,False,117.35,-40.4,2,False,89.03,120.0,54.0,15,buy,27.4,105.59,51.1,58.6,-16.2,8.02,5.6,3.7,43.0,2.6,1.85,,,,8.9,176,2027-02-24,False,False,7,NEUTRAL,8.89,668.9,1.26,24.6,,,,2026-09-01T09:50:32.750450,AEX25,56.6,8.0,8.0,0.0,3.0,3.42,0.0,CONFIRMED_UPTREND,27.4,9.9,,0,,False,2,0.819,False,-38.12,29.9,0.39,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
AUTO.L,Autotrader Group plc,59.9,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",60.0,50.0,54.5,90.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 47.1},{},"{'rs_3m': 9.6, 'rs_6m': -6.0}","{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 10.3}",509.4,3959367936,Communication Services,Internet Content & Information,,,False,828.8,-38.5,0,False,562.06,800.0,410.0,18,hold,10.3,,,,,6.16,0.31,2.2,32.0,12.0,1.35,,,,2.0,65,2026-11-05,False,False,5,NEUTRAL,8.8,332.4,2.28,29.8,,,,2026-09-01T09:51:38.210638,FTSE100,56.0,6.0,5.0,0.0,1.0,1.29,0.0,CONFIRMED_UPTREND,,,,0,MIXED/INSUFFICIENT (0),False,1,1.084,False,-38.84,21.09,1.08,downtrend,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
LR.PA,Legrand SA,71.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,80.0,80.0,50.0,75.0,65.0,,,,,8.5,True,1,14.7,True,2,"{'eps_growth_yoy': 8.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.0}","{'revenue_growth_yoy': 14.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -7.0, 'rs_6m': -12.9}","{'roe_pct': 18.2, 'debt_to_equity': 1.03, 'current_ratio': 1.58, 'operating_margin_pct': 19.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 20.2}",135.65,35557314560,Industrials,Electrical Equipment & Parts,,,False,166.95,-18.7,2,False,163.11,200.0,114.0,19,buy,20.2,72.91,-46.3,49.7,-63.4,2.9,3.93,1.7,47.9,2.38,1.91,True,-0.31,11.3,5.9,65,2026-11-05,False,False,6,NEUTRAL,4.47,45.7,2.38,25.2,,,,2026-09-01T09:52:01.624582,CAC40,53.7,0.0,5.0,3.0,3.0,2.52,0.0,CONFIRMED_UPTREND,-46.3,75.0,ALTA,0,,False,1,0.815,False,-17.28,13.25,-5.16,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
EXPN.L,Experian plc,57.4,⭐ AVERAGE,🟡 Average,GBp,USD,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (672,812,332) se aparta del derivado de flujo operativo menos capex (927,143",55.0,50.0,60.5,65.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 17.8},{},"{'rs_3m': 16.8, 'rs_6m': -4.2}","{'roe_pct': 28.3, 'debt_to_equity': 1.0, 'current_ratio': 0.85, 'operating_margin_pct': 25.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 24.5}",2976.0,26304043008,Industrials,Consulting Services,,,False,3987.0,-25.4,3,False,3704.42,4666.19,2465.56,18,strong_buy,24.5,,,,,2.56,0.76,1.7,39.8,52.0,1.4,,,,23.1,78,2026-11-18,False,False,9,STRONG,6.67,646.3,0.76,27.0,,,,2026-09-01T09:51:35.904768,FTSE100,53.0,0.0,5.0,0.0,5.0,3.06,0.0,CONFIRMED_UPTREND,,,,0,UNRELIABLE/INSUFFICIENT (0),False,2,0.848,False,-25.52,34.79,3.14,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
ASSA-B.ST,ASSA ABLOY AB (publ),69.4,⭐⭐ GOOD,🟡 Good,SEK,SEK,False,True,True,,,90.0,60.0,54.5,70.0,60.0,,,,,15.9,True,1,3.3,True,1,"{'eps_growth_yoy': 15.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.8}","{'revenue_growth_yoy': 3.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 7.4, 'rs_6m': -18.5}","{'roe_pct': 15.6, 'debt_to_equity': 0.64, 'current_ratio': 1.01, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 14.9}",354.9,0,Industrials,Security & Protection Services,,,False,396.9,-10.6,4,False,407.9,500.0,340.0,21,buy,14.9,,,234.53,-33.9,,,1.79,41.7,6.4,1.69,False,,,15.9,56,2026-10-27,False,False,8,STRONG,4.98,118.2,1.23,12.3,,,,2026-09-01T09:51:27.775958,OMXSTO,51.8,0.0,5.0,0.0,5.0,1.86,0.0,CONFIRMED_UPTREND,-9.5,48.8,ALTA,0,,False,1,0.715,False,-9.73,14.11,-10.89,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
ATCO-B.ST,Atlas Copco AB (publ),68.9,⭐⭐ GOOD,🟡 Good,SEK,SEK,False,True,False,0.3199,"acciones × precio no cuadra con la capitalización (ratio 0.3199): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",80.0,60.0,54.5,90.0,55.0,,,,,8.2,True,1,9.1,True,1,"{'eps_growth_yoy': 8.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.7}","{'revenue_growth_yoy': 9.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 7.3, 'rs_6m': -1.6}","{'roe_pct': 25.7, 'debt_to_equity': 0.34, 'current_ratio': 1.27, 'operating_margin_pct': 20.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 28.4}",175.25,854978265088,Industrials,Specialty Industrial Machinery,,,False,185.2,-5.4,7,True,225.0,225.0,225.0,1,none,28.4,,,,,3.04,16.64,1.66,54.9,3.0,1.62,False,,126.5,4.0,51,2026-10-22,False,False,6,NEUTRAL,3.87,53.6,2.98,18.5,,,,2026-09-01T09:51:33.326425,OMXSTO,51.6,3.0,5.0,0.0,1.0,3.55,0.0,CONFIRMED_UPTREND,,,,0,,True,3,0.815,False,-5.53,34.97,5.79,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
