ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,pct_from_52w_low,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
9999.HK,"NetEase, Inc.",188.8,HKD,88.0,A,88.0,ROE 20.4% | Potencial +33% analistas | FCF yield 6.3% | Margen 28% | Dividendo 1.6% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,250.71,32.8,21,6.3,4.1,1.56,,20.4,11.4,16.1,27.9,7.9,-23.9,11.8,,NTES,,,2026-09-01,0,
2020.HK,ANTA Sports Products Limited,78.35,HKD,85.0,A,85.0,ROE 24.8% | Potencial +32% analistas | FCF yield 9.3% | Dividendo 3.3% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,103.65,32.3,30,9.3,4.04,3.33,,24.8,11.9,14.0,18.8,12.9,-21.0,17.2,,,,,2026-09-01,0,
005930.KS,"Samsung Electronics Co., Ltd.",261000.0,KRW,83.0,A,83.0,ROE 30.8% | P/E 3.8x (vs 11x mercado) | Potencial +80% analistas | Crecimiento ingresos +130% | Margen 31%,2,0,Technology,Korea,🇰🇷,21.2,470155.62,80.1,36,4.1,10.02,,,30.8,3.8,,30.8,130.0,-30.3,285.0,,SSNLF,,,2026-09-01,0,
ITUB4.SA,Itaú Unibanco Holding S.A.,39.52,BRL,78.0,A,78.0,ROE 21.5% | P/E 7.8x | Potencial +22% | Crecimiento ingresos +18% | Margen 33% | Dividendo 2.3% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,48.15,21.8,13,,2.73,2.28,,21.5,7.8,9.3,32.6,17.5,-20.4,,FCF no comparable (sector financiero),ITUB,,,2026-09-01,0,
0700.HK,Tencent Holdings Limited,441.4,HKD,77.0,A,77.0,ROE 19.9% | Potencial +51% analistas | Margen 30% | Dividendo 1.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,664.73,50.6,42,3.5,6.32,1.17,,19.9,12.2,14.9,29.9,11.0,-35.4,7.4,,TCEHY,,,2026-09-01,0,
TOTS3.SA,TOTVS S.A.,35.45,BRL,74.0,A,74.0,ROE 17.0% | Potencial +36% analistas | Crecimiento ingresos +36% | Margen 22% | Dividendo 2.4% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Technology,Brazil,🇧🇷,9.0,48.23,36.1,13,3.4,4.51,2.41,,17.0,16.7,23.3,21.6,36.1,-26.8,,,,,,2026-09-01,0,
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",56.75,HKD,73.0,A,73.0,P/E 5.3x (vs 11x mercado) | Potencial +44% analistas | Dividendo 5.6% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,81.52,43.6,15,,5.46,5.57,,13.1,5.3,5.8,16.2,8.6,-24.0,13.5,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,PNGAY,,,2026-09-01,0,
8035.T,Tokyo Electron Limited,54980.0,JPY,72.0,A,72.0,ROE 30.9% | Potencial +35% analistas | Crecimiento ingresos +33% | Margen 24% | Dividendo 1.3% | Mercado Japan CAPE 29 (26% descuento histórico),3,0,Technology,Japan,🇯🇵,29.4,74209.09,35.0,22,1.2,4.37,1.33,,30.9,42.9,43.9,23.6,33.3,-32.3,176.7,,,,,2026-09-01,0,
0388.HK,Hong Kong Exchanges and Clearing Limited,405.6,HKD,70.0,A,70.0,ROE 33.6% | Potencial +27% | Crecimiento ingresos +19% | Margen 63% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,513.12,26.5,17,,3.31,3.49,,33.6,25.3,25.9,62.9,18.9,-11.9,12.7,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-09-01,0,
RENT3.SA,Localiza Rent a Car S.A.,35.07,BRL,69.0,A,69.0,P/E 7.6x | Potencial +57% analistas | FCF yield 25.5% | Crecimiento ingresos +24% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,54.89,56.5,15,25.5,7.07,6.15,,13.0,7.6,11.1,7.4,24.5,-34.3,,,,,,2026-09-01,0,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",16.22,BRL,67.0,A,67.0,ROE 27.7% | Potencial +22% | Margen 49% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,19.79,22.0,14,,2.75,5.45,,27.7,12.8,16.2,49.5,8.8,-20.2,,FCF no comparable (sector financiero),,,,2026-09-01,0,
4063.T,"Shin-Etsu Chemical Co., Ltd.",5968.0,JPY,67.0,A,67.0,Potencial +30% analistas | Dividendo 1.9% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Basic Materials,Japan,🇯🇵,29.4,7774.71,30.3,17,2.2,3.78,1.93,,11.2,18.1,23.6,18.4,5.4,-24.7,36.7,,,,,2026-09-01,0,
1299.HK,AIA Group Limited,75.95,HKD,65.0,A,65.0,ROE 19.6% | Potencial +35% analistas | Margen 31% | Dividendo 2.6% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,102.31,34.7,17,,4.34,2.6,,19.6,11.2,12.7,30.9,-2.5,-17.6,10.2,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino,,,,2026-09-01,0,
